id,title,text
1,Obtaining Gems,League|Complete Internships|Complete all the Daily Tasks|Level Up to get Gem and Other Rewards|Complete the Goals in Trophies
2,Obtaining Coins,Campaign Loot|Daily Quiz - Coin Quiz|Alchemy|Tests|Daily Tasks|Slot Machine|Practical Work
3,Getting Girl Shards,Campaign Loot|Daily Quiz-Girl Quiz|Complete Internship Quest Event|Test Drop|Girl Store Sale|Slot Machines |Market Purchases|Enroll
4,Obtaining EXP Juice,Auto-Battle Drop|Daily Quiz-EXP Quiz|Complete all the Daily Tasks|Slot Machines|Market Purchases
5,Obtaining Lunch Boxes,Campaign Loot|Tests|Daily Quiz-EXP Quiz|Slot Machine(before lv.60)|Market|Transfer
6,Obtaining Gear,Loot|Test|Slot Machine
7,Obtaining Crystal Chisels,Campaign Loot (from Stage 5-3)|Slot Machine|Practical Work
8,Obtaining Antiques,Auto-Battle(after stage 9-9)|Slot Machines
9,Obtaining Seals,Festival Event Item Exchange|Complete Internship 6-7 stars|Festival Gift & Event Package|Market Sale
10,Improving and Upgrading Girls,Level up & Awaken Girl|Graduate Girl|Summon Girl
11,Improving Gear,Forge Gear|Collect Sets to get Set Attributes
