id,map_id,cell_type,name,desc,num
1,5,0,,,
2,5,0,,,
3,5,0,,,
4,5,0,,,
5,5,4,Mansion 01,"Make your choice according to the description, you will get different rewards according to the choice you make.",01
6,5,5,Mansion 02,"Challenge the Boss inside the Luxury Masion, break the illusion of this place!\nMain Challenge: The reward you get from this challenge will increase.",02
7,5,0,,,
8,5,0,,,
9,5,0,,,
10,5,0,,,
11,5,0,,,
12,5,0,,,
13,5,0,,,
14,5,0,,,
15,5,3,Mansion 03,"Choose your Girl to join the Support Challenge and get rewards. If the Girl you choose for the challenge has ""animals ears"", you will be able to get better rewards!\nMain Challenge: The reward you get from this challenge will increase.",03
16,5,2,Mansion 04,Fight the enemies with your own Girls or the NPC Girls to get rewards. The reward will be better as you deal more damage.\nSpecial Challenge: The Damage Over Turn dealt by your team will be reduced by 80%.\nMain Challenge: The reward you get from this challenge will increase.,04
17,5,4,Mansion 05,"Make your choice according to the description, you will get different rewards according to the choice you make.",05
18,5,0,,,
19,5,0,,,
20,5,0,,,
21,5,0,,,
22,5,4,Mansion 06,"Make your choice according to the description, you will get different rewards according to the choice you make.",06
23,5,2,Mansion 07,Fight the enemies with your own Girls or the NPC Girls to get rewards. The reward will be better as you deal more damage.\nSpecial Challenge: The Damage from Critical hit will be reduced by 80%.,07
24,5,2,Mansion 08,Fight the enemies with your own Girls or the NPC Girls to get rewards. The reward will be better as you deal more damage.\nSpecial Challenge: None\nMain Challenge: The reward you get from this challenge will increase.,08
25,5,0,,,
26,5,0,,,
27,5,2,Mansion 09,"Fight the enemies with your own Girls or the NPC Girls to get rewards. The reward will be better as you deal more damage.\nSpecial Challenge: Once an enemy got Petrified, Stunned or Frozen. 2 random Girls in your team will take (10% of their Maximum Hp) damage.",09
28,5,3,Mansion 10,"Choose your Girl to join the Support Challenge and get rewards. If the Girl you choose for the challenge likes ""Mystic Rose"" or ""Cherry Fan"", you will be able to get better rewards!",10
29,5,2,Mansion 11,Fight the enemies with your own Girls or the NPC Girls to get rewards. The reward will be better as you deal more damage.\nSpecial Challenge: The enemies will be immune to every 5th damage they take.,11
30,5,0,,,
31,5,0,,,
32,5,3,Mansion 12,"Choose your Girl to join the Support Challenge and get rewards. If the Girl you choose for the challenge likes ""Slingshot"" or ""Umbrella"", you will be able to get better rewards!",12
33,5,0,,,
