id,name
1,School Uniform
2,Private Clinic
3,Afternoon Tea
4,Victorian Grace
5,Holy Spirit
6,Beach Blue
7,Pillow Fight
8,Shopping Mania
9,School Enthusiast
10,Fluffy Animals
11,Celestial
12,Casual Moments
13,Wild Experience
14,Sleep in Style
15,Sleepy Magic
16,Exchange Student
17,Sword and Soul
18,Tactical Suit
19,Halloween Carnival
20,Indigo Clouds
21,Cherry Blossoms
22,Violet Charm
23,Martial Artist
24,Steampunk
25,Scarlet Edelweise
26,Warm Coffee
27,Wool Hoo
28,Voyager
29,Dragon Breath
30,Extreme Sports
31,Porcelain Snow
32,Ink Wash
33,Santa Claus
