id,name,desc,skill_desc1,skill_desc2,skill_desc3,skill_desc4
851001,Sapphire,"1. A Priest-class damage dealer in House Ghost;\n2. Her Active skill has a chance to Petrify the enemies in Back-line while providing Precision for her teammates. Her Basic attacks will reduce the Block rate of her targets, increasing the gradual damage of her entire team;\n3. Her basic Speed is low, so if her Speed is increased she will take advantage of move order in a round and perform better in Tests or PVP situations.","Sapphire's Active skill deals damage to the enemies in Back-line and has a chance to Petrify them;\nSapphire has a high basic Attack attribute, so the skill will perform better if it can be triggered earlier.","Buff skill, enables Sapphire's Basic Attack to hit all the enemies in the Front-line, it will greatly weaken the girls with high Block rate (such as Guan Yin, Javelin and Nobunaga).","Buff skill, increases Sapphire's Precision and Attack.",Buff Skill: greatly increases Sapphire's Attack for 3 rounds (once each battle) when her HP is below a certain amount.
851002,Gambler,"1. A deadly Assassin in House Ghost with the ability to heal herself, and you won't like her hitting you when under a Bleeding debuff;\n2. She can help you greatly in PVE situations;\n3. Her poor ability in survival makes her in dire need of buffs that can increase her survive ability.","Gambler's Active skill deals damage to 2 random enemies and Bleed them, and the Bleed damage will be boosted if the target happened to be a Ranger;\nAfter Gambler Graduates to 6-star, the skill will target 3 random enemies;\nAfter Gambler reaches 10-star, she can gain Hp from the skill.","Buff skill, each attack from Gambler will increase her Armor Break and bleed her targets.","Buff skill, ensures Gambler's attacks will miss less frequently and increases her offensive ability.","Healing skill, enables Gambler to gain Hp once an enemy is defeated, the healing amount is based on her Attack."
851003,Succuba,"1. A Warrior-class girl in House Ghost, usually appears in the Front-line;\n2. The girl's attribute is lower than others at the beginning, but after being awakened to 10-star, she will be greatly boosted and get the ability to control her enemies","Succuba's Active skill will deal damage against enemies in Back-line and heal Succuba;\nAfter Succuba reaches 10-star, the skill will also have a chance to Freeze the targets;\nThe healing amount of the skill is based on Succuba's Attack, and the rate of the healing will be greatly boosted after Succuba reaches 10-star.","Buff skill, increases Succuba's Precision and Hp.","Healing skill, allows Succuba to heal herself if an enemy blocks an attack.","Healing skill, allows Succuba to heal herself from each of her attacks, the healing rate will be boosted after Succuba reaches 9-star."
851004,Dracula,"1. A damage dealer in House Ghost;\n2. Dracula's Active Skill counters Mage Class enemies, so she could be considered a counter-measure against teams with many Mages;\n3. Dracula targets the enemy with the lowest Hp, so a team with her could easily gain strength in number.","Dracula's Active skill deals damage against 3 random enemies, will have a chance to stun if the target is a Mage;\nAfter Dracula Graduates to 6-star, the skill will target 4 random enemies;\nAfter Dracula reaches 10-star, the Mage-class targets will take extra damage.","Buff skill, increases Dracula's Armor Break, Attack, and Hp.","Buff skill, improves the Basic attack of Dracula and enables her to target the enemy with the lowest Hp.","Buff skill, greatly increases Dracula's Armor Break and heals herself for 5 rounds (once each battle) when her HP is below a certain amount."
851005,Wu Kong,"1. A damage dealer in House Ghost;\n2. Wu Kong's active skill counters Assassin-class enemies, so she could be considered a counter-measure against teams with many Assassin's;\n3. Her basic Speed is low, so if her Speed is increased she will take advantage of move order in a round and perform better in Tests or PVP situations.","
Wu Kong\'s Active skill deals damage to 3 random enemies, if the target happens to be an Assassin, it will also have a chance to stun the target;
After Wu Kong Graduates to 6-star, the target for the skill will be increased to 4;
After Wu Kong reaches 10-star, the skill will also poison Assassin enemies;
The skill has a high damage rate and greatly counters Assassin enemies.","Control Skill, allows Wu Kong's skills/attacks to occasionally stun targets.","Buff skill, enables Wu Kong to deal extra damage against stunned targets.","Buff skill, Increases Wu Kong's Armor Break and Attack."
851006,Fencer,"
1. A Warrior with Freeze control ability in House Ghost;
2. Fencer\'s active skill can deal damage against the enemies in Front-line and has a high chance to Freeze them;
3. Fencer has a chance to Freeze the attacker after being attacked, she also has skills that can boost her Hp and Armor to increase her survivability;
4. She doesn\'t have a weak period, so she\'s suitable for the game at any star rank.","Fencer's active skill deals damage against enemies in Front-line and has a chance to Freeze them, the skill will also heal Fencer herself.","Control skill, Fencer will have a chance to freeze her enemy when she takes damage from them, and the chance will be boosted if the enemy happened to be a Warrior.","Buff skill, increases Fencer's Attack and Hp and Armor, makes her immune to Freeze.","Healing skill, enables Fencer to heal herself at a great amount (once each battle) when her HP is below a certain amount."
851007,Wildtress,"1. A damage dealer in House Ghost;\n2. Wildtress has a decent offensive ability, her active skill can also lower the Attack of its target, which can help her team survive longer.","Wildtress's active skill targets the enemy with the lowest Hp and reduces her Attack;\nAfter Wildtress reaches 10-star, it also has a chance to deal extra damage.","Buff skill, increases Wildtress's Hp and Armor Break.","Buff skill, allows Wildtress to gain extra Armor Break and Crit from each of her attack.","Buff skill, greatly increases Wildtress's Attack once her Hp is lowered to a certain level."
851008,Sakura,"1. A controller in House Ghost, she can Petrify her enemies and deal more damages against them;\n2. Her skills provide her a high chance to petrify her enemies while lowering their Armor, making her a good choice in PVP situations;\n3. Sakura has a high Damage Reduction and is immune from Petrify, which means she has a great survivability.","Sakura's active skill deals damage against the enemies in Back-line and have a chance to Petrify them, it will also lower the Armor of the targets.","Buff skill, increases Sakura's Attack, Hp and Armor, makes her immune to Petrification.","Buff skill, changes Sakura‘s basic Attack against the enemies in Back-line and increases her damage against Petrified enemies.","Buff skill, increases Damage Reduction of Sakura for several rounds after her Hp got lowered to a certain amount."
851009,Giana,"1. A damage dealer in House Ghost;\n2. Giana's offensive ability is not very outstanding, but her death-trigger skill could deal tons of damage;\n3. She could be of great help for other girls which could benefit from her death (such as Saint, Esau & Jacob)","Giana's active skill deals AoE damage to all the enemies and have a chance to Silence the Warrior-class enemies;\nAfter Giana reaches 10-star, the skill will also increase her Attack.","Buff skill, allows Giana to gain extra Crit and Attack after anyone of her teammates is defeated.","Buff skill, increases Giana's Damage Reduction, Hp and Attack.","The core skill of Giana, deals great AoE damage against all the enemies once Giana is defeated."
851010,Ennmaya,"
1. An Assassin in House Ghost;
2. Ennmaya\'s Basic Attack will stun a random backline enemy.
3. With a rather high value in offensive attributes, Ennmaya becomes a deadly damage dealer;
4. After Ennmaya reaches 8-star, her Basic attack will have a 100% chance to stun its target, makes her almost invincible in 1 on 1 situation, the extra Damage Reduction provided by her Active skill ensures her own survivability.","
Ennmaya\'s active skill will deal damage to a random enemy in Back-line and poison her, it also has a chance to stun the target;
After Ennmaya Graduates to 6-star, the target for the skill will be increased to 2;
After Ennmaya reaches 10-star, it will also provide Ennmaya Damage Reduction;
It could also help Ennmaya form a better cooperation with other girls who have skills related to Poison.","Buff skill, Increases Ennmaya's Armor Break, Attack, Hp and her damage against poisoned enemies.","Buff skill, allows Ennmaya to Stun her targets by chance.","Buff skill, poisons 2 random enemies in Back-line (once each battle) when Ennmaya's HP is below a certain amount;\nAfter she reaches 10-star, the poison will be applied to all the enemies in Back-line."
