id,mission_name
1,Looking for Skarivine
2,Psychic's Problem
3,Kitty's Problem
4,Assisting Anna
5,Fleur's Request
6,Looking for Reo
7,Subdue Lin AI
8,Boro's Gift
9,Subdue Magician
10,Litana's Request
11,Octagirl's Request
12,Haxie's Disappearance
13,Lily's Disappearance
14,Lavia's Request
15,Ashely's Wish
16,Lavia's Wish
17,Bud Elf's Problem
18,Assisting Amazon
19,Lightin's Request
20,Susan's Disappearance
21,Looking for Hexa
22,Medusa's Threat
23,Geisha's Wish
24,Toy Girl's Request
25,Androi's Disappearance
26,Looking for Phoenix
27,Librarian's Wish
28,Nani's Vanity
29,Looking for Javelin's Sword
30,Succuba's Wish
31,Caitlyn's Problem
32,Dracula's Challenge
33,Ilian's Request
34,Looking for Blowie
35,Guan Yin's Request
36,Silvia's Wish
37,Pandaria's Mission
38,Giana's Wish
39,Alice's Challenge
40,Looking for Ennmaya
41,Nani's Wish
42,Scythe's Legend 
43,Amelia's Legend 
44,Gabriel's Legend 
45,Angel's Legend 
