id,artifact_name,artifact_desc
6206,Angel Twig,Provides Attack and extra damage against Warrior Class enemies.
6207,Flaming Feather,Provides Attack and extra damage against Assassin Class enemies.
6208,Demonic Blade,Provides Attack and extra damage against Ranger Class enemies.
6209,Thunder Rune,Provides Attack and extra damage against Mage Class enemies.
6210,Brave Heart,Provides Attack and extra damage against Priest Class enemies.
6211,Lace Stockings,"Provides Speed, guarantees its owner a better move order in a round;\nProvides Hp, increases its owner's survivability."
6212,Cherry Blossoms,"Provides Attack and Precision, increases its owner's offensive ability."
6213,Dancing Mask,"Provides Damage Reduction and Hp, increases its owner's survivability."
6214,Poker Queen,"Provides Attack and extra damage against Warrior Class enemies;\nIf its owner belongs to Ghost Faction, it will also provide Armor Break."
6215,Axe of Snow,"Provides Attack and extra damage against Assassin Class enemies;\nIf its owner belongs to Ghost Faction, it will also provide Hp."
6216,Christmas Tree,"Provides Attack and extra damage against Ranger Class enemies;\nIf its owner belongs to Ghost Faction, it will provide more Attack."
6217,Thunder Heart,"Provides Attack and extra damage against Mage Class enemies;\nIf its owner belongs to Human Faction, it will also provide Hp."
6218,Super Potion,"Provides Attack and extra damage against Priest Class enemies;\nIf its owner belongs to Human Faction, it will provide more Attack."
6219,Soul Pendant,"Provides Attack and extra damage against Priest Class enemies;\nIf its owner belongs to Human Faction, it will also provide Skill Damage."
6220,Gabriel's Song,"Provides Attack and extra damage against Warrior Class enemies;\nIf its owner belongs to Monster Faction, it will also provide Hp."
6221,Demonic Book,"Provides Attack and extra damage against Assassin Class enemies;\nIf its owner belongs to Monster Faction, it will provide more Attack."
6222,Fate Cross,"Provides Attack and extra damage against Ranger Class enemies;\nIf its owner belongs to Monster Faction, it will also provide Crit."
6223,Fairy Crown,"Provides Attack and extra damage against Mage Class enemies;\nIf its owner belongs to Fairy Faction, it will also provide Crit Damage."
6224,Cat Hood,"Provides Damage Reduction and Hp, increases its owner's survivability;\nIf its owner belongs to Fairy Faction, it will provide more Hp."
