id,task_desc
1,Draw 25 times in Outfit Store or Outfit Sale
2,Draw 50 times in Outfit Store or Outfit Sale
3,Draw 100 times in Outfit Store or Outfit Sale
4,Draw 200 times in Outfit Store or Outfit Sale
5,Draw 300 times in Outfit Store or Outfit Sale
6,Draw 400 times in Outfit Store or Outfit Sale
7,Draw 500 times in Outfit Store or Outfit Sale
8,Upgrade 5 random Outfit pieces to 2-star
9,Upgrade 5 random Outfit pieces to 3-star
10,Save Customized Outfit Set for 3 times
11,Complete 2 Outfit Sets from Outfit Sale or Outfit Store
12,Complete 4 Outfit Sets from Outfit Sale or Outfit Store
13,Complete 6 Outfit Sets from Outfit Sale or Outfit Store
14,Get 1 Orange Outfit Piece in Outfit Sale or Outfit Store
15,Get 5 Orange Outfit Pieces in Outfit Sale or Outfit Store
16,Get 5 Red Outfit Pieces in Outfit Sale or Outfit Store
17,Get 15 Red Outfit Pieces in Outfit Sale or Outfit Store
18,Get 40 Green Outfit Pieces in Outfit Sale or Outfit Store
