id,name,desc,memory_name,memory_desc
1,Chapter 1,Opening Ceremony,Chapter 1,Opening Ceremony
2,Chapter 2,Happy School Life?,Chapter 2,Happy School Life?
3,Chapter 3,Chaos in the Night,Chapter 3,Chaos in the Night
4,Chapter 4,"Fireworks, Aspiration, DEF",Chapter 4,"Fireworks, Aspiration, DEF"
5,Chapter 5,Mid-term Examination,Chapter 5,Mid-term Examination
6,Chapter 6,School Festival,Chapter 6,School Festival
7,Chapter 7,D.E.F,Chapter 7,D.E.F
8,Chapter 8,Blood Moon,Chapter 8,Blood Moon
9,Chapter 9,Yume,Chapter 9,Yume
10,Chapter 10,A New Beginning,Chapter 10,A New Beginning
11,Chapter 11,Welcome Back,Chapter 11,Welcome Back
12,Chapter 12,The Labyrinth and the\nPhilosopher's Stone,Chapter 12,The Labyrinth and the\nPhilosopher's Stone
13,Chapter 13,The Valkyrie,Chapter 13,The Valkyrie
14,Chapter 14,Bad Blood,Chapter 14,Bad Blood
15,Chapter 15,The Ritual,Chapter 15,The Ritual
16,Chapter 16,The Cruel Truth,Chapter 16,The Cruel Truth
17,Chapter 17, ,Chapter 17, 
18,Chapter 18, ,Chapter 18, 
19,Chapter 19, ,Chapter 19, 
20,Chapter 20, ,Chapter 20, 
21,Chapter 1,Opening Ceremony,Chapter 1,Opening Ceremony
22,Chapter 2,Happy School Life?,Chapter 2,Happy School Life?
23,Chapter 3,Chaos in the Night,Chapter 3,Chaos in the Night
24,Chapter 4,"Fireworks, Aspiration, DEF",Chapter 4,"Fireworks, Aspiration, DEF"
25,Chapter 5,Mid-term Examination,Chapter 5,Mid-term Examination
26,Chapter 6,School Festival,Chapter 6,School Festival
27,Chapter 7,D.E.F,Chapter 7,D.E.F
28,Chapter 8,Blood Moon,Chapter 8,Blood Moon
29,Chapter 9,Yume,Chapter 9,Yume
30,Chapter 10,A New Beginning,Chapter 10,A New Beginning
31,Chapter 1,Opening Ceremony,Chapter 1,Opening Ceremony
32,Chapter 2,Happy School Life?,Chapter 2,Happy School Life?
33,Chapter 3,Chaos in the Night,Chapter 3,Chaos in the Night
34,Chapter 4,"Fireworks, Aspiration, DEF",Chapter 4,"Fireworks, Aspiration, DEF"
35,Chapter 5,Mid-term Examination,Chapter 5,Mid-term Examination
36,Chapter 6,School Festival,Chapter 6,School Festival
37,Chapter 7,D.E.F,Chapter 7,D.E.F
38,Chapter 8,Blood Moon,Chapter 8,Blood Moon
39,Chapter 9,Yume,Chapter 9,Yume
40,Chapter 10,A New Beginning,Chapter 10,A New Beginning
41,Chapter 1,Opening Ceremony,Chapter 1,Opening Ceremony
42,Chapter 2,Happy School Life?,Chapter 2,Happy School Life?
43,Chapter 3,Chaos in the Night,Chapter 3,Chaos in the Night
44,Chapter 4,"Fireworks, Aspiration, DEF",Chapter 4,"Fireworks, Aspiration, DEF"
45,Chapter 5,Mid-term Examination,Chapter 5,Mid-term Examination
46,Chapter 6,School Festival,Chapter 6,School Festival
47,Chapter 7,D.E.F,Chapter 7,D.E.F
48,Chapter 8,Blood Moon,Chapter 8,Blood Moon
49,Chapter 9,Yume,Chapter 9,Yume
50,Chapter 10,A New Beginning,Chapter 10,A New Beginning
