id,text,option1,option2,option3
12020001,Which of the following represents one of the houses at Yume Academy?,Human,Dragon,Star
12020002,Which of the following is not one of the six houses at Yume Academy?,Ghost,Demon,Vampire
12020003,"During battle, which house does House Human gain boost from Faction Rivalry?",House Monster,House Ghost,House Fairy
12020004,"During battle, which house gains boost over House Human from Faction Rivalry?",House Monster,House Ghost,House Fairy
12020005,Which girl belongs to House Human?,Saint,Aquaris,KongMing
12020006,Which girl belongs to House Human?,Iron Fist,Dracula,Ithil
10010007,For how long can you engage in Auto-Battle before you stop accumulating loot rewards?,8 Hours,10 Hours,12 Hours
10010008,"Saint's dormitory is looking a bit bare, where can she buy some new furniture?",Furnitures drop for free in campaign loot.,At the furniture store in Dorm.,At the Café on Shopping Street.
12020007,Senpai’s finally gotten the opportunity to go on a date with Saint. What gift would she like?,Umbrella,Fox Mask,Flashlight
10010010,"Iron Fist’s created a new guild, how can she expand her guild?",By signing in daily to Guild and increasing Guild level,By battling in Junior Varsity and obtaining rewards,Wait for auto-battle loot
10010011,"Saint’s obtained Guild Coins from Guild activities, what can she do with it?",Draw Slots,Experiment with skills in the Guild Lab and increase skill attributes,Use it as a gift in Date
10010012,"Past chapters often contains clues to the future, where can we review previous chapters?",It's forgotten and cannot be recalled,Select previous stages in Campaign,Check it under Memories in Menu
10010013,"The academy has many cute avatars to select from, which of the following methods can you obtain an avatar?",Obtain a new girl to get her avatar,Complete Intern tasks to obtain avatars,Wait to collect avatars in auto-battle loot
10010014,"The academy has many cute avatars to select from, which of the following methods can you obtain an avatar?",Purchase from Furniture Store,Purchase a new skin from Skin Store to obtain the special skin avatar,Add a friend to obtain a friend avatar
10010015,"In order to upgrade girls, you need Lunch Boxes, but find that you don’t have enough. There are lots of ways to obtain Lunch Boxes but which of the following is not a method to obtain?","Auto-Battle loot, the higher the stage level, the more Lunch Boxes can be obtained",Battling through Test stages rewards Lunch Boxes,Ask from friends through Chat
10010016,"Coins can buy many valuable things. At Yume Academy there are many ways to earn Coins, but which of the following is not an obtainable method?",You can exchange Girls for coins in Cafe on Shopping Street.,"Auto-Battle loot, the higher the stage level, the more Coins can be obtained","Obtain daily for free from Alchemy, the higher the level the more Coins can be obtained"
