id,love_point,love_level_desc
0,0,{1} only heard about you.\n
1,1000,{1} only heard about you.\n
2,2000,{1} believes you are kind and friendly.\n
3,3000,{1} believes you are kind and friendly.\n
4,4000,{1} believes you are kind and friendly.\n
5,5000,{1} completely trusts you.\n
6,6000,{1} completely trusts you.\n
7,7000,{1} completely trusts you.\n
8,8000,{1} hopes to spend the rest of life with you.\n
9,9000,{1} hopes to spend the rest of life with you.\n
10,10000,{1} stares at you full of love and affection.\n
11,11000,{1} stares at you full of love and affection.\n
12,12000,{1} stares at you full of love and affection.\n
13,13000,{1} stares at you full of love and affection.\n
14,14000,{1} stares at you full of love and affection.\n
15,15000,{1} stares at you full of love and affection.\n
