id,name,enter_dialog,click_dialog1,click_dialog2,click_dialog3,click_dialog4,click_dialog5,click_dialog6,chosen_dialog1
1,Transfer Store,Pay me. And I might consider helping you~,There is nothing in this world that can't be bought.,How may I help you? Just looking...? Then keep walking.,There is nothing in this world that can't be bought.,How may I help you? Just looking...? Then keep walking.,I'll fight... if the price is right!,,I'll fight... if the price is right!
2,Lucky Store,What would you like?,I've got more goods than you can handle!,Coupons? I don't remember giving those out. Must have expired!,I've got more goods than you can handle!,Coupons? I don't remember giving those out. Must have expired!,Want to trade with me? My products are more than you can possibly imagine~,,You'll find me anywhere there is profit to be made.
3,Slot Machine,What is more important than luck?,Don't rip my ear off~ Get out of here!,What is more important than luck?,"Don't pull my rabbit ears! Go away, gosh I hate you!",It's show time~!,What is more important than luck?,,It's show time~
4,Super Slot Machine,"Senpai, I have a gift for you too! Let’s swap gifts!",Don’t forget to hang your stockings at the foot of your bed so I can leave gifts for you!,No presents for naughty boys!,"Senpai, I have a gift for you too! Let’s swap gifts!",Don’t forget to hang your stockings at the foot of your bed so I can leave gifts for you!,No presents for naughty boys!,,Make a wish!
5,Enroll,Knowledge is life!,Shh! No talking in class!,"I'm going to check your work later! If you didn't make any progress, I'll punish you myself!",No pain. No gain.,"I'm going to check your work later! If you didn't make any progress, I'll punish you myself!",No pain. No gain.,,"At key moments in life, use your head!"
6,Market,Welcome! Anything I can help you with?,Here are the items in stock. Do you need any help?,Let me help you with that.,Here are the items in stock. Do you need any help?,Let me help you with that.,Welcome! Anything I can help you with?,,Here is your receipt. Do you need any help?
7,Souvenir Store,What would you like?,Want to trade with me? I've got more goods than you can handle!,Coupons? I don't remember giving those out. Must have expired!,Want to trade with me? I've got more goods than you can handle!,Coupons? I don't remember giving those out. Must have expired!,Want to trade with me? I've got more goods than you can handle!,,You'll find me anywhere there is profit to be made.
8,Sanctuary,What will show up this time?,This is definitely a great discovery in Grand Library Ulbricht!,Now the Book Spirit allows you to use 10% of his power~,"The Book Spirit seems unstable right now, I suggest we come again later!","The Book Spirit seems unstable right now, I suggest we come again later!",Now the Book Spirit allows you to use 10% of his power~,,This is definitely a great discovery in Grand Library Ulbricht!
9,Guild Merchant,How horrible...! My fortune...! I can't spend it all~.,How horrible...! My fortune...! I can't spend it all~.,How horrible...! My fortune...! I can't spend it all~.,Typhoon of Money!,Typhoon of Money!,Typhoon of Money!,,Typhoon of Money!
10,League Store,Welcome! Anything I can help you with?,Here are the items in stock. Do you need any help?,Let me help you with that.,Here are the items in stock. Do you need any help?,Let me help you with that.,Welcome! Anything I can help you with?,,Here is your receipt. Do you need any help?
