id,skill_desc
1001,Increase Armor by [c][DE512B]{1}[-][/c] for Adventure Team
1002,"Increase Armor Break by [c][DE512B]{1}[-][/c] for Adventure Team, and detect the location of item rewards in Bizarre Adventures"
1003,Increase HP by [c][DE512B]{1}[-][/c] for Adventure Team
1004,Increase Attack by [c][DE512B]{1}[-][/c] for Adventure Team
1005,Increase Armor by [c][DE512B]{1}[-][/c] for Adventure Team
1006,Increase HP by [c][DE512B]{1}[-][/c] and Armor by [c][DE512B]{2}[-][/c] for Adventure Team
1007,Increase HP by [c][DE512B]{1}[-][/c] and Attack by [c][DE512B]{2}[-][/c] for Adventure Team.
1008,"Increase HP by [c][DE512B]{1}[-][/c] and Attack by [c][DE512B]{2}[-][/c] for Adventure Team, and detect the location of enemies in Bizarre Adventures"
1009,Increase Armor by [c][DE512B]{1}[-][/c] and Attack by [c][DE512B]{2}[-][/c] for Adventure Team.
2001,1. Increase Attack by [c][DE512B]{1}[-][/c] for Adventure Team
2002,2. Increase Armor by [c][DE512B]{1}[-][/c] for Adventure Team
2003,3. Increase HP by [c][DE512B]{1}[-][/c] for Adventure Team
2004,4. Detect the location of item rewards in Bizarre Adventures
2005,5. detect the location of enemies in Bizarre Adventures
3001,1. Adventure Team Attack increase
3002,2. Adventure Team Armor increase
3003,3. Adventure Team HP increase
