id,name,desc
1,Chapter 1,Opening Ceremony
2,Chapter 2,Happy School Life?
3,Chapter 3,Chaos in the Night
4,Chapter 4,"Fireworks, Aspiration, DEF"
5,Chapter 5,Mid-term Examination
6,Chapter 6,School Festival
7,Chapter 7,D.E.F
8,Chapter 8,Blood Moon
9,Chapter 9,Yume
10,Chapter 10,A New Beginning
11,Chapter 1,Welcome Back
12,Chapter 2,The Labyrinth and the\nPhilosopher's Stone
13,Chapter 3,The Valkyrie
14,Chapter 4,Bad Blood
15,Chapter 5,The Ritual
16,Chapter 6,The Cruel Truth
17,Chapter 1,Hot Spring Trip
18,Chapter 2,Hunter's Lair
19,Chapter 3,Hecrum's Deep
