id,next_id,fort_first,fort_id,battle_id,first_reward,sweep_reward,fort_img,power
1,2,1,3,1103001,940001#30|65#20,940001#10|65#8,btn_h_challenge_3,100000
2,3,0,3,1103002,940001#33|65#30,940001#11|65#9,btn_h_challenge_3,200000
3,4,0,3,1103003,940001#36|65#40,940001#12|65#10,btn_h_challenge_3,300000
4,5,0,3,1103004,940001#39|65#50,940001#13|65#11,btn_h_challenge_3,300000
5,6,0,3,1103005,940001#42|65#60,940001#14|65#12,btn_h_challenge_3,400000
6,7,0,3,1103006,940001#45|65#70,940001#15|65#13,btn_h_challenge_3,470000
7,8,0,3,1103007,940001#48|65#80,940001#16|65#14,btn_h_challenge_3,540000
8,9,0,3,1103008,940001#51|65#90,940001#17|65#15,btn_h_challenge_3,610000
9,10,0,3,1103009,940001#54|65#100,940001#18|65#16,btn_h_challenge_3,680000
10,11,0,3,1103010,940001#57|65#110,940001#19|65#17,btn_h_challenge_3,750000
11,12,0,3,1103011,940001#60|65#120,940001#20|65#18,btn_h_challenge_3,820000
12,13,0,3,1103012,940001#63|65#130,940001#21|65#19,btn_h_challenge_3,890000
13,14,0,3,1103013,940001#66|65#140,940001#22|65#20,btn_h_challenge_3,960000
14,15,0,3,1103014,940001#69|65#150,940001#23|65#21,btn_h_challenge_3,1030000
15,16,0,3,1103015,940001#72|65#160,940001#24|65#22,btn_h_challenge_3,1100000
16,17,0,3,1103016,940001#75|65#170,940001#25|65#23,btn_h_challenge_3,1170000
17,18,0,3,1103017,940001#78|65#180,940001#26|65#24,btn_h_challenge_3,1240000
18,19,0,3,1103018,940001#81|65#190,940001#27|65#25,btn_h_challenge_3,1310000
19,20,0,3,1103019,940001#84|65#200,940001#28|65#26,btn_h_challenge_3,1380000
20,21,0,3,1103020,940001#87|65#210,940001#29|65#27,btn_h_challenge_3,1450000
21,22,0,3,1103021,940001#90|65#220,940001#30|65#28,btn_h_challenge_3,1520000
22,23,0,3,1103022,940001#93|65#230,940001#31|65#29,btn_h_challenge_3,1590000
23,24,0,3,1103023,940001#96|65#240,940001#32|65#30,btn_h_challenge_3,1660000
24,25,0,3,1103024,940001#99|65#250,940001#33|65#31,btn_h_challenge_3,1730000
25,26,0,3,1103025,940001#102|65#260,940001#34|65#32,btn_h_challenge_3,1800000
26,27,0,3,1103026,940001#105|65#270,940001#35|65#33,btn_h_challenge_3,1870000
27,28,0,3,1103027,940001#108|65#280,940001#36|65#34,btn_h_challenge_3,1940000
28,29,0,3,1103028,940001#111|65#290,940001#37|65#35,btn_h_challenge_3,2010000
29,30,0,3,1103029,940001#114|65#300,940001#38|65#36,btn_h_challenge_3,2080000
30,31,0,3,1103030,940001#117|65#310,940001#39|65#37,btn_h_challenge_3,2150000
31,32,0,3,1103031,940001#120|65#320,940001#40|65#38,btn_h_challenge_3,2220000
32,33,0,3,1103032,940001#123|65#330,940001#41|65#39,btn_h_challenge_3,2290000
33,34,0,3,1103033,940001#126|65#340,940001#42|65#40,btn_h_challenge_3,2360000
34,35,0,3,1103034,940001#129|65#350,940001#43|65#41,btn_h_challenge_3,2430000
35,36,0,3,1103035,940001#132|65#360,940001#44|65#42,btn_h_challenge_3,2500000
36,37,0,3,1103036,940001#135|65#370,940001#45|65#43,btn_h_challenge_3,2570000
37,38,0,3,1103037,940001#138|65#380,940001#46|65#44,btn_h_challenge_3,2640000
38,39,0,3,1103038,940001#141|65#390,940001#47|65#45,btn_h_challenge_3,2710000
39,40,0,3,1103039,940001#144|65#400,940001#48|65#46,btn_h_challenge_3,2780000
40,41,0,3,1103040,940001#147|65#410,940001#49|65#47,btn_h_challenge_3,2850000
41,42,0,3,1103041,940001#150|65#420,940001#50|65#48,btn_h_challenge_3,2920000
42,43,0,3,1103042,940001#153|65#430,940001#51|65#49,btn_h_challenge_3,2990000
43,44,0,3,1103043,940001#156|65#440,940001#52|65#50,btn_h_challenge_3,3060000
44,45,0,3,1103044,940001#159|65#450,940001#53|65#51,btn_h_challenge_3,3130000
45,46,0,3,1103045,940001#162|65#460,940001#54|65#52,btn_h_challenge_3,3200000
46,47,0,3,1103046,940001#165|65#470,940001#55|65#53,btn_h_challenge_3,3270000
47,48,0,3,1103047,940001#168|65#480,940001#56|65#54,btn_h_challenge_3,3340000
48,49,0,3,1103048,940001#171|65#490,940001#57|65#55,btn_h_challenge_3,3410000
49,50,0,3,1103049,940001#174|65#500,940001#58|65#56,btn_h_challenge_3,3480000
50,51,0,3,1103050,940001#177|65#510,940001#59|65#57,btn_h_challenge_3,3550000
51,52,0,3,1103051,940001#180|65#520,940001#60|65#58,btn_h_challenge_3,3620000
52,53,0,3,1103052,940001#183|65#530,940001#61|65#59,btn_h_challenge_3,3690000
53,54,0,3,1103053,940001#186|65#540,940001#62|65#60,btn_h_challenge_3,3760000
54,55,0,3,1103054,940001#189|65#550,940001#63|65#61,btn_h_challenge_3,3830000
55,56,0,3,1103055,940001#192|65#560,940001#64|65#62,btn_h_challenge_3,3900000
56,57,0,3,1103056,940001#195|65#570,940001#65|65#63,btn_h_challenge_3,3970000
57,58,0,3,1103057,940001#198|65#580,940001#66|65#64,btn_h_challenge_3,4040000
58,59,0,3,1103058,940001#201|65#590,940001#67|65#65,btn_h_challenge_3,4110000
59,60,0,3,1103059,940001#204|65#600,940001#68|65#66,btn_h_challenge_3,4180000
60,-1,0,3,1103060,940001#207|65#610,940001#69|65#67,btn_h_challenge_3,4250000
61,62,1,1,1101001,940001#30|65#20,940001#10|65#8,btn_h_challenge_1,100000
62,63,0,1,1101002,940001#33|65#30,940001#11|65#9,btn_h_challenge_1,200000
63,64,0,1,1101003,940001#36|65#40,940001#12|65#10,btn_h_challenge_1,300000
64,65,0,1,1101004,940001#39|65#50,940001#13|65#11,btn_h_challenge_1,300000
65,66,0,1,1101005,940001#42|65#60,940001#14|65#12,btn_h_challenge_1,400000
66,67,0,1,1101006,940001#45|65#70,940001#15|65#13,btn_h_challenge_1,470000
67,68,0,1,1101007,940001#48|65#80,940001#16|65#14,btn_h_challenge_1,540000
68,69,0,1,1101008,940001#51|65#90,940001#17|65#15,btn_h_challenge_1,610000
69,70,0,1,1101009,940001#54|65#100,940001#18|65#16,btn_h_challenge_1,680000
70,71,0,1,1101010,940001#57|65#110,940001#19|65#17,btn_h_challenge_1,750000
71,72,0,1,1101011,940001#60|65#120,940001#20|65#18,btn_h_challenge_1,820000
72,73,0,1,1101012,940001#63|65#130,940001#21|65#19,btn_h_challenge_1,890000
73,74,0,1,1101013,940001#66|65#140,940001#22|65#20,btn_h_challenge_1,960000
74,75,0,1,1101014,940001#69|65#150,940001#23|65#21,btn_h_challenge_1,1030000
75,76,0,1,1101015,940001#72|65#160,940001#24|65#22,btn_h_challenge_1,1100000
76,77,0,1,1101016,940001#75|65#170,940001#25|65#23,btn_h_challenge_1,1170000
77,78,0,1,1101017,940001#78|65#180,940001#26|65#24,btn_h_challenge_1,1240000
78,79,0,1,1101018,940001#81|65#190,940001#27|65#25,btn_h_challenge_1,1310000
79,80,0,1,1101019,940001#84|65#200,940001#28|65#26,btn_h_challenge_1,1380000
80,81,0,1,1101020,940001#87|65#210,940001#29|65#27,btn_h_challenge_1,1450000
81,82,0,1,1101021,940001#90|65#220,940001#30|65#28,btn_h_challenge_1,1520000
82,83,0,1,1101022,940001#93|65#230,940001#31|65#29,btn_h_challenge_1,1590000
83,84,0,1,1101023,940001#96|65#240,940001#32|65#30,btn_h_challenge_1,1660000
