id,next_id,open_day,battle_id,initial_partner,awards,challenge1,challenge2,challenge3
1,2,,99011001,99010001|99010002|99010003|99010004|99010005|99010006|99010007|99010008|99010009|99010010|99010011|99010012|99010013|99010014|99010015|99010016|99010017|99010018,253#20|2#100|1#500000,1,4,8
2,3,,99012001,99010001|99010002|99010003|99010004|99010005|99010006|99010007|99010008|99010009|99010010|99010011|99010012|99010013|99010014|99010015|99010016|99010017|99010018,253#20|2#100|9#500000,1,18,27
3,4,,99013001,99010001|99010002|99010003|99010004|99010005|99010006|99010007|99010008|99010009|99010010|99010011|99010012|99010013|99010014|99010015|99010016|99010017|99010018,253#20|2#100|10#500,1,14,6
4,5,,99014001,99010001|99010002|99010003|99010004|99010005|99010006|99010007|99010008|99010009|99010010|99010011|99010012|99010013|99010014|99010015|99010016|99010017|99010018,253#20|2#100|14#500,1,3,11
5,6,,99015001,99010001|99010002|99010003|99010004|99010005|99010006|99010007|99010008|99010009|99010010|99010011|99010012|99010013|99010014|99010015|99010016|99010017|99010018,253#20|2#100|36#3,1,29,23
6,7,7,99016001,99010001|99010002|99010003|99010004|99010005|99010006|99010007|99010008|99010009|99010010|99010011|99010012|99010013|99010014|99010015|99010016|99010017|99010018,253#20|2#100|1#500000,1,10,17
7,8,7,99017001,99010001|99010002|99010003|99010004|99010005|99010006|99010007|99010008|99010009|99010010|99010011|99010012|99010013|99010014|99010015|99010016|99010017|99010018,253#20|2#100|9#500000,1,12,26
8,9,7,99018001,99010001|99010002|99010003|99010004|99010005|99010006|99010007|99010008|99010009|99010010|99010011|99010012|99010013|99010014|99010015|99010016|99010017|99010018,253#20|2#100|10#500,1,2,29
9,10,7,99019001,99010001|99010002|99010003|99010004|99010005|99010006|99010007|99010008|99010009|99010010|99010011|99010012|99010013|99010014|99010015|99010016|99010017|99010018,253#20|2#100|14#500,1,21,24
10,-1,7,99020001,99010001|99010002|99010003|99010004|99010005|99010006|99010007|99010008|99010009|99010010|99010011|99010012|99010013|99010014|99010015|99010016|99010017|99010018,253#20|2#100|20#1,1,4,16
