id,name,type,skill,point,icon,is_lock,cost
1,11,1,400101,-1,fangan_01,,
2,22,1,400201,-2,fangan_02,,
3,33,1,400301|400302,-3,fangan_03,1,185#2
4,44,1,400401|400402,-5,fangan_04,1,185#3
5,55,1,400501|400502,-5,fangan_05,1,185#3
6,66,1,400601|400602,-5,fangan_06,1,185#3
7,77,2,400701,1,fangan_07,,
8,88,2,400801,1,fangan_08,,
9,99,2,400901,1,fangan_09,,
10,1010,2,401001,1,fangan_10,1,185#1
11,1111,2,401101,1,fangan_11,1,185#1
12,1212,2,401201|401202|401203|401204|401205,1,fangan_12,1,185#1
13,1313,2,401301,3,fangan_13,,
14,1414,2,401401,3,fangan_14,,
15,1515,2,401501,3,fangan_15,1,185#2
16,1616,2,401601,3,fangan_16,1,185#2
17,1717,2,401701,3,fangan_17,1,185#2
18,1818,2,401801|401802,5,fangan_18,1,185#3
19,1919,2,401901,5,fangan_19,,
20,2020,2,402001,5,fangan_20,,
21,2121,2,402101,5,fangan_21,1,185#3
22,2222,2,402201,5,fangan_22,1,185#3
23,2323,2,402301|402302,7,fangan_23,1,185#4
24,2424,2,402401,7,fangan_24,1,185#4
25,2525,2,402501,7,fangan_25,1,185#4
