id,award,special
1,2#150,0
2,930067#30,1
3,2#150,0
4,1051#1,1
5,2#150,0
6,2#200,0
7,930112#10,1
8,2#150,0
9,2051#1,1
10,2#150,0
11,2#150,0
12,930112#10,1
13,2#200,0
14,3051#1,1
15,2#150,0
16,2#150,0
17,930112#10,1
18,2#150,0
19,4051#1,1
20,2#200,0
21,2#150,0
22,930112#10,1
23,2#150,0
24,2#150,0
25,930112#10,1
26,2#200,0
27,2#150,0
28,2#150,0
29,2#200,0
30,36#5,1
31,2#30,0
32,940001#30,1
33,2#30,0
34,930081#10,1
35,2#30,0
36,2#30,0
37,36#1,1
38,2#30,0
39,2#100,0
40,930081#10,1
41,2#30,0
42,940001#30,1
43,2#30,0
44,2#30,0
45,930081#10,1
46,2#30,0
47,2#150,0
48,36#1,1
49,2#30,0
50,2#30,0
51,930081#10,1
52,2#30,0
53,2#30,0
54,940001#30,1
55,2#30,0
56,2#30,0
57,930081#10,1
58,2#30,0
59,2#200,0
60,36#2,1
61,2#30,0
62,940001#30,1
63,2#30,0
64,930095#10,1
65,2#30,0
66,2#30,0
67,36#1,1
68,2#30,0
69,2#100,0
70,930095#10,1
71,2#30,0
72,940001#30,1
73,2#30,0
74,2#30,0
75,930095#10,1
76,2#30,0
77,2#150,0
78,36#1,1
79,2#30,0
80,2#30,0
81,930095#10,1
82,2#30,0
83,2#30,0
84,940001#30,1
85,2#30,0
86,2#30,0
87,930095#10,1
88,2#30,0
89,2#200,0
90,36#2,1
91,2#30,0
92,940001#30,1
93,2#30,0
94,930173#10,1
95,2#30,0
96,2#30,0
97,36#1,1
98,2#30,0
99,2#100,0
100,930173#10,1
101,2#30,0
102,940001#30,1
103,2#30,0
104,2#30,0
105,930173#10,1
106,2#30,0
107,2#150,0
108,36#1,1
109,2#30,0
110,2#30,0
111,930173#10,1
112,2#30,0
113,2#30,0
114,940001#30,1
115,2#30,0
116,2#30,0
117,930173#10,1
118,2#30,0
119,2#200,0
120,36#2,1
121,2#30,0
122,940001#30,1
123,2#30,0
124,930103#10,1
125,2#30,0
126,2#30,0
127,36#1,1
128,2#30,0
129,2#100,0
130,930103#10,1
131,2#30,0
132,940001#30,1
133,2#30,0
134,2#30,0
135,930103#10,1
136,2#30,0
137,2#150,0
138,36#1,1
139,2#30,0
140,2#30,0
141,930103#10,1
142,2#30,0
143,2#30,0
144,940001#30,1
145,2#30,0
146,2#30,0
147,930103#10,1
148,2#30,0
149,2#200,0
150,36#2,1
151,2#30,0
152,940001#30,1
153,2#30,0
154,930109#10,1
155,2#30,0
156,2#30,0
157,36#1,1
158,2#30,0
159,2#100,0
160,930109#10,1
161,2#30,0
162,940001#30,1
163,2#30,0
164,2#30,0
165,930109#10,1
166,2#30,0
167,2#150,0
168,36#1,1
169,2#30,0
170,2#30,0
171,930109#10,1
172,2#30,0
173,2#30,0
174,940001#30,1
175,2#30,0
176,2#30,0
177,930109#10,1
178,2#30,0
179,2#200,0
180,36#2,1
181,2#30,0
182,940001#30,1
183,2#30,0
184,930172#10,1
185,2#30,0
186,2#30,0
187,36#1,1
188,2#30,0
189,2#100,0
190,930172#10,1
191,2#30,0
192,940001#30,1
193,2#30,0
194,2#30,0
195,930172#10,1
196,2#30,0
197,2#150,0
198,36#1,1
199,2#30,0
200,2#30,0
201,930172#10,1
202,2#30,0
203,2#30,0
204,940001#30,1
205,2#30,0
206,2#30,0
207,930172#10,1
208,2#30,0
209,2#200,0
210,36#2,1
211,2#30,0
212,940001#30,1
213,2#30,0
214,930081#10,1
215,2#30,0
216,2#30,0
217,36#1,1
218,2#30,0
219,2#100,0
220,930081#10,1
221,2#30,0
222,940001#30,1
223,2#30,0
224,2#30,0
225,930081#10,1
226,2#30,0
227,2#150,0
228,36#1,1
229,2#30,0
230,2#30,0
231,930081#10,1
232,2#30,0
233,2#30,0
234,940001#30,1
235,2#30,0
236,2#30,0
237,930081#10,1
238,2#30,0
239,2#200,0
240,36#2,1
241,2#30,0
242,940001#30,1
243,2#30,0
244,930095#10,1
245,2#30,0
246,2#30,0
247,36#1,1
248,2#30,0
249,2#100,0
250,930095#10,1
251,2#30,0
252,940001#30,1
253,2#30,0
254,2#30,0
255,930095#10,1
256,2#30,0
257,2#150,0
258,36#1,1
259,2#30,0
260,2#30,0
261,930095#10,1
262,2#30,0
263,2#30,0
264,940001#30,1
265,2#30,0
266,2#30,0
267,930095#10,1
268,2#30,0
269,2#200,0
270,36#2,1
271,2#30,0
272,940001#30,1
273,2#30,0
274,930173#10,1
275,2#30,0
276,2#30,0
277,36#1,1
278,2#30,0
279,2#100,0
280,930173#10,1
281,2#30,0
282,940001#30,1
283,2#30,0
284,2#30,0
285,930173#10,1
286,2#30,0
287,2#150,0
288,36#1,1
289,2#30,0
290,2#30,0
291,930173#10,1
292,2#30,0
293,2#30,0
294,940001#30,1
295,2#30,0
296,2#30,0
297,930173#10,1
298,2#30,0
299,2#200,0
300,36#2,1
301,2#30,0
302,940001#30,1
303,2#30,0
304,930103#10,1
305,2#30,0
306,2#30,0
307,36#1,1
308,2#30,0
309,2#100,0
310,930103#10,1
311,2#30,0
312,940001#30,1
313,2#30,0
314,2#30,0
315,930103#10,1
316,2#30,0
317,2#150,0
318,36#1,1
319,2#30,0
320,2#30,0
321,930103#10,1
322,2#30,0
323,2#30,0
324,940001#30,1
325,2#30,0
326,2#30,0
327,930103#10,1
328,2#30,0
329,2#200,0
330,36#2,1
331,2#30,0
332,940001#30,1
333,2#30,0
334,930109#10,1
335,2#30,0
336,2#30,0
337,36#1,1
338,2#30,0
339,2#100,0
340,930109#10,1
341,2#30,0
342,940001#30,1
343,2#30,0
344,2#30,0
345,930109#10,1
346,2#30,0
347,2#150,0
348,36#1,1
349,2#30,0
350,2#30,0
351,930109#10,1
352,2#30,0
353,2#30,0
354,940001#30,1
355,2#30,0
356,2#30,0
357,930109#10,1
358,2#30,0
359,2#200,0
360,36#2,1
361,2#30,0
362,940001#30,1
363,2#30,0
364,930172#10,1
365,2#30,0
366,2#30,0
367,36#1,1
368,2#30,0
369,2#100,0
370,930172#10,1
371,2#30,0
372,940001#30,1
373,2#30,0
374,2#30,0
375,930172#10,1
376,2#30,0
377,2#150,0
378,36#1,1
379,2#30,0
380,2#30,0
381,930172#10,1
382,2#30,0
383,2#30,0
384,940001#30,1
385,2#30,0
386,2#30,0
387,930172#10,1
388,2#30,0
389,2#200,0
390,36#2,1
