grade,slot,reward_box_rate,enemy_lv,update_box_limit,battle_id1,battle_id2
1,1,1#60|2#35|3#5,80,1#8|2#5,2000000#100|2000001#100|2000002#100|2000003#100|2000004#100,2001000#100|2001001#100|2001002#100|2001003#100|2001004#100
2,2,1#40|2#35|3#20|4#5,100,2#20|3#15,2000005#100|2000006#100|2000007#100|2000008#100|2000009#100,2001005#100|2001006#100|2001007#100|2001008#100|2001009#100
3,3,2#45|3#45|4#10,150,3#28|4#10,2000010#100|2000011#100|2000012#100|2000013#100|2000014#100,2001010#100|2001011#100|2001012#100|2001013#100|2001014#100
4,4,2#25|3#45|4#30,200,3#70|4#55,2000015#100|2000016#100|2000017#100|2000018#100|2000019#100,2001015#100|2001016#100|2001017#100|2001018#100|2001019#100
5,5,3#50|4#40|5#10,250,4#90|5#35,2000020#100|2000021#100|2000022#100|2000023#100|2000024#100,2001020#100|2001021#100|2001022#100|2001023#100|2001024#100
6,6,3#30|4#45|5#20|6#5,280,5#65|6#35,2000025#100|2000026#100|2000027#100|2000028#100|2000029#100,2001025#100|2001026#100|2001027#100|2001028#100|2001029#100
7,7,4#60|5#30|6#10,300,5#220|6#110,2000030#100|2000031#100|2000032#100|2000033#100|2000034#100,2001030#100|2001031#100|2001032#100|2001033#100|2001034#100
8,8,4#50|5#35|6#15,320,5#450|6#250,2000035#100|2000036#100|2000037#100|2000038#100|2000039#100,2001035#100|2001036#100|2001037#100|2001038#100|2001039#100
9,9,4#40|5#40|6#20,330,5#800|6#490,2000040#100|2000041#100|2000042#100|2000043#100|2000044#100,2001040#100|2001041#100|2001042#100|2001043#100|2001044#100
10,10,4#30|5#45|6#25,340,5#1255|6#745,2000045#100|2000046#100|2000047#100|2000048#100|2000049#100,2001045#100|2001046#100|2001047#100|2001048#100|2001049#100
