id,next_id,hurdle,desc,c1_route1,c1_route2,c1_route3,c2_route1,c2_route2,c2_route3,c3_route1,c3_route2,c3_route3,is_log
1,2,2,-1,,,,,,,,,,
2,3,1,-1,1021,5021,7021,7021,7021,7021,7021,7021,7021,
3,4,1,-1,1031|1032,5031|5032|5033,7031|7032|7033|7034,7031|7032,7031|7032,7031|7032,7031|7032,7031|7032,7031|7032,
4,5,1|3,-1,1041|1042,5041|5042|5043,7041|7042|7043|7044,7041|7042,7041|7042,7041|7042,7041|7042,7041|7042,7041|7042,
5,6,1,-1,1051|1052,5051|5052,7051|7052,7051|7052,7051|7052,7051|7052,7051|7052,7051|7052,7051|7052,
6,7,2,-1,,,,,,,,,,
7,8,1,-1,1071|1072,5071|5072,7071|7072,7071|7072,7071|7072,7071|7072,7071|7072,7071|7072,7071|7072,
8,9,1|4,-1,1081|1082,5081|5082,7081|7082,7081|7082,7081|7082,7081|7082,7081|7082,7081|7082,7081|7082,
9,10,1,-1,1091,5091,7091,7091,7091,7091,7091,7091,7091,
10,11,2,-1,,,,,,,,,,
11,12,1,-1,1111|1112,5111|5112,7111|7112,7111|7112,7111|7112,7111|7112,7111|7112,7111|7112,7111|7112,
12,13,1|3,-1,1121|1122,5121|5122,7121|7122,7121|7122,7121|7122,7121|7122,7121|7122,7121|7122,7121|7122,
13,14,1,-1,1131,5131,7131,7131,7131,7131,7131,7131,7131,1
14,15,2|4,-1,,,,,,,,,,
15,,5,-1,1999,5999,7999,7999,7999,7999,7999,7999,7999,
