id,buff_type,name,desc,skill,fx
1,1,,-1,12901,skill_icon_10
2,1,,-1,13001,skill_icon_39
3,1,,-1,13002,skill_icon_13
4,1,,-1,13101,skill_icon_40
5,1,,-1,13102,skill_icon_8
6,1,,-1,13201,skill_icon_5200203
7,1,,-1,13202,skill_icon_76
8,1,,-1,13203,skill_icon_7
9,1,-1,-1,13401,blessing_icon_2
10,1,-1,-1,11801,skill_icon_69
11,1,-1,-1,10901|10902,blessing_icon_9
12,1,-1,-1,13501,skill_icon_134
13,1,-1,-1,11002,blessing_icon_10
14,1,-1,-1,10101,blessing_icon_1
15,2,,-1,13201,
16,2,,-1,13204,
17,2,,-1,13205,
18,2,,-1,13206,
19,2,,-1,13207,
20,2,,-1,13102,
21,2,,-1,13208,
