id,rank,awards,frame,is_percentage,show
1,1,2#8000|4#16000|4201012#20,8055#1,,1
2,2,2#6000|4#14000|4201012#18,8055#1,,2
3,3,2#5000|4#12000|4201012#15,8055#1,,3
4,10,2#4000|4#10000|4201012#12,8055#1,,4-10
5,20,2#3500|4#8000|4201012#10,8055#1,,11-20
6,50,2#3000|4#7000|4201012#9,8055#1,,21-50
7,100,2#2500|4#6000|4201012#8,8055#1,,51-100
8,1,2#2000|4#5000|4201012#7,8055#1,1,0.01
9,5,2#1500|4#2000|4201012#6,,1,0.05
10,10,2#800|4#1500|4201012#5,,1,0.1
11,30,2#600|4#1250|4201012#4,,1,0.3
12,50,2#500|4#1000|4201012#3,,1,0.5
13,75,2#400|4#750|4201012#2,,1,0.75
14,100,2#300|4#500|4201012#1,,1,1
