id,next_id,select_next_ids,select,plot,name,image_path,type,res_path,map_swap,image_xy,image_move,dialog_type,partner_avatar,picture,picture_xy,picture_scale,is_memory,scale,partner_picture_xy,show_type,disappear_type,show_time,disappear_time,position_move,swap_overlap,image_mirror,cg_show,cg_path,cg_scale,cg_layer,cg_show_type,cg_start_xy,cg_show_time,cg_show_xy,cg_disappear_type,cg_disappear_xy,cg_disappear_time,sound,music,expression,face,face_pos,face_scale,bubble_mirror,bubble_xy,bubble_expression,no_click_time,effect,effect_scale,effect_xy,effect_layer,effect_count,jitter
1111,1112,,,,-1,new_school,0,partner_picture_751001,0,,,,,,,,,1,0|0,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1112,1113,,,,-1,new_school,0,partner_picture_751001,0,,,,,,,,,1,0|0,24,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1113,1114,,,,-1,new_school,0,partner_picture_751001,0,,,,,,,,,1,0|0,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1114,1115,1115|1115,1,,-1,new_school,0,partner_picture_51013_faceless,0,,,,,,,,,0.9,112|362,1,6,1,1,,0,,,,,,,,,,,,,,,,partner_picture_51013_44,,,,,,,,,,,,
1115,1116,,,,-1,forest,0,partner_picture_51012,1,,,,,,,,,1,0|0,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1116,1117,,,,-1,forest,0,partner_picture_51012,0,,,,,,,,,1,0|0,23,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1117,1118,,,,-1,forest,0,partner_picture_51012,0,,,,,,,,,1,0|0,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1118,1119,,,,-1,forest,0,partner_picture_51012,0,,,,,,,,,1,0|0,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1119,1120,,,,-1,forest,0,partner_picture_51012,0,,,,,,,,,1,0|0,23,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1120,1121,1121,1,,-1,forest,0,partner_picture_51013_faceless,0,,,,,,,,,0.9,112|362,1,12,1,1,,0,,,,,,,,,,,,,,,,partner_picture_51013_44,,,,,,,,,,,,
1121,1122,1122,1,,-1,castle,0,partner_picture_51013_faceless,1,,,,,,,,,0.9,112|362,11,12,1,1,,0,,,,,,,,,,,,,,,,partner_picture_51013_41,,,,,,,,,,,,
1122,1123,1123,1,,-1,castle,0,partner_picture_51013_faceless,0,,,,,,,,,0.9,112|362,11,12,1,1,,0,,,,,,,,,,,,,,,,partner_picture_51013_44,,,,,,,,,,,,
1123,1124,1124,1,,-1,castle,0,partner_picture_51013_faceless,0,,,,,,,,,0.9,112|362,11,12,1,1,,0,,,,,,,,,,,,,,,,partner_picture_51013_5,,,,,,,,,,,,
1124,1125,1125,1,,-1,castle,0,partner_picture_51013_faceless,0,,,,,,,,,0.9,112|362,24,8,1,1,0|1024,0,,,,,,,,,,,,,,,,partner_picture_51013_41,,,,,,,,,,,,
1125,1126,,,,,castle,1,,0,,,,,,,,,,,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1126,-1,,,,,castle,1,,0,,,,,,,,,,,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1127,1128,1128,1,3,-1,castle,0,partner_picture_51013_faceless,1,,,,,,,,,0.9,112|362,24,12,1,1,,0,,,,,,,,,,,,,,,,partner_picture_51013_41,,,,,,,,,,,,
1128,1129,,,,-1,castle,0,partner_picture_51013_faceless,0,,,,,,,,,0.9,112|362,10,12,1,1,112|112,0,,,,,,,,,,,,,,,,partner_picture_51013_25,,,,,,,,,,,,
1129,1130,1130,1,,-1,castle,0,partner_picture_51013_faceless,0,,,,,,,,,0.9,112|362,11,6,1,1,,0,,,,,,,,,,,,,,,,partner_picture_51013_20,,,,,,,,,,,,
1130,1131,,,,？？？,castle,0,,0,,,,,,,,,1,0|0,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1131,1132,1132,1,,-1,castle,0,partner_picture_51013_faceless,0,,,,,,,,,0.9,112|362,5,6,1,1,112|112,0,,,,,,,,,,,,,,,,partner_picture_51013_43,,,,,,,,,,,,
1132,1133,,,,-1,castle,0,partner_picture_51013_faceless,0,,,,,,,,,0.9,112|362,1,6,1,1,,0,,,,,,,,,,,,,,,,partner_picture_51013_43,,,,,,,,,,,,
1133,1134,1134,1,,-1,castle,0,partner_picture_651003,0,,,,,,,,,1,0|0,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1134,1135,1135,1,,-1,castle,0,partner_picture_651003,0,,,,,,,,,1,0|0,24,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1135,1136,,,,-1,castle,0,partner_picture_651003,0,,,,,,,,,1,0|0,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1136,1137,,,,-1,castle,0,partner_picture_651003,0,,,,,,,,,1,0|0,22,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1137,1138,1138,1,,-1,castle,0,partner_picture_651003,0,,,,,,,,,1,0|0,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1138,1139,1139,1,,-1,castle,0,partner_picture_651003,0,,,,,,,,,1,0|0,23,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1139,1140,1140,1,,-1,castle,0,partner_picture_651003,0,,,,,,,,,1,0|0,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1140,1141,,,,-1,castle,0,partner_picture_51013_faceless,0,,,,,,,,,0.9,112|362,1,12,1,1,,0,,,,,,,,,,,,,,,,partner_picture_51013_41,,,,,,,,,,,,
1141,1142,1142,1,,-1,castle,0,partner_picture_51013_faceless,0,,,,,,,,,0.9,112|362,11,6,1,1,,0,,,,,,,,,,,,,,,,partner_picture_51013_42,,,,,,,,,,,,
1142,1143,,,,-1,castle,0,partner_picture_651003,0,,,,,,,,,1,0|0,23,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1143,1144,,,,-1,castle,0,partner_picture_651003,1,,,,,,,,,1,0|0,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
