id,name,type,lv,score,power,partner_ids,partner_lv,avatar_id,show_id,group
1,footie,1,20,1100,3978,14001|11003|11002|11001|12002|12003,10|20|10|20|10|10,930009,7456776,1
2,Raykill,1,19,1100,3979,11002|11002|11001|13001|13002|13002,10|20|10|20|10|10,930001,6874532,2
3,not today,1,18,1100,3980,12001|14001|14001|13002|13003|13003,10|20|10|20|10|10,930007,3345657,3
4,Pain,1,21,1100,3981,13002|13003|13001|13001|13002|13002,10|20|10|20|10|10,930006,4253860,4
5,Sk,1,20,1100,3982,14003|11002|11002|13001|13002|14002,10|20|10|20|10|10,930010,5998756,5
6,brink,1,19,1100,3983,14003|13002|13002|13003|13003|14003,10|20|10|20|10|10,930011,6745832,6
7,Erron Black,1,18,1100,3984,12002|12002|12001|12001|12003|12003,10|20|10|20|10|10,930004,3124546,1
8,eleven,1,21,1100,3985,13002|13002|14001|14003|11003|12003,10|20|10|20|10|10,930002,2316511,2
9,confessor,1,20,1100,3986,13001|13001|13003|13001|13002|13002,10|20|10|20|10|10,930008,7145698,3
10,Disruptive Pilot,1,19,1100,3987,14001|14003|14003|14001|14002|14002,10|20|10|20|10|10,930011,1254865,4
11,SNNNR,1,18,1100,3988,12002|12003|11001|11002|11003|11002,10|20|10|20|10|10,930009,1548639,5
12,RRL,1,21,1100,3989,12002|12002|12001|14001|14001|14003,10|20|10|20|10|10,930001,2584689,6
13,Millen,1,20,1100,3990,11002|11002|11001|11001|11003|11003,10|20|10|20|10|10,930007,3548998,1
14,bandii,1,19,1100,3991,14002|11001|11003|12002|12003|14001,10|20|10|20|10|10,930006,9456321,2
15,Simba,1,22,1100,3992,14001|11001|11003|12001|12001|14003,10|20|10|20|10|10,930010,3568749,3
16,dhtrt,1,18,1100,3993,13001|13001|13003|13001|13002|13002,10|20|10|20|10|10,930011,3154456,4
17,fgcd,1,21,1100,3994,14001|14003|14003|14001|14002|14002,10|20|10|20|10|10,930004,1541135,5
18,drrrh,1,20,1100,3995,12002|12003|11001|11002|11003|11002,10|20|10|20|10|10,930002,1216389,6
19,hyyj,1,19,1100,3996,12002|12002|12001|14001|14001|14003,10|20|10|20|10|10,930008,9613545,2
20,fthut,1,22,1100,3997,11002|11002|11001|11001|11003|11003,10|20|10|20|10|10,930011,4533158,3
21,aaaaa,2,32,1200,5698,14001|11003|11002|11001|12002|12003,30|20|30|20|20|30,930009,7456775,1
22,bbbbb,2,31,1200,5699,11002|11002|11001|13001|13002|13002,30|20|30|20|20|30,930001,6874531,2
23,ccccc,2,30,1200,5700,12001|14001|14001|13002|13003|13003,30|20|30|20|20|30,930007,3345656,3
24,ddddd,2,34,1200,5701,13002|13003|13001|13001|13002|13002,30|20|30|20|20|30,930006,4253859,4
25,eeeee,2,32,1200,5702,14003|11002|11002|13001|13002|14002,30|20|30|20|20|30,930010,5998755,5
26,fffff,2,31,1200,5703,14003|13002|13002|13003|13003|14003,30|20|30|20|20|30,930011,6745831,6
27,ggggg,2,30,1200,5704,12002|12002|12001|12001|12003|12003,30|20|30|20|20|30,930004,3124545,1
28,hhhhh,2,34,1200,5705,13002|13002|14001|14003|11003|12003,30|20|30|20|20|30,930002,2316510,2
29,iiiii,2,32,1200,5706,13001|13001|13003|13001|13002|13002,30|20|30|20|20|30,930008,7145697,3
30,jjjjj,2,31,1200,5707,14001|14003|14003|14001|14002|14002,30|20|30|20|20|30,930011,1254864,4
31,kkkkk,2,30,1200,5708,12002|12003|11001|11002|11003|11002,30|20|30|20|20|30,930009,1548638,5
32,lllll,2,34,1200,5709,12002|12002|12001|14001|14001|14003,30|20|30|20|20|30,930001,2584688,6
33,mmmmm,2,32,1200,5710,11002|11002|11001|11001|11003|11003,30|20|30|20|20|30,930007,3548997,1
34,nnnnn,2,31,1200,5711,14002|11001|11003|12002|12003|14001,30|20|30|20|20|30,930006,9456320,2
35,ooooo,2,30,1200,5712,14001|11001|11003|12001|12001|14003,30|20|30|20|20|30,930010,3568748,3
36,sssd,2,30,1200,5713,12002|12003|11001|11002|11003|11002,30|20|30|20|20|30,930011,5423115,4
37,fsg,2,34,1200,5714,12002|12002|12001|14001|14001|14003,30|20|30|20|20|30,930004,3156433,5
38,trher,2,32,1200,5715,11002|11002|11001|11001|11003|11003,30|20|30|20|20|30,930002,5463131,6
39,dfhrt,2,31,1200,5716,14002|11001|11003|12002|12003|14001,30|20|30|20|20|30,930008,2543133,2
40,dhtrt,2,30,1200,5717,14001|11001|11003|12001|12001|14003,30|20|30|20|20|30,930011,4989531,3
