id,brief,cell_chat_id,plot_id,decision_id
10101,-1,101,101101,10101
10102,-1,101,101201,10102
10103,-1,101,101301,10103
10201,-1,102,102101,10201
10202,-1,102,102201,10202
10203,-1,102,102301,10203
10301,-1,103,103101,10301
10302,-1,103,103201,10302
10303,-1,103,103301,10303
10401,-1,104,104101,10401
10402,-1,104,104201,10402
10403,-1,104,104301,10403
10501,-1,105,105101,10501
10502,-1,105,105201,10502
10503,-1,105,105301,10503
10601,-1,106,106101,10601
10602,-1,106,106201,10602
10603,-1,106,106301,10603
10701,-1,107,107101,10701
10702,-1,107,107201,10702
10703,-1,107,107301,10703
10801,-1,108,108101,10801
10802,-1,108,108201,10802
10803,-1,108,108301,10803
10901,-1,109,109101,10901
10902,-1,109,109201,10902
10903,-1,109,109301,10903
11001,-1,110,110101,11001
11002,-1,110,110201,11002
11003,-1,110,110301,11003
11101,-1,111,111101,11101
11102,-1,111,111201,11102
11103,-1,111,111301,11103
11201,-1,112,112101,11201
11202,-1,112,112201,11202
11203,-1,112,112301,11203
11301,-1,113,113101,11301
11302,-1,113,113201,11302
11303,-1,113,113301,11303
11401,-1,114,114101,11401
11402,-1,114,114201,11402
11403,-1,114,114301,11403
11501,-1,115,115101,11501
11502,-1,115,115201,11502
11503,-1,115,115301,11503
20101,-1,201,201101,20101
20102,-1,201,201201,20102
20103,-1,201,201301,20103
20201,-1,202,202101,20201
20202,-1,202,202201,20202
20203,-1,202,202301,20203
20301,-1,203,203101,20301
20302,-1,203,203201,20302
20303,-1,203,203301,20303
20401,-1,204,204101,20401
20402,-1,204,204201,20402
20403,-1,204,204301,20403
20501,-1,205,205101,20501
20502,-1,205,205201,20502
20503,-1,205,205301,20503
20601,-1,206,206101,20601
20602,-1,206,206201,20602
20603,-1,206,206301,20603
20701,-1,207,207101,20701
20702,-1,207,207201,20702
20703,-1,207,207301,20703
20801,-1,208,208101,20801
20802,-1,208,208201,20802
20803,-1,208,208301,20803
20901,-1,209,209101,20901
20902,-1,209,209201,20902
20903,-1,209,209301,20903
21001,-1,210,210101,21001
21002,-1,210,210201,21002
21003,-1,210,210301,21003
21101,-1,211,211101,21101
21102,-1,211,211201,21102
21103,-1,211,211301,21103
21201,-1,212,212101,21201
21202,-1,212,212201,21202
21203,-1,212,212301,21203
21301,-1,213,213101,21301
21302,-1,213,213201,21302
21303,-1,213,213301,21303
21401,-1,214,214101,21401
21402,-1,214,214201,21402
21403,-1,214,214301,21403
21501,-1,215,215101,21501
21502,-1,215,215201,21502
21503,-1,215,215301,21503
30101,-1,301,301101,30101
30102,-1,301,301201,30102
30103,-1,301,301301,30103
30201,-1,302,302101,30201
30202,-1,302,302201,30202
30203,-1,302,302301,30203
30301,-1,303,303101,30301
30302,-1,303,303201,30302
30303,-1,303,303301,30303
30401,-1,304,304101,30401
30402,-1,304,304201,30402
30403,-1,304,304301,30403
30501,-1,305,305101,30501
30502,-1,305,305201,30502
30503,-1,305,305301,30503
30601,-1,306,306101,30601
30602,-1,306,306201,30602
30603,-1,306,306301,30603
30701,-1,307,307101,30701
30702,-1,307,307201,30702
30703,-1,307,307301,30703
30801,-1,308,308101,30801
30802,-1,308,308201,30802
30803,-1,308,308301,30803
30901,-1,309,309101,30901
30902,-1,309,309201,30902
30903,-1,309,309301,30903
31001,-1,310,310101,31001
31002,-1,310,310201,31002
31003,-1,310,310301,31003
31101,-1,311,311101,31101
31102,-1,311,311201,31102
31103,-1,311,311301,31103
31201,-1,312,312101,31201
31202,-1,312,312201,31202
31203,-1,312,312301,31203
31301,-1,313,313101,31301
31302,-1,313,313201,31302
31303,-1,313,313301,31303
31401,-1,314,314101,31401
31402,-1,314,314201,31402
31403,-1,314,314301,31403
31501,-1,315,315101,31501
31502,-1,315,315201,31502
31503,-1,315,315301,31503
