id,fort_id,name,plot_id,memory_plot_id,chapter_icon,is_show,unlock,unlock_plot_list_id,plot_text_table
1,1,-1,#59#79,59|79,activity_plot_img_2,1,208#2,0,3
2,1,-1,#104#134,104|134,activity_plot_img_4,1,208#2,1,3
3,1,-1,#146#176,146|176,activity_plot_img_3,1,208#2,2,3
4,1,-1,#184#208,184|208,main_plot_img_27,1,208#2,3,3
5,1,-1,#216#233,216|233,activity_plot_img_4,1,208#2,4,3
6,1,-1,#245#262,245|262,activity_plot_img_1,1,208#2,5,3
7,1,-1,#271#295,271|295,activity_plot_img_1,1,208#2,6,3
8,1,-1,#304#307,304|307,activity_plot_img_4,1,208#2,7,3
9,1,-1,#320#336,320|336,main_plot_img_1,1,208#2,8,3
10,1,-1,#348#366,348|366,main_plot_img_16,1,208#2,9,3
11,1,-1,#372#379,372|379,main_plot_img_27,1,208#2,10,3
12,1,-1,#396#413,396|413,activity_plot_img_1,1,208#2,11,3
13,1,-1,#428#442,428|442,activity_plot_img_1,1,208#2,12,3
14,1,-1,#467#487,467|487,activity_plot_img_4,1,208#2,13,3
15,1,-1,#504#509,504|509,main_plot_img_10,1,208#2,14,3
16,1,-1,#536#566,536|566,main_plot_img_21,1,208#2,15,3
17,1,-1,#584#,584,activity_plot_img_2,1,208#2,16,3
18,1,-1,#612#643,612|643,activity_plot_img_4,1,208#2,17,3
19,1,-1,#657#676,657|676,activity_plot_img_1,1,208#2,18,3
20,1,-1,#685#705,685|705,activity_plot_img_1,1,208#2,19,3
21,,-1,,,,,,-1,
22,,-1,,,,,,-1,
23,,-1,,,,,,-1,
24,,-1,,,,,,-1,
25,,-1,,,,,,-1,
26,,-1,,,,,,-1,
27,,-1,,,,,,-1,
28,,-1,,,,,,-1,
29,,-1,,,,,,-1,
30,,-1,,,,,,-1,
31,,-1,,,,,,-1,
32,,-1,,,,,,-1,
33,,-1,,,,,,-1,
34,,-1,,,,,,-1,
35,,-1,,,,,,-1,
36,,-1,,,,,,-1,
37,,-1,,,,,,-1,
