id,door,boss,award,monster
1,3,1,2|6|7|10|19|13|27|24|30,4|14|16|23|25
2,28,2,1|3|7|13|18|21|25|29|30,5|9|12|20|26
3,9,2,1|3|8|11|17|21|26|28|29,10|13|16|20|24
4,19,2,3|7|8|4|5|12|17|23|28,9|13|20|25|29
5,12,3,2|8|9|13|19|20|26|27|30,6|10|16|23|25
6,22,3,2|7|8|6|10|17|24|26|29,5|14|18|23|27
7,19,3,7|8|9|12|15|22|26|28|30,6|11|17|21|25
8,22,4,8|9|10|1|18|20|24|28|30,2|6|13|17|21
9,19,4,5|8|9|14|17|21|25|28|29,1|7|11|18|23
10,12,5,4|7|9|15|19|22|24|27|29,3|11|16|20|26
11,19,5,4|9|10|2|14|18|22|26|29,3|7|11|20|27
12,28,6,2|7|12|8|15|19|21|25|27,4|10|14|18|24
13,22,6,2|7|11|10|20|24|26|28|30,4|13|16|19|25
14,9,6,1|2|12|8|16|19|23|24|29,5|13|15|21|28
15,28,10,4|14|15|2|18|21|24|26|29,3|6|16|22|25
16,3,11,6|12|16|18|22|23|27|28|29,2|8|14|20|26
17,12,15,9|10|20|21|23|26|2|30|6,4|7|16|22|27
18,28,16,12|17|22|3|6|19|24|27|30,7|13|18|23|29
19,19,16,11|12|17|1|5|9|23|13|28,3|8|14|20|25
20,12,20,14|19|25|2|8|13|22|28|29,4|10|16|23|30
21,3,21,16|22|26|2|5|12|20|25|29,1|6|14|18|23
22,9,21,17|22|26|3|7|12|14|25|28,1|4|11|18|24
23,9,25,19|20|30|4|5|13|17|22|27,2|7|12|18|26
24,3,26,21|22|27|4|7|13|16|23|30,1|5|11|18|24
25,12,27,21|22|28|3|5|16|19|25|30,1|4|10|18|29
26,3,28,23|24|27|5|7|12|15|18|26,2|6|13|17|30
27,22,29,23|24|28|1|9|13|19|21|27,4|7|14|18|26
28,9,29,23|25|28|1|4|12|15|21|27,3|8|16|19|26
29,28,30,22|24|25|2|8|12|19|23|27,3|6|11|15|17
30,22,30,24|25|29|3|8|10|15|19|28,2|5|13|18|26
