id,boss_id,type,stage_belong,offsetX,offsetY
1,1,1,0,478,1038
2,1,0,2,440.5,1108
3,1,0,2,385,1090
4,1,2,2,288,998
5,1,0,3,241,1093
6,1,0,3,159,1093
7,1,0,3,100,1074
8,1,3,3,33,939
9,1,0,4,114.5,986.5
10,1,0,4,134,941
11,1,0,4,205,920
12,1,4,4,259.5,827
13,1,0,5,339,933.5
14,1,0,5,420,941
15,1,0,5,522,936
16,1,5,5,553,882
17,1,0,6,634,877
18,1,0,6,615,796
19,1,0,6,538,760
20,1,6,6,444,677.5
21,1,0,7,387,751
22,1,0,7,296,724
23,1,7,7,226,610.5
24,1,0,8,313,616
25,1,0,8,410,616
26,1,0,8,487,591
27,1,8,8,497,464.5
28,1,0,9,437,490
29,1,0,9,383,407
