id,next_id,school_sort,fort_first,fort_id,battle_id1,battle_id2,battle_id3,first_reward,sweep_reward,non_first_reward,point_reward,fort_img,power
1001,1002,1,1,1,1110101,1110102,1110103,940001#30|65#20,940001#10|65#8,940001#1|65#3,1,btn_h_challenge_1,100000
1002,1003,2,0,1,1110201,1110202,1110203,940001#33|65#30,940001#11|65#9,940001#1|65#3,1,btn_h_challenge_1,200000
1003,1004,3,0,1,1110301,1110302,1110303,940001#36|65#40,940001#12|65#10,940001#1|65#3,1,btn_h_challenge_1,300000
1004,1005,4,0,1,1110401,1110402,1110403,940001#39|65#50,940001#13|65#11,940001#1|65#3,1,btn_h_challenge_1,300000
1005,1006,5,0,1,1110501,1110502,1110503,940001#42|65#60,940001#14|65#12,940001#1|65#3,1,btn_h_challenge_1,400000
1006,1007,6,0,1,1110601,1110602,1110603,940001#45|65#70,940001#15|65#13,940001#1|65#4,1,btn_h_challenge_1,470000
1007,1008,7,0,1,1110701,1110702,1110703,940001#48|65#80,940001#16|65#14,940001#1|65#4,1,btn_h_challenge_1,540000
1008,1009,8,0,1,1110801,1110802,1110803,940001#51|65#90,940001#17|65#15,940001#1|65#4,1,btn_h_challenge_1,610000
1009,1010,9,0,1,1110901,1110902,1110903,940001#54|65#100,940001#18|65#16,940001#1|65#4,1,btn_h_challenge_1,680000
1010,1011,10,0,1,1111001,1111002,1111003,940001#57|65#110,940001#19|65#17,940001#1|65#4,1,btn_h_challenge_1,750000
1011,1012,11,0,1,1111101,1111102,1111103,940001#60|65#120,940001#20|65#18,940001#2|65#5,1,btn_h_challenge_1,820000
1012,1013,12,0,1,1111201,1111202,1111203,940001#63|65#130,940001#21|65#19,940001#2|65#5,1,btn_h_challenge_1,890000
1013,1014,13,0,1,1111301,1111302,1111303,940001#66|65#140,940001#22|65#20,940001#2|65#5,1,btn_h_challenge_1,960000
1014,1015,14,0,1,1111401,1111402,1111403,940001#69|65#150,940001#23|65#21,940001#2|65#5,1,btn_h_challenge_1,1030000
1015,1016,15,0,1,1111501,1111502,1111503,940001#72|65#160,940001#24|65#22,940001#2|65#5,1,btn_h_challenge_1,1100000
1016,1017,16,0,1,1111601,1111602,1111603,940001#75|65#170,940001#25|65#23,940001#2|65#6,1,btn_h_challenge_1,1170000
1017,1018,17,0,1,1111701,1111702,1111703,940001#78|65#180,940001#26|65#24,940001#2|65#6,1,btn_h_challenge_1,1240000
1018,1019,18,0,1,1111801,1111802,1111803,940001#81|65#190,940001#27|65#25,940001#2|65#6,1,btn_h_challenge_1,1310000
1019,1020,19,0,1,1111901,1111902,1111903,940001#84|65#200,940001#28|65#26,940001#2|65#6,1,btn_h_challenge_1,1380000
1020,1021,20,0,1,1112001,1112002,1112003,940001#87|65#210,940001#29|65#27,940001#2|65#6,1,btn_h_challenge_1,1450000
1021,1022,21,0,1,1112101,1112102,1112103,940001#90|65#220,940001#30|65#28,940001#3|65#7,2,btn_h_challenge_1,1520000
1022,1023,22,0,1,1112201,1112202,1112203,940001#93|65#230,940001#31|65#29,940001#3|65#7,2,btn_h_challenge_1,1590000
1023,1024,23,0,1,1112301,1112302,1112303,940001#96|65#240,940001#32|65#30,940001#3|65#7,2,btn_h_challenge_1,1660000
1024,1025,24,0,1,1112401,1112402,1112403,940001#99|65#250,940001#33|65#31,940001#3|65#7,2,btn_h_challenge_1,1730000
1025,1026,25,0,1,1112501,1112502,1112503,940001#102|65#260,940001#34|65#32,940001#3|65#7,2,btn_h_challenge_1,1800000
1026,1027,26,0,1,1112601,1112602,1112603,940001#105|65#270,940001#35|65#33,940001#3|65#8,2,btn_h_challenge_1,1870000
1027,1028,27,0,1,1112701,1112702,1112703,940001#108|65#280,940001#36|65#34,940001#3|65#8,2,btn_h_challenge_1,1940000
1028,1029,28,0,1,1112801,1112802,1112803,940001#111|65#290,940001#37|65#35,940001#3|65#8,2,btn_h_challenge_1,2010000
1029,1030,29,0,1,1112901,1112902,1112903,940001#114|65#300,940001#38|65#36,940001#3|65#8,2,btn_h_challenge_1,2080000
1030,1031,30,0,1,1113001,1113002,1113003,940001#117|65#310,940001#39|65#37,940001#3|65#8,2,btn_h_challenge_1,2150000
1031,1032,31,0,1,1113101,1113102,1113103,940001#120|65#320,940001#40|65#38,940001#5|65#9,2,btn_h_challenge_1,2220000
1032,1033,32,0,1,1113201,1113202,1113203,940001#123|65#330,940001#41|65#39,940001#5|65#9,2,btn_h_challenge_1,2290000
1033,1034,33,0,1,1113301,1113302,1113303,940001#126|65#340,940001#42|65#40,940001#5|65#9,2,btn_h_challenge_1,2360000
1034,1035,34,0,1,1113401,1113402,1113403,940001#129|65#350,940001#43|65#41,940001#5|65#9,2,btn_h_challenge_1,2430000
1035,1036,35,0,1,1113501,1113502,1113503,940001#132|65#360,940001#44|65#42,940001#5|65#9,2,btn_h_challenge_1,2500000
1036,1037,36,0,1,1113601,1113602,1113603,940001#135|65#370,940001#45|65#43,940001#5|65#10,2,btn_h_challenge_1,2570000
1037,1038,37,0,1,1113701,1113702,1113703,940001#138|65#380,940001#46|65#44,940001#5|65#10,2,btn_h_challenge_1,2640000
