id,phase_id,rank,limit_phase,limit_lev,desc,note,type,complete_value,award,is_hide,lv_limit,go_window,go_params
1,1,1,-1,0,-1,-1,1,1,36#1,,,campaign_window,
2,1,2,-1,0,-1,,2,1,36#1,,,smithy_window,
3,1,3,-1,0,-1,-1,3,1,36#1,,,slot_window,
4,1,4,-1,0,-1,,4,1,2#150,,,friend_window,
5,1,5,-1,0,-1,,5,1,36#1,,,chat_window,
6,1,6,-1,0,-1,,6,1,36#1,,25,background_window,
7,1,7,-1,0,-1,,7,1,35#3,,14,gamble_window,type:1
10,1,8,-1,0,-1,-1,10,1,36#1,,24,tower_window,
9,1,9,-1,0,-1,-1,9,1,36#2,,,,
8,1,10,-1,0,-1,,8,1,20#1,,18,arena_window,
12,2,11,1,30,-1,,11,3,1#5000000|9#5000000,,,,
15,2,12,1,30,-1,-1,3,1,36#3,,,slot_window,
22,2,13,1,30,-1,,17,1,74#20,,,slot_window,
16,2,14,1,30,-1,,13,10,36#3,,,summon_window,
17,2,15,1,30,-1,,14,1,19#300,,25,prophet_window,
18,2,16,1,30,-1,-1,15,1,3062#1|4062#1,,40,trial_enter_window,
14,2,17,1,30,-1,,12,1,1062#1|2062#1,,,campaign_window,
19,2,18,1,30,-1,-1,10,1,36#1,,24,tower_window,
20,2,19,1,30,-1,,16,1,6066#1,,28,tavern_window,
33,2,20,1,30,-1,-1,1,1,7007#1,,,campaign_window,
13,2,21,1,30,-1,-1,1,1,6098#1,,,campaign_window,
23,3,22,2,70,-1,,11,7,930092#50,,,,
25,3,23,2,70,-1,,18,1,940002#50,,,shenxue_window,
26,3,24,2,70,-1,,19,10,2#300,,80|3,gamble_window,type:2
27,3,25,2,70,-1,,20,1,1063#1|2063#1,,55,arena_3v3_window,
28,3,26,2,70,-1,,21,1,3063#1|4063#1,,60,arena_team_window,
30,3,27,2,70,-1,-1,23,1,26#1000|27#100,,70,pet_window,
31,3,28,2,70,-1,,24,1,1064#1|2064#1,,72,dungeon_window,
29,3,29,2,70,-1,-1,22,1,3064#1|4064#1,,75,battle_choose_window,
24,3,30,2,70,-1,-1,1,1,29#5,,,campaign_window,
11,1,,-1,0,-1,,25,10,930114#50|35#3,1,,,
21,2,,1,30,-1,,25,11,930115#50|36#3,1,,,
32,3,,2,70,-1,,25,9,930117#50|20#3,1,,,
