id,monster_id,boss_id,map_awards,place_id
1,10001|10002|10003|10004|10005,20001,1210103,2|3|4|5|6|7|8|9|10
2,10006|10007|10008|10009|10010,20002,1210103,11|12|13|14|15|16|17|18|19|20
3,10011|10012|10013|10014|10015,20003,1210103,21|22|23|24|25|26|27|28|29|30
4,10016|10017|10018|10019|10020,20004,1210103,2|3|4|5|6|7|8|9|10|11
5,10021|10022|10023|10024|10025,20005,1210103,3|4|5|6|7|8|9|10|11|12
6,10026|10027|10028|10029|10030,20006,1210103,4|5|6|7|8|9|10|11|12|13
7,10031|10032|10033|10034|10035,20007,1210103,5|6|7|8|9|10|11|12|13|14
8,10036|10037|10038|10039|10040,20008,1210103,6|7|8|9|10|11|12|13|14|15
9,10041|10042|10043|10044|10045,20009,1210103,7|8|9|10|11|12|13|14|15|16
10,10046|10047|10048|10049|10050,20010,1210103,8|9|10|11|12|13|14|15|16|17
11,10051|10052|10053|10054|10055,20011,1210104,9|10|11|12|13|14|15|16|17|18
12,10056|10057|10058|10059|10060,20012,1210104,10|11|12|13|14|15|16|17|18|19
13,10061|10062|10063|10064|10065,20013,1210104,11|12|13|14|15|16|17|18|19|20
14,10066|10067|10068|10069|10070,20014,1210104,12|13|14|15|16|17|18|19|20|21
15,10071|10072|10073|10074|10075,20015,1210104,13|14|15|16|17|18|19|20|21|22
16,10076|10077|10078|10079|10080,20016,1210104,14|15|16|17|18|19|20|21|22|23
17,10081|10082|10083|10084|10085,20017,1210104,15|16|17|18|19|20|21|22|23|24
18,10086|10087|10088|10089|10090,20018,1210104,16|17|18|19|20|21|22|23|24|25
19,10091|10092|10093|10094|10095,20019,1210104,17|18|19|20|21|22|23|24|25|26
20,10096|10097|10098|10099|10100,20020,1210104,18|19|20|21|22|23|24|25|26|27
21,10101|10102|10103|10104|10105,20021,1210105,19|20|21|22|23|24|25|26|27|28
22,10106|10107|10108|10109|10110,20022,1210105,20|21|22|23|24|25|26|27|28|29
23,10111|10112|10113|10114|10115,20023,1210105,21|22|23|24|25|26|27|28|29|30
24,10116|10117|10118|10119|10120,20024,1210105,2|3|4|5|6|7|8|9|10
25,10121|10122|10123|10124|10125,20025,1210105,11|12|13|14|15|16|17|18|19|20
26,10126|10127|10128|10129|10130,20026,1210105,21|22|23|24|25|26|27|28|29|30
27,10131|10132|10133|10134|10135,20027,1210105,2|3|4|5|6|7|8|9|10|11
28,10136|10137|10138|10139|10140,20028,1210105,3|4|5|6|7|8|9|10|11|12
29,10141|10142|10143|10144|10145,20029,1210105,4|5|6|7|8|9|10|11|12|13
30,10146|10147|10148|10149|10150,20030,1210105,5|6|7|8|9|10|11|12|13|14
31,10151|10152|10153|10154|10155,20031,1210106,2|3|4|5|6|7|8|9|11
32,10156|10157|10158|10159|10160,20032,1210106,11|12|13|14|15|16|17|18|19|21
33,10161|10162|10163|10164|10165,20033,1210106,21|22|23|24|25|26|27|28|29|30
34,10166|10167|10168|10169|10170,20034,1210106,2|3|4|5|6|7|8|9|10|12
35,10171|10172|10173|10174|10175,20035,1210106,3|4|5|6|7|8|9|10|11|13
36,10176|10177|10178|10179|10180,20036,1210106,4|5|6|7|8|9|10|11|12|14
37,10181|10182|10183|10184|10185,20037,1210106,5|6|7|8|9|10|11|12|13|15
38,10186|10187|10188|10189|10190,20038,1210106,6|7|8|9|10|11|12|13|14|16
39,10191|10192|10193|10194|10195,20039,1210106,7|8|9|10|11|12|13|14|15|17
40,10196|10197|10198|10199|10200,20040,1210106,8|9|10|11|12|13|14|15|16|18
41,10201|10202|10203|10204|10205,20041,1210107,9|10|11|12|13|14|15|16|17|19
