id,next_id,fort_first,fort_id,type,is_puzzle,box_id,skill_ids,initial_partner,battle_id,reward1,reward2,plot_id,memory_plot_id,chapter_icon,fort_img,is_activity
1,2,1,1,1,,1001,,20062|20055|20046|20047,800101,43#10,1#2,#1585#1628,1585|1628,hero_challenge_11,btn_h_challenge_1,
2,3,0,1,,,1001,,,800102,36#1,2#1,#1632#1640,1632|1640,hero_challenge_3,,
3,4,0,1,,,1001,,,800103,14#350,1#2,#1664#1673,1664|1673,hero_challenge_12,,
4,5,0,1,,,1001,,,800104,43#40,1#1|2#1,#1696#1704,1696|1704,hero_challenge_5,,
5,6,0,1,,,1001,,,800105,29#1,3#1,#1707#,1707,hero_challenge_3,,
6,7,0,1,,,1001,,,800106,10#500,1#2,#1739#1749,1739|1749,hero_challenge_1,,
7,8,0,1,,,1001,,,800107,940001#30,1#1|2#1,#1757#1768,1757|1768,hero_challenge_3,,
8,9,0,1,,,1001,,,800108,20#1,1#2,#1772#,1772,hero_challenge_3,,
9,10,0,1,,,1001,,,800109,940002#10,1#2,#1788#1792,1788|1792,hero_challenge_7,,
10,-1,0,1,,,1001,,,800110,9101#1,,#1810#,1810,hero_challenge_7,,
11,12,1,2,1,,1001,,20062|20055|20046|20047,800201,43#10,1#2,#1828#1858,1828|1858,hero_challenge_2,btn_h_challenge_2,
12,13,0,2,,,1001,,,800202,36#1,2#1,#1874#1898,1874|1898,hero_challenge_2,,
13,14,0,2,,,1001,,,800203,14#350,1#2,#1915#1946,1915|1946,hero_challenge_2,,
14,15,0,2,,,1001,,,800204,43#40,1#1|2#1,#1952#1967,1952|1967,hero_challenge_3,,
15,16,0,2,,,1001,,,800205,29#1,3#1,#1979#,1979|,hero_challenge_3,,
16,17,0,2,,,1001,,,800206,10#500,1#2,#1996#,1996|,hero_challenge_3,,
17,18,0,2,,,1001,,,800207,940024#30,1#1|2#1,#2023#2033,2023|2033,hero_challenge_7,,
18,19,0,2,,,1001,,,800208,20#1,1#2,#2044#2060,2044|2060,hero_challenge_5,,
19,20,0,2,,,1001,,,800209,940014#10,1#2,#2077#2091,2077|2091,hero_challenge_2,,
20,-1,0,2,,,1001,,,800210,9103#1,,#2106#2121,2106|2121,hero_challenge_7,,
21,22,1,3,1,,1001,,20038|20055|20046|20039,800301,43#10,1#2,#648#,648,hero_challenge_14,btn_h_challenge_3,
22,23,0,3,,,1001,,,800302,36#1,2#1,#670#,670,hero_challenge_14,,
23,24,0,3,,,1001,,,800303,14#350,1#2,#717#,717,hero_challenge_14,,
24,25,0,3,,,1001,,,800304,43#40,1#1|2#1,#761#,761,hero_challenge_10,,
25,26,0,3,,,1001,,,800305,29#1,3#1,#813#,813,hero_challenge_10,,
26,27,0,3,,,1001,,,800306,10#500,1#2,#828#,828,hero_challenge_8,,
27,28,0,3,,,1001,,,800307,940023#30,1#1|2#1,#844#,844,hero_challenge_8,,
28,29,0,3,,,1001,,,800308,20#1,1#2,#882#,882,hero_challenge_9,,
29,30,0,3,,,1001,,,800309,940013#10,1#2,#899#,899,hero_challenge_9,,
30,-1,0,3,,,1001,,,800310,9102#1,,#924#,924,hero_challenge_9,,
31,32,1,4,1,,1001,,20018|20031|20046|20055,800401,43#10,1#2,#2142#,2142,hero_challenge_15,btn_h_challenge_4,
32,33,0,4,,,1001,,,800402,36#1,2#1,,,hero_challenge_13,,
33,34,0,4,,,1001,,,800403,14#350,1#2,#2167#,2167,hero_challenge_4,,
34,35,0,4,,,1001,,,800404,43#40,1#1|2#1,,,hero_challenge_4,,
35,36,0,4,,,1001,,,800405,29#1,3#1,#2213#,2213,hero_challenge_4,,
36,37,0,4,,,1001,,,800406,10#500,1#2,,,hero_challenge_4,,
37,38,0,4,,,1001,,,800407,940022#30,1#1|2#1,,,hero_challenge_4,,
38,39,0,4,,,1001,,,800408,20#1,1#2,#2279#,2279,hero_challenge_4,,
39,40,0,4,,,1001,,,800409,940012#10,1#2,,,hero_challenge_13,,
40,-1,0,4,,,1001,,,800410,7047#1,,#2296#,2296,hero_challenge_15,,
41,42,1,5,2,1,,,20055|20005|20012|20031,800501,43#10,,#2313#,2313,hero_challenge_9,btn_h_challenge_5,
42,43,0,5,,1,,,20036|20021|20033|20007,800502,36#1,,#2348#,2348,hero_challenge_14,,
43,44,0,5,,1,,,20014|20039|20042|20032,800503,14#350,,#2393#,2393,hero_challenge_14,,
44,45,0,5,,1,,,20055|20032|20021|20014|20008|20044,800504,43#40,,#2457#,2457,hero_challenge_22,,
45,46,0,5,,1,,,20059|20022|20012|20042|20005|20045|20051,800505,29#1,,#2492#,2492,hero_challenge_16,,
46,47,0,5,,1,,,20046|20016|20031|20009|20018|20030|20023|20037|20003|20032,800506,10#500,,#2524#,2524,hero_challenge_4,,
47,48,0,5,,1,,,20030|20037|20033|20013|20006|20025|20011|20002,800507,940024#30,,#2560#,2560,hero_challenge_20,,
48,49,0,5,,1,,,20001|20003|20017|20032|20035|20036|20043|20041|20027|20013,800508,20#1,,#2587#,2587,hero_challenge_20,,
49,50,0,5,,1,,,20032|20009|20010|20011|20025|20014|20027|20024|20016|20015,800509,940014#10,,#2613#,2613,hero_challenge_21,,
50,-1,0,5,,1,,,20016|20018|20015|20036|20008|20004|20005|20043|20022|20044,800510,36#10,,#2637#,2637,hero_challenge_17,,
51,52,1,6,2,1,,,20038|20021|20020|20040,800601,43#10,,#2648#,2648,hero_challenge_16,btn_h_challenge_6,
52,53,0,6,,1,,,20038|20038|20038|20014|20014|20014,800602,36#1,,,,hero_challenge_16,,
53,54,0,6,,1,,,20022|20020|20038|20015,800603,14#350,,,,hero_challenge_16,,
54,55,0,6,,1,,,20994|20995|20042|20040|20045|20044,800604,43#40,,#2688#,2688,hero_challenge_16,,
55,56,0,6,,1,,,20019|20004|20037|20034|20021|20008|20994|20995,800605,29#1,,,,hero_challenge_17,,
56,57,0,6,,1,,,20015|20024|20036|20031|20004|20006|20016|20008,800606,10#500,,#2737#,2737,hero_challenge_17,,
57,58,0,6,,1,,,20010|20040|20041|20005|20034|20038|20037|20023,800607,940024#30,,,,hero_challenge_16,,
58,59,0,6,,1,,,20043|20031|20035|20038|20026|20062|20045|20037|20017|20032,800608,20#1,,#2777#,2777,hero_challenge_18,,
59,60,0,6,,1,,,20016|20029|20004|20062|20034|20032|20038|20020|20028|20031,800609,940014#10,,,,hero_challenge_18,,
60,-1,0,6,,1,,,20020|20011|20038|20003|20023|20027|20035|20001|20009|20032,800610,36#10,,#2813#2869,2813|2869,hero_challenge_16,,
61,62,1,7,1,,1001,,20019|20026|20027|20014,800701,43#10,1#2,#2887#2898,2887|2898,hero_challenge_17,btn_h_challenge_7,
62,63,0,7,,,1001,,,800702,36#1,2#1,,,hero_challenge_17,,
63,64,0,7,,,1001,,,800703,14#350,1#2,#2929#,2929,hero_challenge_26,,
64,65,0,7,,,1001,,,800704,43#40,1#1|2#1,,,hero_challenge_26,,
65,66,0,7,,,1001,,,800705,29#1,3#1,,,hero_challenge_26,,
66,67,0,7,,,1001,,,800706,10#500,1#2,#2956#,2956,hero_challenge_26,,
67,68,0,7,,,1001,,,800707,940023#30,1#1|2#1,,,hero_challenge_26,,
68,69,0,7,,,1001,,,800708,20#1,1#2,#2986#,2986,hero_challenge_26,,
69,70,0,7,,,1001,,,800709,940013#10,1#2,,,hero_challenge_26,,
70,-1,0,7,,,1001,,,800710,36#10,,#3001#,3001,hero_challenge_10,,
71,72,1,8,1,,1001,,20063|20011|20021|20033,800801,43#10,1#2,#3031#3044,3031|3044,hero_challenge_24,btn_h_challenge_8,
72,73,0,8,,,1001,,,800802,36#1,2#1,#3049#3056,3049|3056,hero_challenge_24,,
73,74,0,8,,,1001,,,800803,14#350,1#2,#3071#3081,3071|3081,hero_challenge_25,,
74,75,0,8,,,1001,,,800804,43#40,1#1|2#1,#3088#3101,3088|3101,hero_challenge_25,,
75,76,0,8,,,1001,,,800805,29#1,3#1,#3110#3120,3110|3120,hero_challenge_23,,
76,77,0,8,,,1001,,,800806,10#500,1#2,#3133#3147,3133|3147,hero_challenge_23,,
77,78,0,8,,,1001,,,800807,940021#30,1#1|2#1,#3154#3172,3154|3172,hero_challenge_23,,
78,79,0,8,,,1001,,,800808,20#1,1#2,#3180#3189,3180|3189,hero_challenge_23,,
79,80,0,8,,,1001,,,800809,940011#10,1#2,#3194#,3194,hero_challenge_23,,
80,-1,0,8,,,1001,,,800810,36#10,,#3205#3210,3205|3210,hero_challenge_23,,
81,82,1,9,1,,1001,,20065,800901,43#10,1#3,#3234#3251,3234|3251,hero_challenge_17,btn_h_challenge_9,
82,83,0,9,,,1001,,,800902,36#1,1#1|2#1,#3262#3307,3262|3307,hero_challenge_7,,
83,84,0,9,,,1001,,,800903,14#350,1#3,#3314#3340,3314|3340,hero_challenge_7,,
84,85,0,9,,,1001,,,800904,43#40,1#1|2#1,#3348#3410,3348|3410,hero_challenge_11,,
85,86,0,9,,,1001,,,800905,29#1,3#1,#3419#3452,3419|3452,hero_challenge_3,,
86,87,0,9,,,1001,,,800906,10#500,1#2,#3477#,3477,hero_challenge_26,,
87,88,0,9,,,1001,,,800907,940023#30,1#1|2#1,#3532#,3532,hero_challenge_22,,
88,89,0,9,,,1001,,,800908,20#1,1#2,#3585#3600,3585|3600,hero_challenge_21,,
89,90,0,9,,,1001,,,800909,940013#10,1#2,#3616#,3616,hero_challenge_19,,
90,-1,0,9,,,1001,,,800910,8020#1,,#3662#,3662,hero_challenge_17,,
91,92,1,10,1,,1001,,20066,801001,43#10,1#3,#3679#3695,3679|3695,hero_challenge_27,btn_h_challenge_10,
92,93,0,10,,,1001,,,801002,36#1,1#1|2#1,#3705#3712,3705|3712,hero_challenge_28,,
93,94,0,10,,,1001,,,801003,14#350,1#3,#3726#3737,3726|3737,hero_challenge_28,,
