id,name,area,floor,level,battle_id,point,partner_id
1,11,1,1,1,1900101,14,753006
2,22,1,1,2,1900102,14,752010
3,33,1,2,1,1900201,14,751010
4,44,1,2,2,1900202,14,753002
5,55,1,3,1,1900301,14,751003
6,66,1,3,2,1900302,14,752009
7,77,1,4,1,1900401,14,754012
8,88,1,4,2,1900402,14,755003
9,99,1,4,3,1900403,14,753009
10,1010,2,5,1,1900501,14,754004
11,1111,2,5,2,1900502,14,752011
12,1212,2,6,1,1900601,14,756004
13,1313,2,6,2,1900602,14,753011
14,1414,2,6,3,1900603,14,755005
15,1515,2,7,1,1900701,14,756002
16,1616,2,7,2,1900702,14,752013
17,1717,2,7,3,1900703,14,755006
18,1818,3,8,1,1900801,14,753001
19,1919,3,8,2,1900802,14,755004
20,2020,3,9,1,1900901,14,756003
21,2121,3,9,2,1900902,14,753012
22,2222,3,9,3,1900903,14,751012
23,2323,3,10,1,1901001,14,754009
24,2424,3,10,2,1901002,14,753013
25,2525,3,10,3,1901003,14,756006
