id,name,partner_card,partner_picture,partner_picture_xy,partner_picture_xy2,partner_picture_scale,star_picture_xy,star_picture_scale,partner_id,face,show_in_guide,dragon_bone,is_wedding,share_picture_xy,share_picture_scale,hand_type,show_by_camera,show_scale,show_scale_special
11001,-1,partner_card_11001,partner_picture_11001,0|0,0|0,1,0|0,0.8,,,,,,1056#670,0.9,1,,1,
11002,-1,partner_card_11002,partner_picture_11002,60|0,60|0,0.92,60|0,0.8,,,,,,422#689,0.9,2,,1,
11003,-1,partner_card_11003,partner_picture_11003,0|-30,0|-10,1,0|-30,0.8,,,,,,483#240,0.9,2,,1,
12001,-1,partner_card_12001,partner_picture_12001,0|0,0|0,1,0|0,0.8,,,,,,539#721,0.9,1,,1,
12002,-1,partner_card_12002,partner_picture_12002,-100|300,-100|300,1,-100|300,0.8,,,,,,1075#408,0.9,2,,1,
12003,-1,partner_card_12003,partner_picture_12003,50|-20,50|-20,1,50|-20,0.8,,,,,,512#227,0.9,1,,1,
13001,-1,partner_card_13001,partner_picture_13001,0|0,0|10,1,0|0,0.8,,,,,,1008#698,0.9,1,,1,
13002,-1,partner_card_13002,partner_picture_13002,0|0,0|0,1,0|0,0.8,,,,,,1015#720,0.9,1,,1,
13003,-1,partner_card_13003,partner_picture_13003,230|240,230|290,1,230|240,0.8,,,,,,867#424,0.9,1,,1,
14001,-1,partner_card_14001,partner_picture_14001,0|0,0|10,1,0|0,0.8,,,,,,526#181,0.9,1,,1,
14002,-1,partner_card_14002,partner_picture_14002,0|40,0|70,1,0|40,0.8,,,,,,483#656,0.9,1,,1,
14003,-1,partner_card_14003,partner_picture_14003,0|150,0|150,1,0|150,0.8,,,,,,509#577,0.9,2,,1,
21001,-1,partner_card_21001,partner_picture_21001,0|-30,0|-30,1,0|-30,0.8,,,,,,499#769,0.9,1,,1,
21002,-1,partner_card_21002,partner_picture_21002,0|-50,0|-50,1,0|-50,0.8,,,,,,553#744,0.9,2,,1,
21003,-1,partner_card_21003,partner_picture_21003,0|0,0|0,1,0|0,0.8,,,,,,1041#719,0.85,1,,1,
21004,-1,partner_card_21004,partner_picture_21004,0|-30,0|-30,1,0|-30,0.8,,,,,,526#731,0.9,1,,1,
22001,-1,partner_card_22001,partner_picture_22001,0|0,0|0,1,0|0,0.8,,,,,,1039#220,0.9,1,,1,
22002,-1,partner_card_22002,partner_picture_22002,240|160,240|160,1.3,240|160,1.3,,,,,,1041#681,1.3,1,,1.3,
22003,-1,partner_card_22003,partner_picture_22003,0|0,0|-5,1,0|0,0.8,,,,,,477#728,0.9,1,,1,
