id,damage_to_boss,rewards,rewards_on_account
1,20000,97#5,97#5
2,200000,97#10,97#5|97#5
3,700000,97#20,97#5|97#5|97#10
4,1500000,97#30,97#5|97#5|97#10|97#10
5,4000000,97#40,97#5|97#5|97#10|97#10|97#10
6,11000000,97#50,97#5|97#5|97#10|97#10|97#10|97#10
7,35000000,97#65,97#5|97#5|97#10|97#10|97#10|97#10|97#15
8,71000000,97#80,97#5|97#5|97#10|97#10|97#10|97#10|97#15|97#15
9,120000000,97#100,97#5|97#5|97#10|97#10|97#10|97#10|97#15|97#15|97#20
10,300000000,97#120,97#5|97#5|97#10|97#10|97#10|97#10|97#15|97#15|97#20|97#20
