id,name,lv_max,job,pre_skill,next_skill,lv_req,base_gold,grow_gold,base_guild_coin,grow_guild_coin,base_effect,grow_effect,icon,reset
1101,-1,60,1,0,1201,0,1#5000,5000,4#10,10,zsHpPO#0.005,zsHpPO#0.005,guild_skill_job1_1_png,1
1201,-1,50,1,1101,1301,10,1#30000,6000,4#50,12,zsAtkPO#0.005,zsAtkPO#0.005,guild_skill_job1_3_png,1
1301,-1,40,1,1201,1401,10,1#60000,7500,4#100,14,zsCritO#10,zsCritO#10,guild_skill_job1_2_png,1
1401,-1,30,1,1301,1501,10,1#100000,10000,4#160,18,zsMissO#10,zsMissO#10,guild_skill_job1_4_png,1
1501,-1,20,1,1401,1601,10,1#150000,20000,4#240,30,zsSklPO#10,zsSklPO#10,guild_skill_job1_5_png,1
1601,-1,20,1,1501,1701,10,1#200000,30000,4#800,100,zsSpdO#4,zsSpdO#4,guild_skill_job1_6_png,1
1701,-1,20,1,1601,1801,10,1#300000,30000,4#1000,160,zsHpPO#0.01|zsAtkPO#0.01,zsHpPO#0.01|zsAtkPO#0.01,guild_skill_job1_12_png,1
1801,-1,20,1,1701,0,10,1#400000,30000,4#1400,200,zsHpPO#0.01|zsSklPO#10,zsHpPO#0.01|zsSklPO#10,guild_skill_job1_11_png,1
2101,-1,60,2,0,2201,0,1#5000,5000,4#10,10,fsHpPO#0.005,fsHpPO#0.005,guild_skill_job2_1_png,2
2201,-1,50,2,2101,2301,10,1#30000,6000,4#50,12,fsAtkPO#0.005,fsAtkPO#0.005,guild_skill_job2_3_png,2
2301,-1,40,2,2201,2401,10,1#60000,7500,4#100,14,fsCritO#10,fsCritO#10,guild_skill_job2_2_png,2
2401,-1,30,2,2301,2501,10,1#100000,10000,4#160,18,fsHitO#10,fsHitO#10,guild_skill_job2_7_png,2
2501,-1,20,2,2401,2601,10,1#150000,20000,4#240,30,fsSklPO#10,fsSklPO#10,guild_skill_job2_5_png,2
2601,-1,20,2,2501,2701,10,1#200000,30000,4#800,100,fsSpdO#4,fsSpdO#4,guild_skill_job2_6_png,2
2701,-1,20,2,2601,2801,10,1#300000,30000,4#1000,160,fsHpPO#0.01|fsAtkPO#0.01,fsHpPO#0.01|fsAtkPO#0.01,guild_skill_job2_12_png,2
2801,-1,20,2,2701,0,10,1#400000,30000,4#1400,200,fsHpPO#0.01|fsSklPO#10,fsHpPO#0.01|fsSklPO#10,guild_skill_job2_11_png,2
3101,-1,60,3,0,3201,0,1#5000,5000,4#10,10,yxHpPO#0.005,yxHpPO#0.005,guild_skill_job3_1_png,3
3201,-1,50,3,3101,3301,10,1#30000,6000,4#50,12,yxAtkPO#0.005,yxAtkPO#0.005,guild_skill_job3_3_png,3
3301,-1,40,3,3201,3401,10,1#60000,7500,4#100,14,yxMissO#10,yxMissO#10,guild_skill_job3_4_png,3
3401,-1,30,3,3301,3501,10,1#100000,10000,4#160,18,yxHitO#10,yxHitO#10,guild_skill_job3_7_png,3
3501,-1,20,3,3401,3601,10,1#150000,20000,4#240,30,yxSklPO#10,yxSklPO#10,guild_skill_job3_5_png,3
3601,-1,20,3,3501,3701,10,1#200000,30000,4#800,100,yxSpdO#4,yxSpdO#4,guild_skill_job3_6_png,3
3701,-1,20,3,3601,3801,10,1#300000,30000,4#1000,160,yxHpPO#0.01|yxAtkPO#0.01,yxHpPO#0.01|yxAtkPO#0.01,guild_skill_job3_12_png,3
3801,-1,20,3,3701,0,10,1#400000,30000,4#1400,200,yxHpPO#0.01|yxSklPO#10,yxHpPO#0.01|yxSklPO#10,guild_skill_job3_11_png,3
4101,-1,60,4,0,4201,0,1#5000,5000,4#10,10,ckHpPO#0.005,ckHpPO#0.005,guild_skill_job4_1_png,4
4201,-1,50,4,4101,4301,10,1#30000,6000,4#50,12,ckCritTimeO#10,ckCritTimeO#10,guild_skill_job4_10_png,4
4301,-1,40,4,4201,4401,10,1#60000,7500,4#100,14,ckCritO#10,ckCritO#10,guild_skill_job4_2_png,4
4401,-1,30,4,4301,4501,10,1#100000,10000,4#160,18,ckBrkO#5,ckBrkO#5,guild_skill_job4_8_png,4
4501,-1,20,4,4401,4601,10,1#150000,20000,4#240,30,ckSklPO#10,ckSklPO#10,guild_skill_job4_5_png,4
4601,-1,20,4,4501,4701,10,1#200000,30000,4#800,100,ckSpdO#4,ckSpdO#4,guild_skill_job4_6_png,4
4701,-1,20,4,4601,4801,10,1#300000,30000,4#1000,160,ckHpPO#0.01|ckAtkPO#0.01,ckHpPO#0.01|ckAtkPO#0.01,guild_skill_job4_12_png,4
4801,-1,20,4,4701,0,10,1#400000,30000,4#1400,200,ckHpPO#0.01|ckSklPO#10,ckHpPO#0.01|ckSklPO#10,guild_skill_job4_11_png,4
5101,-1,60,5,0,5101,0,1#5000,5000,4#10,10,msHpPO#0.005,msHpPO#0.005,guild_skill_job5_1_png,5
5201,-1,50,5,5101,5201,10,1#30000,6000,4#50,12,msMissO#10,msMissO#10,guild_skill_job5_4_png,5
5301,-1,40,5,5201,5301,10,1#60000,7500,4#100,14,msCritO#10,msCritO#10,guild_skill_job5_2_png,5
5401,-1,30,5,5301,5401,10,1#100000,10000,4#160,18,msSpdO#2,msSpdO#2,guild_skill_job5_9_png,5
5501,-1,20,5,5401,5501,10,1#150000,20000,4#240,30,msSklPO#10,msSklPO#10,guild_skill_job5_5_png,5
5601,-1,20,5,5501,5701,10,1#200000,30000,4#800,100,msSpdO#1|msAtkPO#0.005,msSpdO#1|msAtkPO#0.005,guild_skill_job5_6_png,5
5701,-1,20,5,5601,5801,10,1#300000,30000,4#1000,160,msHpPO#0.01|msAtkPO#0.01,msHpPO#0.01|msAtkPO#0.01,guild_skill_job5_12_png,5
5801,-1,20,5,5701,0,10,1#400000,30000,4#1400,200,msHpPO#0.01|msSklPO#10,msHpPO#0.01|msSklPO#10,guild_skill_job5_11_png,5
10101,-1,60,1,1101|1201|1301|1401|1501|1601|1701|1801,0,60|50|40|30|20|20|20|20,1#500000,10000,4#2500,70,fs#0.005,fs#0.005,guild_skill2_7_1_png,10
10201,-1,60,1,1101|1201|1301|1401|1501|1601|1701|1801,0,60|50|40|30|20|20|20|20,1#500000,10000,4#2500,70,yx#0.005,yx#0.005,guild_skill2_8_1_png,10
10301,-1,60,1,1101|1201|1301|1401|1501|1601|1701|1801,0,60|50|40|30|20|20|20|20,1#500000,10000,4#2500,70,ck#0.005,ck#0.005,guild_skill2_9_1_png,10
10401,-1,60,1,1101|1201|1301|1401|1501|1601|1701|1801,0,60|50|40|30|20|20|20|20,1#500000,10000,4#2500,70,ms#0.005,ms#0.005,guild_skill2_10_1_png,10
10501,-1,60,1,1101|1201|1301|1401|1501|1601|1701|1801,0,60|50|40|30|20|20|20|20,1#500000,10000,4#2500,70,resist_fs#0.005,resist_fs#0.005,guild_skill2_2_1_png,10
10601,-1,60,1,1101|1201|1301|1401|1501|1601|1701|1801,0,60|50|40|30|20|20|20|20,1#500000,10000,4#2500,70,resist_yx#0.005,resist_yx#0.005,guild_skill2_3_1_png,10
10701,-1,60,1,1101|1201|1301|1401|1501|1601|1701|1801,0,60|50|40|30|20|20|20|20,1#500000,10000,4#2500,70,resist_ck#0.005,resist_ck#0.005,guild_skill2_4_1_png,10
10801,-1,60,1,1101|1201|1301|1401|1501|1601|1701|1801,0,60|50|40|30|20|20|20|20,1#500000,10000,4#2500,70,resist_ms#0.005,resist_ms#0.005,guild_skill2_5_1_png,10
11101,-1,60,2,2101|2201|2301|2401|2501|2601|2701|2801,0,60|50|40|30|20|20|20|20,1#500000,10000,4#2500,70,zs#0.005,zs#0.005,guild_skill2_6_2_png,11
11201,-1,60,2,2101|2201|2301|2401|2501|2601|2701|2801,0,60|50|40|30|20|20|20|20,1#500000,10000,4#2500,70,yx#0.005,yx#0.005,guild_skill2_8_2_png,11
11301,-1,60,2,2101|2201|2301|2401|2501|2601|2701|2801,0,60|50|40|30|20|20|20|20,1#500000,10000,4#2500,70,ck#0.005,ck#0.005,guild_skill2_9_2_png,11
11401,-1,60,2,2101|2201|2301|2401|2501|2601|2701|2801,0,60|50|40|30|20|20|20|20,1#500000,10000,4#2500,70,ms#0.005,ms#0.005,guild_skill2_10_2_png,11
11501,-1,60,2,2101|2201|2301|2401|2501|2601|2701|2801,0,60|50|40|30|20|20|20|20,1#500000,10000,4#2500,70,resist_zs#0.005,resist_zs#0.005,guild_skill2_1_2_png,11
11601,-1,60,2,2101|2201|2301|2401|2501|2601|2701|2801,0,60|50|40|30|20|20|20|20,1#500000,10000,4#2500,70,resist_yx#0.005,resist_yx#0.005,guild_skill2_3_2_png,11
11701,-1,60,2,2101|2201|2301|2401|2501|2601|2701|2801,0,60|50|40|30|20|20|20|20,1#500000,10000,4#2500,70,resist_ck#0.005,resist_ck#0.005,guild_skill2_4_2_png,11
11801,-1,60,2,2101|2201|2301|2401|2501|2601|2701|2801,0,60|50|40|30|20|20|20|20,1#500000,10000,4#2500,70,resist_ms#0.005,resist_ms#0.005,guild_skill2_5_2_png,11
12101,-1,60,3,3101|3201|3301|3401|3501|3601|3701|3801,0,60|50|40|30|20|20|20|20,1#500000,10000,4#2500,70,zs#0.005,zs#0.005,guild_skill2_6_3_png,12
12201,-1,60,3,3101|3201|3301|3401|3501|3601|3701|3801,0,60|50|40|30|20|20|20|20,1#500000,10000,4#2500,70,fs#0.005,fs#0.005,guild_skill2_7_3_png,12
12301,-1,60,3,3101|3201|3301|3401|3501|3601|3701|3801,0,60|50|40|30|20|20|20|20,1#500000,10000,4#2500,70,ck#0.005,ck#0.005,guild_skill2_9_3_png,12
12401,-1,60,3,3101|3201|3301|3401|3501|3601|3701|3801,0,60|50|40|30|20|20|20|20,1#500000,10000,4#2500,70,ms#0.005,ms#0.005,guild_skill2_10_3_png,12
12501,-1,60,3,3101|3201|3301|3401|3501|3601|3701|3801,0,60|50|40|30|20|20|20|20,1#500000,10000,4#2500,70,resist_zs#0.005,resist_zs#0.005,guild_skill2_1_3_png,12
12601,-1,60,3,3101|3201|3301|3401|3501|3601|3701|3801,0,60|50|40|30|20|20|20|20,1#500000,10000,4#2500,70,resist_fs#0.005,resist_fs#0.005,guild_skill2_2_3_png,12
12701,-1,60,3,3101|3201|3301|3401|3501|3601|3701|3801,0,60|50|40|30|20|20|20|20,1#500000,10000,4#2500,70,resist_ck#0.005,resist_ck#0.005,guild_skill2_4_3_png,12
12801,-1,60,3,3101|3201|3301|3401|3501|3601|3701|3801,0,60|50|40|30|20|20|20|20,1#500000,10000,4#2500,70,resist_ms#0.005,resist_ms#0.005,guild_skill2_5_3_png,12
13101,-1,60,4,4101|4201|4301|4401|4501|4601|4701|4801,0,60|50|40|30|20|20|20|20,1#500000,10000,4#2500,70,zs#0.005,zs#0.005,guild_skill2_6_4_png,13
13201,-1,60,4,4101|4201|4301|4401|4501|4601|4701|4801,0,60|50|40|30|20|20|20|20,1#500000,10000,4#2500,70,fs#0.005,fs#0.005,guild_skill2_7_4_png,13
13301,-1,60,4,4101|4201|4301|4401|4501|4601|4701|4801,0,60|50|40|30|20|20|20|20,1#500000,10000,4#2500,70,yx#0.005,yx#0.005,guild_skill2_8_4_png,13
13401,-1,60,4,4101|4201|4301|4401|4501|4601|4701|4801,0,60|50|40|30|20|20|20|20,1#500000,10000,4#2500,70,ms#0.005,ms#0.005,guild_skill2_10_4_png,13
13501,-1,60,4,4101|4201|4301|4401|4501|4601|4701|4801,0,60|50|40|30|20|20|20|20,1#500000,10000,4#2500,70,resist_zs#0.005,resist_zs#0.005,guild_skill2_1_4_png,13
13601,-1,60,4,4101|4201|4301|4401|4501|4601|4701|4801,0,60|50|40|30|20|20|20|20,1#500000,10000,4#2500,70,resist_fs#0.005,resist_fs#0.005,guild_skill2_2_4_png,13
13701,-1,60,4,4101|4201|4301|4401|4501|4601|4701|4801,0,60|50|40|30|20|20|20|20,1#500000,10000,4#2500,70,resist_yx#0.005,resist_yx#0.005,guild_skill2_3_4_png,13
13801,-1,60,4,4101|4201|4301|4401|4501|4601|4701|4801,0,60|50|40|30|20|20|20|20,1#500000,10000,4#2500,70,resist_ms#0.005,resist_ms#0.005,guild_skill2_5_4_png,13
