id,name,step,mark,condition,forced,window_name,obj_type,obj_id,no_click,special_func,special_area,record,func_id,mask_type,mask_icon,icon_offset,obj_scale,hand_type,is_transition,is_black,dialog_type,desc,position,flip_x,finger_flip,duration,delay,pause,sound,load_group,load_effect
1,rename,1,1,,1,main_window,,-1,,showEditName,,1,,,,,,,,,2,-1,-326|290,,,,,,6001,,
3,summon,1,2,,1,main_window,,-1,,,,,,,,,,,1,0,2,-1,-326|290,,,,,,6003,,
4,summon,1,2,1,1,main_window,,MainwinBottomBtn_5,,,,,,0,button_crop_1,0|0,,,1,,1,-1,-375|-107,,,,,,6004,,
5,summon,1,2,,1,summon_window,,-1,,,0:groupNormal:obj_crop_1:0|0,,,,,,,,,1,2,-1,-290|-75,,,,,,6005,,fx_ui_niudanshengji|huakuang
6,summon,1,2,,1,summon_window,,base_summon_one,,,,1,,2,button_crop_6,0|0,,,1,,1,-1,-289|-61,0,,,,,6006,,shengji
7,summon,1,2,,1,summon_result_window,,btnOk,,,,,,,,,,,,1,1,,,,,,1,,,,
8,summon,2,3,,1,summon_window,,-1,,,0:groupSenior:obj_crop_2:0|0,,,,,,,,,1,2,-1,-290|250,,,,,,6007,,
9,summon,2,3,,1,summon_window,,senior_summon_one,,,,1,,2,button_crop_6,0|0,,,1,,1,-1,-285.4|-61,,,,,,6008,,
10,summon,2,3,,1,summon_result_window,,btnOk,,,,,,,,,,,,1,1,,,,,,1,,,,
11,hand_up,1,4,,1,main_window,,-1,,,,,,,,,,,,0,2,-1,-326|290,,,,,,6009,,
12,hand_up,1,4,,1,main_window,,MainwinBottomBtn_3,,,,,,0,button_crop_3,0|0,,,1,,2,-1,-291|-107,,,,,,6010,,
13,hand_up,1,4,,1,campaign_window,,hangTeamBtn,,,,,,2,button_crop_7,2|0,,,,,1,-1,510|-47,1,,,,,6011,,
14,hand_up,1,4,,1,campaign_hang_formation_window,1,partnerContainer|FormationHeroIcon0,,,,,,2,button_crop_8,0|0,,,1,,1,-1,510|-47,1,,,,,6012,,
15,hand_up,1,4,,1,campaign_hang_formation_window,1,partnerContainer|FormationHeroIcon1,,,,,,2,button_crop_8,0|0,,,1,,1,,,,,,,,,,
16,hand_up,1,4,,1,campaign_hang_formation_window,,confirmBtn,,,,1,,2,button_crop_35,0|0,,,1,,1,-1,-255|-47,,,,,,6013,,
17,first_battle,1,5,,1,main_window,,MainwinBottomBtn_3,,,,,,0,button_crop_3,0|0,,,1,,1,-1,-281|-107,,,,,,6014,,
18,first_battle,1,5,1,1,campaign_window,,,,,,,,,,,,,,1,1,-1,-345|-116.5,,,1.9,0.6,,6015,,
19,first_battle,1,5,,1,campaign_window,,,,,,,,,,,,,,1,1,-1,-345|-96.5,,,1.9,0.6,,6016,,
20,first_battle,1,5,,1,campaign_window,,fightBtn,,,,,,2,button_crop_10,,1.1|1.3,,,,1,-1,-185|-47,,,,1,,6017,,
21,first_battle,1,5,,1,battle_formation_window,1,partnerContainer|BattleFormationHeroIcon0,,,,,,2,button_crop_8,0|0,,,1,,1,-1,510|-47,1,,,,,6018,,
22,first_battle,1,5,,1,battle_formation_window,1,partnerContainer|BattleFormationHeroIcon1,,,,,,2,button_crop_8,0|0,,,1,,1,,252|-47,,,,,,,,
23,first_battle,1,5,,1,battle_formation_window,,battleBtn,,,,1,,2,button_crop_9,0|0,,,1,,1,-1,-255|-47,,,,,,6019,,
24,first_battle,1,5,,1,battle_window,,-1,,,,,,,,,,,,0,2,-1,-326|290,,,,1.5,1|0,6020,backpack,
25,first_battle,1,5,,1,battle_window,,btnPause_,,,,,,2,button_crop_11,0|0,,,1,0,1,,,,1,,,,,,shenji
26,first_battle,1,5,,1,battle_tips_window,,,,battleTip,,,,,,,,,,1,1,,,,,,,,,,
27,first_battle,1,5,,1,battle_win_window,,confirmBtn,,hideGuide,,,,,,,,,,1,1,,,,,,,,,,
28,compose,1,6,,1,main_window,,MainwinBottomBtn_4,,,,,,0,button_crop_1,0|0,,,,,1,-1,-291|-107,,,,,,6021,,
29,compose,1,6,,1,backpack_window,,btnTop3_,,,,,,2,button_crop_12,0|11,,,,,1,-1,-241|192,,,,,,6022,,
30,compose,1,6,,1,backpack_window,3,mainDataGroup_|backpack_item_0|itemGroup_,,,,,,,,,,,,1,1,-1,519|280,1,,,,,6023,altar,
31,compose,1,6,,1,item_tips_window,4,groupMain_|btnBotRight_,,,,,,,,,,,,1,1,,,,,,,,,,
32,compose,1,6,,1,debris_summon_window,,btnSummon_,,,,1,,,,,,,,1,1,,,,,,,,,,
33,compose,1,6,,1,alert_award_window,,btnSure_,,,,,,,,,,,,1,1,,,,,,0.2,,,,
34,compose,1,6,,1,main_window,,MainwinBottomBtn_1,,,,,,0,button_crop_1,0|0,,,1,,1,-1,513|-107,1,,,,,6024,,
35,altar,1,7,,1,main_window,4,MainWinRightBtn_5|MainWinRightBtn,,,,,,2,button_crop_14,0|8,1.2|1.2,,,,1,-1,-272|-28,,,,0.56,,6025,,
36,altar,1,7,,1,main_window,2,MainWinRightBtn_5|blueBtnGroup|blueButton1,,,,,,2,button_crop_16,0|4,,,1,,1,-1,-255|-47,,,,0.5,,6026,partner_info,
37,altar,1,7,,1,altar_window,,-1,,,,,,,,,,,,,2,-1,-326|290,,,,,,6027,,
38,altar,1,7,,1,altar_window,1,partners_group|AltarPartnerAvatar0,,,,,,2,button_crop_8,0|0,,,1,,1,-1,519|210,1,,,,,6028,,
39,altar,1,7,,1,altar_window,,btn_disassemble,,,,1,,2,button_crop_18,0|0,,,1,,1,,,,,,,,,,
40,altar,1,7,,1,alert_item_window,,btn_ok,,,,,,,,,,,,1,1,,,,,,0.3,,,,
41,hero,1,8,1,1,main_window,,MainwinBottomBtn_2,,,,,,0,button_crop_1,0|0,,,1,,1,-1,513|-107,1,,,,,6029,,
42,hero,1,8,1,1,slot_window,1,partnersGroup|SlotPartnerCard0,,,,,,2,button_crop_19,1|0,,,,,1,,,,,,,,,,
43,hero,1,9,,1,partner_detail_window,,btnLevUp,,,,1,,,,,,,,1,1,-1,-363|-47,,,,,,6030,,
44,hero,2,10,,1,partner_detail_window,,btnLevUp,,,,1,,,,,,,,1,1,-1,-363|-47,,,,,,6031,,
45,hero,3,11,,1,partner_detail_window,,btnLevUp,,,,1,,,,,,,,1,1,-1,-363|-47,,,,,,6032,,
46,hero,4,12,,1,partner_detail_window,,btnLevUp,,,,1,,,,,,,,1,1,-1,-363|-47,,,,,,6033,,
47,hero,5,13,,1,partner_detail_window,,nav2,,,,,,2,button_crop_21,0|10,,,,,1,-1,-234|-47,,,,,,6034,,
48,hero,5,13,,1,partner_detail_window,,equip0,,,,,,2,button_crop_22,2|2,,,1,,1,-1,510|-47,1,,,,,6035,,
49,hero,5,13,,1,choose_equip_window,1,equipContainer|equip_icon_0,,,,,,,,,,,,1,1,,,,,,,,,,
50,hero,5,13,,1,choose_equip_window,3,equipDiff|item_tips_equip|btnBotMid_,,,,1,,,,,,,,1,1,,,,,,,,,,
51,hero,5,13,,1,partner_detail_window,,-1,,,,,,,,,,,1,,2,-1,-326|-64,,,,,,6036,,
52,hero,5,13,,1,partner_detail_window,5,window_top|closeBtn,,,,,,2,button_crop_24,2|2,,,1,,1,,,,,,,,,,
53,second_battle,1,14,1,1,main_window,,MainwinBottomBtn_3,,,,,,0,button_crop_3,0|0,,,1,,1,-1,-291|-107,,,,,,6037,,
54,second_battle,1,14,,1,campaign_window,,hangTeamBtn,,,,,,2,button_crop_7,2|0,,,,,2,-1,650|-120,1,,,,,6038,,
55,second_battle,1,14,,1,campaign_hang_formation_window,1,partnerContainer|FormationHeroIcon2,,,,,,2,button_crop_8,0|0,,,1,,1,,,,,,,,,,
56,second_battle,1,14,,1,campaign_hang_formation_window,,confirmBtn,,,,1,,2,button_crop_35,0|0,,,1,,2,-1,-260|-125,,,,,,6039,,
57,second_battle,2,15,,1,campaign_window,3,stageScrollerContainer|campaign_stage_1|sGroup2,,,,,,2,button_crop_26,0|10,,,1,,1,-1,449|-48.44,1,,,,,6040,,
58,second_battle,2,15,,1,campaign_stage_detail_window,,stageHangBtn,,,,1,,,,,,,,1,1,,,,,,,,,,
59,second_battle,3,16,,1,campaign_window,,getHangResBtn,,,,1,,2,button_crop_27,-2|0,,,1,,1,-1,-405|172,,,,,,6041,,
60,second_battle,4,17,,1,campaign_window,,fightBtn,,,,,,2,button_crop_10,,1.1|1.3,,,,1,-1,-185|-47,,,,2,,6042,,
61,second_battle,4,17,,1,battle_formation_window,1,partnerContainer|BattleFormationHeroIcon2,,,,,,2,button_crop_8,0|0,,,1,,1,-1,-278|-47,,,,,,6043,,
62,second_battle,4,17,,1,battle_formation_window,,container_1,1,showGuide,,,,2,button_crop_28,0|0,,1|-110,,1,2,-1,-162|470,,,,1.5,,6044,,
63,second_battle,4,17,,1,battle_formation_window,,battleBtn,,,,1,,2,button_crop_9,0|0,,,1,,1,,,,,,,,,,
64,second_battle,4,17,,1,battle_win_window,,confirmBtn,,hideGuide,,,,,,,,,,1,1,,,,,,,,,,
65,second_battle,5,18,,1,campaign_window,,getHangResBtn,,,,1,,2,button_crop_27,0|0,,,,,1,-1,-405|172,,,,0.5,,6045,activity_cool_event,
66,second_battle,6,19,,1,campaign_window,3,stageScrollerContainer|campaign_stage_2|sGroup1,,,,,,2,button_crop_25,2|11,0.8|1,,,,1,-1,-262|-47,,,,1,,6046,,
67,second_battle,6,19,,1,campaign_stage_detail_window,,stageHangBtn,,,,1,,,,,,,,1,1,,,,,,,,,,
68,second_battle,6,19,,1,campaign_window,,-1,,,,,,,,,,,,1,2,-1,-326|290,,,,,,6047,,
69,second_battle,6,19,,1,main_window,,MainwinBottomBtn_1,,,,,,0,button_crop_1,0|0,,,,,2,-1,650|-107,1,,,,,6048,,
70,award,1,23,,1,main_window,,groupOnlineAward_,,,,1,,2,button_crop_29,-22|-10,1.5|1.5,,,,1,-1,514|205,1,,,0.56,,6049,,
71,award,2,24,,1,main_window,,actBgImg2,,,,,,2,button_crop_30,0|2,,,1,,1,-1,-316|-47,,,,0.9,,6050,,
72,award,2,24,,1,activity_window,3,groupContent|activity1|btnCheckIn,,,,1,,2,button_crop_31,1|1,,,,,1,,,,,,0,,,,
73,award,2,24,,1,alert_award_window,,btnSure_,,,,,,,,,,,,1,1,,,,,,0.3,,,,
74,award,2,24,,1,main_window,,MainwinBottomBtn_1,,,,,,0,button_crop_1,0|0,,,1,,1,-1,513|-107,1,,,,,6048,,
75,market,1,20,,1,main_window,4,MainWinRightBtn_1|MainWinRightBtn,,,,,,2,button_crop_15,0|0,1.2|1.2,,,,1,-1,-272|200,,,,0.6,,6051,,
76,market,1,20,,1,main_window,2,MainWinRightBtn_1|blueBtnGroup|blueButton0,,,,,,2,button_crop_16,0|1,,,1,,1,-1,-247|200,,,,0.5,,6052,,
77,market,1,20,,1,market_window,3,MarketItem0|marketItem|purchaseBtn,,,,,,2,button_crop_32,-10|-132,,,,,1,-1,504|-163,1,,,0.3,,6053,,
78,market,1,20,,1,alert_window,,btnSure_,,,,1,,,,,,,,1,1,,,,,,0.1,,,,
79,market,1,20,,1,alert_award_window,,btnSure_,,,,,,,,,,,,1,1,,,,,,0.1,,,,
80,summon_2,1,21,,1,main_window,,MainwinBottomBtn_5,,,,,,0,button_crop_1,0|0,,,1,,1,-1,-375|-107,,,,,,6054,,
81,summon_2,1,21,,1,summon_window,,senior_summon_one,,,,1,,2,button_crop_6,0|0,,,,,1,-1,-285.4|-61,,,,0.2,,6055,,
82,summon_2,1,21,,1,summon_result_window,,btnOk,,,,,,,,,,,,1,1,,,,,,0.8,,,,
83,summon_2,1,21,,1,main_window,,MainwinBottomBtn_1,,,,,,0,button_crop_1,0|0,,,1,,1,-1,513|-107,1,,,,,6056,,
84,forced_end,1,22,,1,main_window,,-1,,,,,,,,,,,,1,2,-1,-326|290,,,,0.5,,6057,,
85,forced_end,1,22,,1,main_window,,-1,,,,1,,,,,,,,1,2,-1,-326|290,,,,,,6058,,
86,gamble,1,25,,,func_open_window,,btnGo_,,,,,,,,,,,,1,,,,,,,0.65,,,,
87,gamble,1,25,,,main_window,4,MainWinRightBtn_1|MainWinRightBtn,,,,,,2,button_crop_15,0|0,1.2|1.2,,1,,,,,,,,0.56,,,,
88,gamble,1,25,,,main_window,2,MainWinRightBtn_1|blueBtnGroup|blueButton1,,,,,,2,button_crop_16,0|4,,,1,,,,,,,,0.65,,,,
89,gamble,1,25,,,gamble_door_window,,btnNormal_,,,,1,11,2,button_crop_33,4|0,,,,,,,,,,,0.3,,,,
90,mission,1,26,,,func_open_window,,btnGo_,,,,,,,,,,,,1,,,,,,,0.65,,,,
91,mission,1,26,,,main_window,,btnMission_,,,,1,13,2,button_crop_34,0|0,1.2|1.2,,1,,,,,,,,0.56,,,,
92,arena,1,27,,,func_open_window,,btnGo_,,,,,,,,,,,,1,,,,,,,0.65,,,,
93,arena,1,27,,,main_window,4,MainWinRightBtn_6|MainWinRightBtn,,,,1,14,2,button_crop_14,0|8,1.2|1.2,,1,,,,,,,,0.56,,,,
94,guild,1,31,,,func_open_window,,btnGo_,,,,,,,,,,,,1,,,,,,,0.65,,,,
95,guild,1,31,,,main_window,4,MainWinRightBtn_4|MainWinRightBtn,,,,1,22,2,button_crop_14,0|8,1.2|1.2,,1,,1,-1,-315|-28,,,,0.56,,,,
96,tower,1,28,,,func_open_window,,btnGo_,,,,,,,,,,,,1,,,,,,,0.65,,,,
97,tower,1,28,,,main_window,4,MainWinRightBtn_2|MainWinRightBtn,,,,,,2,button_crop_15,0|0,1.2|1.2,,1,,,,,,,,0.56,,,,
