id,next_id,map_id,is_first,cell_xy,cell_type,action_id,partner_id,cell_img,cell_name,towards
1,2,1,1,"1,1",1,50101,,date_monopoly_map_lattice_start,,1
2,3,1,,"20,20",3,40010,,date_monopoly_map_lattice_earn,,1
3,4,1,,"1,2",1,50102,,date_monopoly_map_lattice_battle,,1
4,5,1,,"20,21",2,100001|100001|100001,,date_monopoly_map_lattice_date,,0
5,6,1,,"1,3",1,50103,,date_monopoly_map_lattice_battle,,0
6,7,1,,"20,22",3,40001,,date_monopoly_map_lattice_earn,,1
7,8,1,,"1,4",1,50104,,date_monopoly_map_lattice_battle,,1
8,9,1,,"20,23",2,100002|100002|100002,,date_monopoly_map_lattice_date,,1
9,10,1,,"1,5",1,50105,,date_monopoly_map_lattice_battle,,0
10,11,1,,"20,24",3,40002,,date_monopoly_map_lattice_earn,,0
11,12,1,,"1,6",1,50106,,date_monopoly_map_lattice_battle,,0
12,13,1,,"20,25",2,100003|100003|100003,,date_monopoly_map_lattice_date,,1
13,14,1,,"1,7",1,50107,,date_monopoly_map_lattice_battle,,1
14,15,1,,"20,26",3,40003,,date_monopoly_map_lattice_earn,,1
15,16,1,,"1,8",1,50108,,date_monopoly_map_lattice_battle,,0
16,17,1,,"20,27",2,100004|100004|100004,,date_monopoly_map_lattice_date,,0
17,18,1,,"1,9",1,50109,,date_monopoly_map_lattice_battle,,0
18,19,1,,"20,28",3,40004,,date_monopoly_map_lattice_earn,,1
19,20,1,,"1,10",1,50110,,date_monopoly_map_lattice_battle,,0
20,21,1,,"20,29",2,100005|100005|100005,,date_monopoly_map_lattice_date,,0
21,22,1,,"1,11",1,50111,,date_monopoly_map_lattice_battle,,0
22,23,1,,"20,30",3,40005,,date_monopoly_map_lattice_earn,,0
23,24,1,,"1,12",1,50112,,date_monopoly_map_lattice_battle,,0
24,25,1,,"20,31",2,100006|100006|100006,,date_monopoly_map_lattice_date,,1
25,26,1,,"1,13",3,40006,,date_monopoly_map_lattice_earn,,1
26,27,1,,"20,32",1,50113,,date_monopoly_map_lattice_battle,,0
27,28,1,,"1,14",1,50114,,date_monopoly_map_lattice_battle,,0
28,29,1,,"20,33",2,100007|100007|100007,,date_monopoly_map_lattice_date,,0
29,30,1,,"1,15",1,50115,,date_monopoly_map_lattice_battle,,1
30,31,1,,"20,34",3,40007,,date_monopoly_map_lattice_earn,,0
31,32,1,,"1,16",1,50116,,date_monopoly_map_lattice_battle,,1
32,33,1,,"20,35",2,100008|100008|100008,,date_monopoly_map_lattice_date,,1
33,34,1,,"1,17",1,50117,,date_monopoly_map_lattice_battle,,1
34,35,1,,"20,36",3,40008,,date_monopoly_map_lattice_earn,,0
35,36,1,,"1,18",1,50118,,date_monopoly_map_lattice_battle,,0
36,37,1,,"20,37",2,100009|100009|100009,,date_monopoly_map_lattice_date,,0
37,38,1,,"1,19",1,50119,,date_monopoly_map_lattice_battle,,1
38,39,1,,"20,38",3,40009,,date_monopoly_map_lattice_earn,,1
39,40,1,,"1,20",1,50120,,date_monopoly_map_lattice_battle,,1
40,1,1,,"20,39",3,40011,,date_monopoly_map_lattice_earn,,1
41,42,2,1,"1,1",1,50201,51009,date_monopoly_map_lattice_start,,1
42,43,2,,"20,20",1,50202,51009,date_monopoly_map_lattice_battle,,1
43,44,2,,"1,2",3,40012,51009,date_monopoly_map_lattice_earn,,1
44,45,2,,"20,21",2,10101|10102|10103,51009,date_monopoly_map_lattice_date,-1,0
45,46,2,,"1,3",1,50203,51009,date_monopoly_map_lattice_battle,,0
46,47,2,,"20,22",1,50204,51009,date_monopoly_map_lattice_battle,,1
47,48,2,,"1,4",2,10201|10202|10203,51009,date_monopoly_map_lattice_date,-1,1
48,49,2,,"20,23",1,50205,51009,date_monopoly_map_lattice_battle,,0
49,50,2,,"1,5",1,50206,51009,date_monopoly_map_lattice_battle,,0
50,51,2,,"20,24",3,40013,51009,date_monopoly_map_lattice_earn,,0
51,52,2,,"1,6",1,50207,51009,date_monopoly_map_lattice_battle,,0
52,53,2,,"20,25",2,10301|10302|10303,51009,date_monopoly_map_lattice_date,-1,0
53,54,2,,"1,7",1,50208,51009,date_monopoly_map_lattice_battle,,1
54,55,2,,"20,26",1,50209,51009,date_monopoly_map_lattice_battle,,0
55,56,2,,"1,8",2,10401|10402|10403,51009,date_monopoly_map_lattice_date,-1,1
56,57,2,,"20,27",1,50210,51009,date_monopoly_map_lattice_battle,,0
57,58,2,,"1,9",3,40014,51009,date_monopoly_map_lattice_earn,,0
58,59,2,,"20,28",2,10501|10502|10503,51009,date_monopoly_map_lattice_date,-1,1
59,60,2,,"1,10",1,50211,51009,date_monopoly_map_lattice_battle,,1
60,41,2,,"20,29",1,50212,51009,date_monopoly_map_lattice_battle,,1
61,62,3,1,"1,1",1,50301,51009,date_monopoly_map_lattice_start_night,,1
62,63,3,,"20,20",2,10601|10602|10603,51009,date_monopoly_map_lattice_date_night,-1,1
63,64,3,,"1,2",1,50302,51009,date_monopoly_map_lattice_battle_night,,1
64,65,3,,"20,21",1,50303,51009,date_monopoly_map_lattice_battle_night,,0
65,66,3,,"1,3",3,40012,51009,date_monopoly_map_lattice_earn_night,,0
66,67,3,,"20,22",2,10701|10702|10703,51009,date_monopoly_map_lattice_date_night,-1,1
67,68,3,,"1,4",1,50304,51009,date_monopoly_map_lattice_battle_night,,1
68,69,3,,"20,23",1,50305,51009,date_monopoly_map_lattice_battle_night,,0
69,70,3,,"1,5",1,50306,51009,date_monopoly_map_lattice_battle_night,,0
70,71,3,,"20,24",2,10801|10802|10803,51009,date_monopoly_map_lattice_date_night,-1,0
71,72,3,,"1,6",1,50307,51009,date_monopoly_map_lattice_battle_night,,0
72,73,3,,"20,25",3,40013,51009,date_monopoly_map_lattice_earn_night,,0
73,74,3,,"1,7",1,50308,51009,date_monopoly_map_lattice_battle_night,,1
74,75,3,,"20,26",2,10901|10902|10903,51009,date_monopoly_map_lattice_date_night,-1,0
75,76,3,,"1,8",1,50309,51009,date_monopoly_map_lattice_battle_night,,1
76,77,3,,"20,27",3,40014,51009,date_monopoly_map_lattice_earn_night,,0
77,78,3,,"1,9",1,50310,51009,date_monopoly_map_lattice_battle_night,,0
78,79,3,,"20,28",2,11001|11002|11003,51009,date_monopoly_map_lattice_date_night,-1,1
79,80,3,,"1,10",1,50311,51009,date_monopoly_map_lattice_battle_night,,1
80,61,3,,"20,29",1,50312,51009,date_monopoly_map_lattice_battle_night,,1
81,82,4,1,"1,1",1,50401,51009,date_monopoly_map_lattice_start,,1
82,83,4,,"20,20",1,50402,51009,date_monopoly_map_lattice_battle,,1
83,84,4,,"1,2",3,40018,51009,date_monopoly_map_lattice_earn,,1
84,85,4,,"20,21",2,11101|11102|11103,51009,date_monopoly_map_lattice_date,-1,0
85,86,4,,"1,3",1,50403,51009,date_monopoly_map_lattice_battle,,0
86,87,4,,"20,22",1,50404,51009,date_monopoly_map_lattice_battle,,1
87,88,4,,"1,4",2,11201|11202|11203,51009,date_monopoly_map_lattice_date,-1,1
88,89,4,,"20,23",1,50405,51009,date_monopoly_map_lattice_battle,,0
89,90,4,,"1,5",3,40019,51009,date_monopoly_map_lattice_earn,,0
90,91,4,,"20,24",1,50406,51009,date_monopoly_map_lattice_battle,,0
91,92,4,,"1,6",2,11301|11302|11303,51009,date_monopoly_map_lattice_date,-1,0
92,93,4,,"20,25",1,50407,51009,date_monopoly_map_lattice_battle,,0
93,94,4,,"1,7",1,50408,51009,date_monopoly_map_lattice_battle,,1
94,95,4,,"20,26",1,50409,51009,date_monopoly_map_lattice_battle,,0
95,96,4,,"1,8",2,11401|11402|11403,51009,date_monopoly_map_lattice_date,-1,1
96,97,4,,"20,27",1,50410,51009,date_monopoly_map_lattice_battle,,0
97,98,4,,"1,9",3,40020,51009,date_monopoly_map_lattice_earn,,0
98,99,4,,"20,28",1,50411,51009,date_monopoly_map_lattice_battle,,1
99,100,4,,"1,10",2,11501|11502|11503,51009,date_monopoly_map_lattice_date,-1,1
100,81,4,,"20,29",1,50412,51009,date_monopoly_map_lattice_battle,,1
101,102,5,1,"1,1",1,50501,51006,date_monopoly_map_lattice_start,,1
102,103,5,,"20,20",2,20101|20102|20103,51006,date_monopoly_map_lattice_date,-1,1
103,104,5,,"1,2",1,50502,51006,date_monopoly_map_lattice_battle,,1
104,105,5,,"20,21",3,40021,51006,date_monopoly_map_lattice_earn,,0
105,106,5,,"1,3",1,50503,51006,date_monopoly_map_lattice_battle,,0
106,107,5,,"20,22",2,20201|20202|20203,51006,date_monopoly_map_lattice_date,-1,1
107,108,5,,"1,4",3,40012,51006,date_monopoly_map_lattice_earn,,1
108,109,5,,"20,23",1,50504,51006,date_monopoly_map_lattice_battle,,0
109,110,5,,"1,5",1,50505,51006,date_monopoly_map_lattice_battle,,0
110,111,5,,"20,24",1,50506,51006,date_monopoly_map_lattice_battle,,0
111,112,5,,"1,6",3,40013,51006,date_monopoly_map_lattice_earn,,0
112,113,5,,"20,25",1,50507,51006,date_monopoly_map_lattice_battle,,0
113,114,5,,"1,7",2,20301|20302|20303,51006,date_monopoly_map_lattice_date,-1,1
114,115,5,,"20,26",1,50508,51006,date_monopoly_map_lattice_battle,,0
115,116,5,,"1,8",1,50509,51006,date_monopoly_map_lattice_battle,,1
116,117,5,,"20,27",1,50510,51006,date_monopoly_map_lattice_battle,,0
117,118,5,,"1,9",2,20401|20402|20403,51006,date_monopoly_map_lattice_date,-1,0
118,119,5,,"20,28",1,50511,51006,date_monopoly_map_lattice_battle,,1
119,120,5,,"1,10",2,20501|20502|20503,51006,date_monopoly_map_lattice_date,-1,1
120,101,5,,"20,29",1,50512,51006,date_monopoly_map_lattice_battle,,1
121,122,6,1,"1,1",1,50601,51006,date_monopoly_map_lattice_start,,1
122,123,6,,"20,20",1,50602,51006,date_monopoly_map_lattice_battle,,1
123,124,6,,"1,2",3,40014,51006,date_monopoly_map_lattice_earn,,1
124,125,6,,"20,21",1,50603,51006,date_monopoly_map_lattice_battle,,0
125,126,6,,"1,3",2,20601|20602|20603,51006,date_monopoly_map_lattice_date,-1,0
126,127,6,,"20,22",1,50604,51006,date_monopoly_map_lattice_battle,,1
127,128,6,,"1,4",1,50605,51006,date_monopoly_map_lattice_battle,,1
128,129,6,,"20,23",2,20701|20702|20703,51006,date_monopoly_map_lattice_date,-1,0
129,130,6,,"1,5",1,50606,51006,date_monopoly_map_lattice_battle,,0
130,131,6,,"20,24",3,40015,51006,date_monopoly_map_lattice_earn,,0
131,132,6,,"1,6",1,50607,51006,date_monopoly_map_lattice_battle,,0
132,133,6,,"20,25",2,20801|20802|20803,51006,date_monopoly_map_lattice_date,-1,0
133,134,6,,"1,7",1,50608,51006,date_monopoly_map_lattice_battle,,1
134,135,6,,"20,26",1,50609,51006,date_monopoly_map_lattice_battle,,0
135,136,6,,"1,8",2,20901|20902|20903,51006,date_monopoly_map_lattice_date,-1,1
136,137,6,,"20,27",1,50610,51006,date_monopoly_map_lattice_battle,,0
137,138,6,,"1,9",3,40016,51006,date_monopoly_map_lattice_earn,,0
138,139,6,,"20,28",1,50611,51006,date_monopoly_map_lattice_battle,,1
139,140,6,,"1,10",2,21001|21002|21003,51006,date_monopoly_map_lattice_date,-1,1
140,121,6,,"20,29",1,50612,51006,date_monopoly_map_lattice_battle,,1
141,142,7,1,"1,1",1,50701,51006,date_monopoly_map_lattice_start_night,,1
142,143,7,,"20,20",3,40017,51006,date_monopoly_map_lattice_earn_night,,1
143,144,7,,"1,2",1,50702,51006,date_monopoly_map_lattice_battle_night,,1
144,145,7,,"20,21",1,50703,51006,date_monopoly_map_lattice_battle_night,,0
145,146,7,,"1,3",2,21101|21102|21103,51006,date_monopoly_map_lattice_date_night,-1,0
146,147,7,,"20,22",1,50704,51006,date_monopoly_map_lattice_battle_night,,1
147,148,7,,"1,4",3,40018,51006,date_monopoly_map_lattice_earn_night,,1
148,149,7,,"20,23",2,21201|21202|21203,51006,date_monopoly_map_lattice_date_night,-1,0
149,150,7,,"1,5",1,50705,51006,date_monopoly_map_lattice_battle_night,,0
150,151,7,,"20,24",1,50706,51006,date_monopoly_map_lattice_battle_night,,0
151,152,7,,"1,6",1,50707,51006,date_monopoly_map_lattice_battle_night,,0
152,153,7,,"20,25",2,21301|21302|21303,51006,date_monopoly_map_lattice_date_night,-1,0
153,154,7,,"1,7",1,50708,51006,date_monopoly_map_lattice_battle_night,,1
154,155,7,,"20,26",3,40019,51006,date_monopoly_map_lattice_earn_night,,0
155,156,7,,"1,8",1,50709,51006,date_monopoly_map_lattice_battle_night,,1
156,157,7,,"20,27",2,21401|21402|21403,51006,date_monopoly_map_lattice_date_night,-1,0
157,158,7,,"1,9",1,50710,51006,date_monopoly_map_lattice_battle_night,,0
158,159,7,,"20,28",2,21501|21502|21503,51006,date_monopoly_map_lattice_date_night,-1,1
159,160,7,,"1,10",1,50711,51006,date_monopoly_map_lattice_battle_night,,1
160,141,7,,"20,29",1,50712,51006,date_monopoly_map_lattice_battle_night,,1
161,162,8,1,"1,1",1,50801,54008,date_monopoly_map_lattice_start,,1
162,163,8,,"20,20",2,30101|30102|30103,54008,date_monopoly_map_lattice_date,-1,1
163,164,8,,"1,2",1,50802,54008,date_monopoly_map_lattice_battle,,1
164,165,8,,"20,21",3,40020,54008,date_monopoly_map_lattice_earn,,0
165,166,8,,"1,3",1,50803,54008,date_monopoly_map_lattice_battle,,0
166,167,8,,"20,22",2,30201|30202|30203,54008,date_monopoly_map_lattice_date,-1,1
167,168,8,,"1,4",1,50804,54008,date_monopoly_map_lattice_battle,,1
168,169,8,,"20,23",1,50805,54008,date_monopoly_map_lattice_battle,,0
169,170,8,,"1,5",3,40021,54008,date_monopoly_map_lattice_earn,,0
170,171,8,,"20,24",1,50806,54008,date_monopoly_map_lattice_battle,,0
171,172,8,,"1,6",2,30301|30302|30303,54008,date_monopoly_map_lattice_date,-1,0
172,173,8,,"20,25",1,50807,54008,date_monopoly_map_lattice_battle,,0
173,174,8,,"1,7",1,50808,54008,date_monopoly_map_lattice_battle,,1
174,175,8,,"20,26",1,50809,54008,date_monopoly_map_lattice_battle,,0
175,176,8,,"1,8",2,30401|30402|30403,54008,date_monopoly_map_lattice_date,-1,1
176,177,8,,"20,27",1,50810,54008,date_monopoly_map_lattice_battle,,0
177,178,8,,"1,9",3,40001,54008,date_monopoly_map_lattice_earn,,0
178,179,8,,"20,28",1,50811,54008,date_monopoly_map_lattice_battle,,1
179,180,8,,"1,10",2,30501|30502|30503,54008,date_monopoly_map_lattice_date,-1,1
180,161,8,,"20,29",1,50812,54008,date_monopoly_map_lattice_battle,,1
181,182,9,1,"1,1",1,50901,54008,date_monopoly_map_lattice_start,,1
182,183,9,,"20,20",1,50902,54008,date_monopoly_map_lattice_battle,,1
183,184,9,,"1,2",2,30601|30602|30603,54008,date_monopoly_map_lattice_date,-1,1
184,185,9,,"20,21",1,50903,54008,date_monopoly_map_lattice_battle,,0
185,186,9,,"1,3",3,40002,54008,date_monopoly_map_lattice_earn,,0
186,187,9,,"20,22",1,50904,54008,date_monopoly_map_lattice_battle,,1
187,188,9,,"1,4",2,30701|30702|30703,54008,date_monopoly_map_lattice_date,-1,1
188,189,9,,"20,23",1,50905,54008,date_monopoly_map_lattice_battle,,0
189,190,9,,"1,5",3,40003,54008,date_monopoly_map_lattice_earn,,0
190,191,9,,"20,24",1,50906,54008,date_monopoly_map_lattice_battle,,0
191,192,9,,"1,6",1,50907,54008,date_monopoly_map_lattice_battle,,0
192,193,9,,"20,25",2,30801|30802|30803,54008,date_monopoly_map_lattice_date,-1,0
193,194,9,,"1,7",1,50908,54008,date_monopoly_map_lattice_battle,,1
194,195,9,,"20,26",1,50909,54008,date_monopoly_map_lattice_battle,,0
195,196,9,,"1,8",3,40004,54008,date_monopoly_map_lattice_earn,,1
196,197,9,,"20,27",1,50910,54008,date_monopoly_map_lattice_battle,,0
197,198,9,,"1,9",2,30901|30902|30903,54008,date_monopoly_map_lattice_date,-1,0
198,199,9,,"20,28",1,50911,54008,date_monopoly_map_lattice_battle,,1
199,200,9,,"1,10",1,50912,54008,date_monopoly_map_lattice_battle,,1
200,181,9,,"20,29",2,31001|31002|31003,54008,date_monopoly_map_lattice_date,-1,1
201,202,10,1,"1,1",1,51001,54008,date_monopoly_map_lattice_start,,1
202,203,10,,"20,20",1,51002,54008,date_monopoly_map_lattice_battle,,1
203,204,10,,"1,2",1,51003,54008,date_monopoly_map_lattice_battle,,1
204,205,10,,"20,21",2,31101|31102|31103,54008,date_monopoly_map_lattice_date,-1,0
205,206,10,,"1,3",1,51004,54008,date_monopoly_map_lattice_battle,,0
206,207,10,,"20,22",3,40005,54008,date_monopoly_map_lattice_earn,,1
207,208,10,,"1,4",1,51005,54008,date_monopoly_map_lattice_battle,,1
208,209,10,,"20,23",2,31201|31202|31203,54008,date_monopoly_map_lattice_date,-1,0
209,210,10,,"1,5",1,51006,54008,date_monopoly_map_lattice_battle,,0
210,211,10,,"20,24",3,40006,54008,date_monopoly_map_lattice_earn,,0
211,212,10,,"1,6",1,51007,54008,date_monopoly_map_lattice_battle,,0
212,213,10,,"20,25",1,51008,54008,date_monopoly_map_lattice_battle,,0
213,214,10,,"1,7",2,31301|31302|31303,54008,date_monopoly_map_lattice_date,-1,1
214,215,10,,"20,26",1,51009,54008,date_monopoly_map_lattice_battle,,0
215,216,10,,"1,8",3,40007,54008,date_monopoly_map_lattice_earn,,1
216,217,10,,"20,27",1,51010,54008,date_monopoly_map_lattice_battle,,0
217,218,10,,"1,9",2,31401|31402|31403,54008,date_monopoly_map_lattice_date,-1,0
