id,lv,next_id,exskill_id,cost,restore,effects,pas_skills
101001,1,101002,101001,1#1050000|27#15|216#35,27#5|216#10,hp#8212|atk#0|spd#0|sklP#0,
101002,2,101003,101001,1#1100000|27#25|216#60,27#20|216#45,hp#16425|atk#0|spd#0|sklP#0,
101003,3,101004,101001,1#1150000|27#35|216#85,27#45|216#105,hp#24638|atk#0|spd#0|sklP#0,
101004,4,101005,101001,1#1200000|27#45|216#110,27#80|216#190,hp#32851|atk#0|spd#0|sklP#0,
101005,5,101006,101001,1#1250000|27#55|216#135,27#125|216#300,hp#41064|atk#0|spd#0|sklP#0,
101006,6,101007,101001,1#1300000|27#65|216#160,27#180|216#435,hp#49277|atk#0|spd#0|sklP#0,
101007,7,101008,101001,1#1350000|27#75|216#185,27#245|216#595,hp#57490|atk#0|spd#0|sklP#0,
101008,8,101009,101001,1#1400000|27#85|216#210,27#320|216#780,hp#65703|atk#0|spd#0|sklP#0,
101009,9,101010,101001,1#1450000|27#95|216#235,27#405|216#990,hp#73916|atk#0|spd#0|sklP#0,
101010,10,101011,101001,1#1500000|27#105|216#260,27#500|216#1225,hp#82128|atk#0|spd#0|sklP#0,101010
101011,11,101012,101001,1#1550000|27#115|216#285,27#605|216#1485,hp#90341|atk#380|spd#0|sklP#0,101010
101012,12,101013,101001,1#1600000|27#125|216#310,27#720|216#1770,hp#98554|atk#760|spd#0|sklP#0,101010
101013,13,101014,101001,1#1650000|27#135|216#335,27#845|216#2080,hp#106767|atk#1140|spd#0|sklP#0,101010
101014,14,101015,101001,1#1700000|27#145|216#360,27#980|216#2415,hp#114980|atk#1520|spd#0|sklP#0,101010
101015,15,101016,101001,1#1750000|27#155|216#385,27#1125|216#2775,hp#123193|atk#1900|spd#0|sklP#0,101010
101016,16,101017,101001,1#1800000|27#165|216#410,27#1280|216#3160,hp#131406|atk#2281|spd#0|sklP#0,101010
101017,17,101018,101001,1#1850000|27#175|216#435,27#1445|216#3570,hp#139619|atk#2661|spd#0|sklP#0,101010
101018,18,101019,101001,1#1900000|27#185|216#460,27#1620|216#4005,hp#147832|atk#3041|spd#0|sklP#0,101010
101019,19,101020,101001,1#1950000|27#195|216#485,27#1805|216#4465,hp#156044|atk#3421|spd#0|sklP#0,101010
101020,20,101021,101001,1#2000000|27#205|216#510,27#2000|216#4950,hp#164257|atk#3801|spd#0|sklP#0,101010|101020
101021,21,101022,101001,1#2050000|27#215|216#535,27#2205|216#5460,hp#172470|atk#4181|spd#2|sklP#0,101010|101020
101022,22,101023,101001,1#2100000|27#225|216#560,27#2420|216#5995,hp#180683|atk#4562|spd#2|sklP#0,101010|101020
101023,23,101024,101001,1#2150000|27#235|216#585,27#2645|216#6555,hp#188896|atk#4942|spd#4|sklP#0,101010|101020
101024,24,101025,101001,1#2200000|27#245|216#610,27#2880|216#7140,hp#197109|atk#5322|spd#4|sklP#0,101010|101020
101025,25,101026,101001,1#2250000|27#255|216#635,27#3125|216#7750,hp#205322|atk#5702|spd#6|sklP#0,101010|101020
101026,26,101027,101001,1#2300000|27#265|216#660,27#3380|216#8385,hp#213535|atk#6082|spd#6|sklP#0,101010|101020
101027,27,101028,101001,1#2350000|27#275|216#685,27#3645|216#9045,hp#221748|atk#6462|spd#8|sklP#0,101010|101020
101028,28,101029,101001,1#2400000|27#285|216#710,27#3920|216#9730,hp#229960|atk#6843|spd#8|sklP#0,101010|101020
101029,29,101030,101001,1#2450000|27#295|216#735,27#4205|216#10440,hp#238173|atk#7223|spd#10|sklP#0,101010|101020
101030,30,101031,101001,1#2500000|27#305|216#760,27#4500|216#11175,hp#246386|atk#7603|spd#10|sklP#10,101010|101020
