id,lv,next_id,pet_skill_id,cost,restore,effect,icon
1011001,1,1011002,1011001,1#24262|27#7,27#0|26#0,hp#523|atk#38,pet_skill_1011
1011002,2,1011003,1011001,1#45350|27#11,27#7|26#0,hp#1046|atk#77,pet_skill_1011
1011003,3,1011004,1011001,1#65506|27#17,27#18|26#0,hp#1570|atk#115,pet_skill_1011
1011004,4,1011005,1011001,1#85661|27#21,27#35|26#0,hp#2093|atk#154,pet_skill_1011
1011005,5,1011006,1011001,1#109735|27#26,27#56|26#0,hp#2616|atk#192,pet_skill_1011
1011006,6,1011007,1011001,1#130637|27#30,27#82|26#0,hp#3139|atk#230,pet_skill_1011
1011007,7,1011008,1011001,1#151539|27#36,27#112|26#0,hp#3663|atk#269,pet_skill_1011
1011008,8,1011009,1011001,1#178600|27#40,27#148|26#0,hp#4186|atk#307,pet_skill_1011
1011009,9,1011010,1011001,1#200248|27#44,27#188|26#0,hp#4709|atk#346,pet_skill_1011
1011010,10,1011011,1011001,1#221896|27#49,27#232|26#0,hp#5232|atk#384,pet_skill_1011
1011011,11,1011012,1011001,1#243545|27#53,27#281|26#0,hp#5755|atk#423,pet_skill_1011
1011012,12,1011013,1011001,1#274338|27#59,27#334|26#0,hp#6279|atk#461,pet_skill_1011
1011013,13,1011014,1011001,1#296733|27#63,27#393|26#0,hp#6802|atk#499,pet_skill_1011
1011014,14,1011015,1011001,1#319128|27#68,27#456|26#0,hp#7325|atk#538,pet_skill_1011
1011015,15,1011016,1011001,1#352906|27#72,27#524|26#0,hp#7848|atk#576,pet_skill_1011
1011016,16,1011017,1011001,1#376048|27#77,27#596|26#0,hp#8371|atk#615,pet_skill_1011
1011017,17,1011018,1011001,1#399189|27#81,27#673|26#0,hp#8895|atk#653,pet_skill_1011
1011018,18,1011019,1011001,1#435954|27#87,27#754|26#0,hp#9418|atk#691,pet_skill_1011
1011019,19,1011020,1011001,1#459842|27#91,27#841|26#0,hp#9941|atk#730,pet_skill_1011
1011020,20,1011021,1011001,1#483730|27#95,27#932|26#0,hp#10464|atk#768,pet_skill_1011
1011021,21,1011022,1011001,1#507618|27#100,27#1027|26#0,hp#10988|atk#807,pet_skill_1011
1011022,22,1011023,1011001,1#548115|27#104,27#1127|26#0,hp#11511|atk#845,pet_skill_1011
1011023,23,1011024,1011001,1#572750|27#110,27#1231|26#0,hp#12034|atk#883,pet_skill_1011
1011024,24,1011025,1011001,1#597384|27#114,27#1341|26#0,hp#12557|atk#922,pet_skill_1011
1011025,25,1011026,1011001,1#640867|27#119,27#1455|26#0,hp#13080|atk#960,pet_skill_1011
1011026,26,1011027,1011001,1#666248|27#123,27#1574|26#0,hp#13604|atk#999,pet_skill_1011
1011027,27,1011028,1011001,1#691629|27#129,27#1697|26#0,hp#14127|atk#1037,pet_skill_1011
1011028,28,1011029,1011001,1#738098|27#133,27#1826|26#0,hp#14650|atk#1076,pet_skill_1011
1011029,29,1011030,1011001,1#764226|27#138,27#1959|26#0,hp#15173|atk#1114,pet_skill_1011
1011030,30,1011031,1011001,1#792226|27#152,27#2097|26#0,hp#15855|atk#1164,pet_skill_1011
1011031,31,1011032,1011001,1#820226|27#167,27#2249|26#0,hp#17440|atk#1193,pet_skill_1011
1011032,32,1011033,1011001,1#848226|27#184,27#2416|26#0,hp#19025|atk#1222,pet_skill_1011
1011033,33,1011034,1011001,1#876226|27#202,27#2600|26#0,hp#20610|atk#1251,pet_skill_1011
1011034,34,1011035,1011001,1#904226|27#222,27#2802|26#0,hp#22195|atk#1280,pet_skill_1011
1011035,35,1011036,1011001,1#932226|27#244,27#3024|26#0,hp#23780|atk#1309,pet_skill_1011
1011036,36,1011037,1011001,1#960226|27#268,27#3268|26#0,hp#25365|atk#1338,pet_skill_1011
1011037,37,1011038,1011001,1#988226|27#295,27#3536|26#0,hp#26950|atk#1367,pet_skill_1011
1011038,38,1011039,1011001,1#1016226|27#325,27#3831|26#0,hp#28535|atk#1396,pet_skill_1011
1011039,39,1011040,1011001,1#1044226|27#358,27#4156|26#0,hp#30120|atk#1425,pet_skill_1011
1011040,40,1011041,1011001,1#1072226|27#394,27#4514|26#0,hp#31705|atk#1454,pet_skill_1011
1011041,41,1011042,1011001,1#1100226|27#433,27#4908|26#0,hp#33290|atk#1483,pet_skill_1011
1011042,42,1011043,1011001,1#1128226|27#476,27#5341|26#0,hp#34875|atk#1512,pet_skill_1011
1011043,43,1011044,1011001,1#1156226|27#524,27#5817|26#0,hp#36460|atk#1541,pet_skill_1011
1011044,44,1011045,1011001,1#1184226|27#576,27#6341|26#0,hp#38045|atk#1570,pet_skill_1011
1011045,45,1011046,1011001,1#1212226|27#634,27#6917|26#0,hp#39630|atk#1599,pet_skill_1011
1011046,46,1011047,1011001,1#1240226|27#697,27#7551|26#0,hp#41215|atk#1628,pet_skill_1011
1011047,47,1011048,1011001,1#1268226|27#767,27#8248|26#0,hp#42800|atk#1657,pet_skill_1011
1011048,48,1011049,1011001,1#1296226|27#844,27#9015|26#0,hp#44385|atk#1686,pet_skill_1011
1011049,49,1011050,1011001,1#1324226|27#928,27#9859|26#0,hp#45970|atk#1715,pet_skill_1011
1011050,50,0,1011001,,27#10787|26#0,hp#47555|atk#1744,pet_skill_1011
1012001,1,1012002,1012001,1#381833|27#79,27#0|26#2100,hp#1046|atk#69|brk#20,pet_skill_1012
1012002,2,1012003,1012001,1#410760|27#84,27#79|26#2100,hp#2093|atk#138|brk#20,pet_skill_1012
1012003,3,1012004,1012001,1#453870|27#90,27#163|26#2100,hp#3139|atk#207|brk#20,pet_skill_1012
1012004,4,1012005,1012001,1#483730|27#95,27#253|26#2100,hp#4186|atk#277|brk#40,pet_skill_1012
1012005,5,1012006,1012001,1#513590|27#102,27#348|26#2100,hp#5232|atk#346|brk#40,pet_skill_1012
1012006,6,1012007,1012001,1#543450|27#107,27#450|26#2100,hp#6279|atk#415|brk#40,pet_skill_1012
1012007,7,1012008,1012001,1#591225|27#113,27#557|26#2100,hp#7325|atk#484|brk#60,pet_skill_1012
1012008,8,1012009,1012001,1#622018|27#119,27#670|26#2100,hp#8371|atk#553|brk#60,pet_skill_1012
1012009,9,1012010,1012001,1#652811|27#125,27#789|26#2100,hp#9418|atk#622|brk#60,pet_skill_1012
1012010,10,1012011,1012001,1#704319|27#130,27#914|26#2100,hp#10464|atk#691|brk#80,pet_skill_1012
1012011,11,1012012,1012001,1#736046|27#137,27#1044|26#2100,hp#11511|atk#760|brk#80,pet_skill_1012
1012012,12,1012013,1012001,1#767772|27#142,27#1181|26#2100,hp#12557|atk#830|brk#80,pet_skill_1012
1012013,13,1012014,1012001,1#823012|27#148,27#1323|26#2100,hp#13604|atk#899|brk#100,pet_skill_1012
1012014,14,1012015,1012001,1#855672|27#154,27#1471|26#2100,hp#14650|atk#968|brk#100,pet_skill_1012
1012015,15,1012016,1012001,1#888331|27#160,27#1625|26#2100,hp#15696|atk#1037|brk#100,pet_skill_1012
1012016,16,1012017,1012001,1#920990|27#165,27#1785|26#2100,hp#16743|atk#1106|brk#120,pet_skill_1012
1012017,17,1012018,1012001,1#980896|27#172,27#1950|26#2100,hp#17789|atk#1175|brk#120,pet_skill_1012
1012018,18,1012019,1012001,1#1014489|27#177,27#2122|26#2100,hp#18836|atk#1244|brk#120,pet_skill_1012
1012019,19,1012020,1012001,1#1048081|27#183,27#2299|26#2100,hp#19882|atk#1314|brk#140,pet_skill_1012
1012020,20,1012021,1012001,1#1111720|27#189,27#2482|26#2100,hp#20929|atk#1383|brk#140,pet_skill_1012
1012021,21,1012022,1012001,1#1146245|27#195,27#2671|26#2100,hp#21975|atk#1452|brk#140,pet_skill_1012
