id,position_1,position_2,position_3,animation_type,awards,awards_updated,dropbox_id,dropbox_id_updated,weight
1,1,1,1,1,58#8,305#8,,,80
2,2,2,2,1,58#7,305#7,,,80
3,3,3,3,1,58#6,305#6,,,80
4,1,1,2,1,58#5,305#5,,,85
5,1,2,1,1,58#5,305#5,,,85
6,1,1,3,1,58#5,305#5,,,85
7,1,3,1,1,58#5,305#5,,,85
8,3,1,1,1,58#5,305#5,,,85
9,2,1,1,1,58#5,305#5,,,85
10,2,2,1,1,58#4,305#4,,,90
11,2,1,2,1,58#4,305#4,,,90
12,1,2,2,1,58#4,305#4,,,90
13,2,2,3,1,58#4,305#4,,,90
14,2,3,2,1,58#4,305#4,,,90
15,3,2,2,1,58#4,305#4,,,90
16,3,3,1,1,58#3,305#3,,,100
17,3,1,3,1,58#3,305#3,,,100
18,1,3,3,1,58#3,305#3,,,100
19,3,3,2,1,58#3,305#3,,,100
20,3,2,3,1,58#3,305#3,,,100
21,2,3,3,1,58#3,305#3,,,100
22,1,2,3,1,,,32006,32007,120
23,1,3,2,1,,,32006,32007,120
24,2,1,3,1,,,32006,32007,120
25,2,3,1,1,,,32006,32007,120
26,3,1,2,1,,,32006,32007,120
27,3,2,1,1,,,32006,32007,120
