id,start_achievement,end_achievement,desc,type,show_rank,show_rank_done
1,1,40,-1,1,2,1
3,101,109,-1,2,4,3
4,110,117,-1,2,5,4
5,118,121,-1,2,6,5
6,122,122,-1,2,7,6
7,123,126,-1,2,11,10
8,201,202,-1,2,12,11
9,203,204,-1,2,13,12
10,205,206,-1,2,14,13
11,301,304,-1,2,15,14
12,305,308,-1,1,16,15
14,501,503,-1,2,18,17
15,504,506,-1,2,19,18
16,507,509,-1,2,20,19
18,801,803,-1,2,23,22
19,901,904,-1,2,24,23
20,1001,1001,-1,1,1,23
22,127,127,-1,2,8,7
23,1101,1103,-1,3,25,24
24,1201,1201,-1,4,26,25
25,411,426,-1,1,17,16
26,128,128,-1,2,9,8
27,1301,1306,-1,1,27,27
28,1401,1405,-1,3,29,29
29,1501,1505,-1,3,30,30
30,1601,1601,-1,1,31,31
31,1701,1701,-1,1,32,32
32,1801,1804,-1,1,33,33
33,1901,1905,-1,2,21,20
34,2001,2005,-1,1,22,21
35,2101,2103,-1,1,28,28
36,2201,2210,-1,1,34,34
37,2301,2301,-1,1,35,35
38,129,129,-1,2,10,9
39,2401,2408,-1,1,36,36
40,2501,2506,-1,1,37,37
41,2701,2706,-1,1,39,39
42,2601,2606,-1,1,38,38
43,2801,2805,-1,1,40,40
