id,player_created_time,gift_id,type,min_map_id
4001,,50001,1,
4002,,2010001,1,
9999,,2010001,2,
1001,1593475200,51001,1,
1002,1593475200,51002,1,
1003,1593475200,51003,1,
1004,1593475200,51004,1,
1005,1593475200,51005,1,
1006,1593475200,51006,1,
1007,1593475200,51007,1,
1008,1593475200,51008,1,
1009,1593475200,51009,1,
1010,1601251200,51002,1,
1011,1601337600,51002,1,
1012,,51012,1,
1013,,51013,1,
2001,,52001,2,
2002,,52002,2,
2003,1610964000,52002,2,11
2004,,52004,2,
2005,,52005,2,
2006,,52006,2,
2007,,52007,2,
