id,brief,decision_id,plot_id,earn_id,cost,favor_award,effect_id,awards,is_memory
10111,-1,10101,101106,,129#0,51009#5,,,
10112,-1,10101,101107,,129#10,51009#10,1028176|1029046,,
10113,-1,10101,101108,,129#15,51009#15,,130#1,1
10121,-1,10102,101206,,129#15,51009#15,,130#1,1
10122,-1,10102,101207,,129#10,51009#10,1028176|1029046,,
10123,-1,10102,101208,,129#0,51009#5,,,
10131,-1,10103,101305,,129#10,51009#10,1028176|1029046,,
10132,-1,10103,101306,,129#0,51009#5,,,
10133,-1,10103,101309,,129#15,51009#15,,130#1,1
10211,-1,10201,102107,,129#15,51009#15,,130#1,1
10212,-1,10201,102109,,129#0,51009#5,,,
10213,-1,10201,102112,,129#10,51009#10,1028176|1029046,,
10221,-1,10202,102204,,129#0,51009#5,,,
10222,-1,10202,102205,,129#15,51009#15,,130#1,1
10223,-1,10202,102207,,129#10,51009#10,1028176|1029046,,
10231,-1,10203,102304,,129#15,51009#15,,130#1,1
10232,-1,10203,102306,,129#10,51009#10,1028176|1029046,,
10233,-1,10203,102307,,129#0,51009#5,,,
10311,-1,10301,103105,,129#15,51009#15,,130#1,1
10312,-1,10301,103106,,129#0,51009#5,,,
10313,-1,10301,103107,,129#10,51009#10,1028176|1029046,,
10321,-1,10302,103204,,129#15,51009#15,,130#1,1
10322,-1,10302,103206,,129#10,51009#10,1028176|1029046,,
10323,-1,10302,103207,,129#0,51009#5,,,
10331,-1,10303,103307,,129#15,51009#15,,130#1,1
10332,-1,10303,103308,,129#10,51009#10,1028176|1029046,,
10333,-1,10303,103309,,129#0,51009#5,,,
10411,-1,10401,104107,,129#0,51009#15,,130#1,1
10412,-1,10401,104108,,129#12,51009#10,1028176|1029046,,
10413,-1,10401,104109,,129#12,51009#5,,,
10421,-1,10402,104204,,129#5,51009#5,,,
10422,-1,10402,104205,,129#10,51009#15,1028176|1029046,,
10423,-1,10402,104206,,129#10,51009#10,,130#1,1
10431,-1,10403,104305,,129#0,51009#5,,,
10432,-1,10403,104306,,129#10,51009#10,1028176|1029046,,
10433,-1,10403,104308,,129#15,51009#15,,130#1,1
10511,-1,10501,105105,,129#10,51009#10,1028176|1029046,,
10512,-1,10501,105106,,129#15,51009#15,,130#1,1
10513,-1,10501,105107,,129#0,51009#5,,,
10521,-1,10502,105205,,129#15,51009#15,,130#1,1
10522,-1,10502,105206,,129#10,51009#10,1028176|1029046,,
10523,-1,10502,105208,,129#0,51009#5,,,
10531,-1,10503,105304,,129#5,51009#15,,130#1,1
10532,-1,10503,105305,,129#10,51009#10,1028176|1029046,,
10533,-1,10503,105307,,129#10,51009#5,,,
10611,-1,10601,106105,,129#0,51009#5,,,
10612,-1,10601,106106,,129#10,51009#10,1028176|1029046,,
10613,-1,10601,106107,,129#15,51009#15,,130#1,1
10621,-1,10602,106206,,129#10,51009#15,,,
10622,-1,10602,106207,,129#5,51009#10,1028176|1029046,,
10623,-1,10602,106208,,129#10,51009#15,,130#1,1
10631,-1,10603,106303,,129#12,51009#15,,130#1,1
10632,-1,10603,106304,,129#13,51009#10,1028176|1029046,,
10633,-1,10603,106305,,129#0,51009#5,,,
10711,-1,10701,107104,,129#8,51009#5,,,
10712,-1,10701,107105,,129#8,51009#10,1028176|1029046,,
10713,-1,10701,107106,,129#9,51009#15,,130#1,1
