id,point,awards,effect,awards2,effect2
1,25,2#500,1,2#777|940001#240,1|0
2,50,36#5,,2#777|940002#50,1|1
3,75,940002#50,1,2#777|940002#50,1|1
4,125,242#1,1,2#777|940002#50,1|1
5,175,36#5|1#10000000,,2#777|1#20000000,1|0
6,250,29#3|9#10000000,,2#777|9#20000000,1|0
7,325,36#5|14#7500,,2#777|14#15000,1|0
8,425,29#3|10#7500,,2#777|10#15000,1|0
9,525,36#5|4204010#1,0|1,2#777|4204010#2,1|1
10,650,29#3|4204010#1,0|1,2#777|4204010#2,1|1
11,775,93#1,1,2#777|4102007#1,1|1
12,900,956099#50,1,73#50|170#80,1|1
