id,point,free_award,sp_free_award,paid_award,sp_paid_award,light_show
1,20,36#2|2#200,,2#600,930209#50&930208#50&930210#50&930207#50,2
2,40,36#2|1#5000000,,2#600,940011#50&940012#50&940013#50&940014#50,
3,80,36#2,940011#25&940012#25&940013#25&940014#25,2#600,940011#50&940012#50&940013#50&940014#50,
4,120,36#2|9#5000000,,2#600,940011#50&940012#50&940013#50&940014#50,
5,160,36#2,940011#25&940012#25&940013#25&940014#25,2#600,940011#50&940012#50&940013#50&940014#50,
6,200,36#2|10#4000,,2#600,930209#50&930208#50&930210#50&930207#50,2
7,250,36#2,940011#25&940012#25&940013#25&940014#25,2#600,940011#50&940012#50&940013#50&940014#50,
8,350,36#2|14#4000,,2#600,940011#50&940012#50&940013#50&940014#50,
9,450,36#2,940011#25&940012#25&940013#25&940014#25,2#600,940011#100&940012#100&940013#100&940014#100,
10,600,36#2|242#1,,2#600,940031#50&940032#50&940033#50&940034#50,2
11,750,36#2,940011#50&940012#50&940013#50&940014#50,2#600,940031#50&940032#50&940033#50&940034#50,2
12,950,36#2,940011#50&940012#50&940013#50&940014#50,4501002#1,930209#50|940011#100&930208#50|940012#100&930210#50|940013#100&930207#50|940014#100,1|2
