id,rank,awards,season_awards,rank_front
1,1,2#60|14#500|16#40,2#600|14#3000|16#800,1
2,2,2#57|14#470|16#37,2#570|14#2800|16#720,2
3,3,2#54|14#440|16#34,2#540|14#2600|16#680,3
4,4,2#51|14#410|16#31,2#510|14#2400|16#640,4
5,5,2#48|14#380|16#28,2#480|14#2200|16#600,5
6,10,2#40|14#350|16#25,2#400|14#2000|16#520,6-10
7,20,2#35|14#300|16#22,2#350|14#1700|16#440,11-20
8,50,2#25|14#250|16#19,2#250|14#1400|16#360,21-50
9,100,2#15|14#200|16#16,2#150|14#1100|16#280,51-100
10,200,2#10|14#180|16#13,2#100|14#900|16#200,101-200
11,500,2#8|14#160|16#10,2#80|14#800|16#120,201-500
12,1000,2#6|14#140|16#8,2#60|14#700|16#80,501-1000
13,3000,2#5|14#120|16#6,2#50|14#600|16#40,1001-3000
14,999999,2#1|14#100|16#4,2#5|14#500|16#25,3001-999999
