id,desc,next_achieve_id,complete_value,awards
1,-1,2,6000,325#500|326#50
2,-1,3,30000,325#500|332#5
3,-1,4,60000,325#1000|326#100
4,-1,5,120000,325#1000|332#15
5,-1,6,240000,325#2000|326#200
6,-1,0,600000,325#2000|333#5
7,-1,8,1,325#500|326#50
8,-1,9,10,325#500|332#5
9,-1,10,30,325#1000|326#100
10,-1,11,50,325#1000|332#15
11,-1,12,80,325#2000|326#200
12,-1,0,120,325#2000|333#5
13,-1,0,1,325#500|332#5
14,-1,0,1,325#500|332#5
15,-1,0,1,325#500|332#5
16,-1,0,1,325#500|332#5
17,-1,18,1,325#500|326#50
18,-1,19,2,325#1000|332#10
19,-1,20,4,325#1500|326#150
20,-1,0,8,325#2000|333#10
21,-1,22,10,325#500|326#50
22,-1,23,20,325#500|332#5
23,-1,24,40,325#1000|326#100
24,-1,25,70,325#1000|332#5
25,-1,0,100,325#2000|333#5
26,-1,27,1,325#2000|333#3
27,-1,28,2,325#4000|333#5
28,-1,29,4,325#6000|333#7
29,-1,0,8,325#8000|333#10
