id,desc,type,award,complete_value,if_change,activity_id,getway
1,-1,0,302#1,1,,251,10
2,-1,0,302#1,5,,251,5
3,-1,0,302#1,6,,251,25
4,-1,0,302#1,500,,251,2
5,-1,1,302#5,5,,251,
6,-1,1,302#2,2000,,251,2
7,-1,1,302#2,400,,20,23
8,-1,1,302#3,800,,20,23
9,-1,1,302#2,200,,13,7
10,-1,1,302#3,500,,13,7
11,-1,1,302#2,40,,16,8
12,-1,1,302#3,80,,16,8
13,-1,1,302#1,1,,251,7
14,-1,1,302#2,1,,251,30
15,-1,1,302#2,1000,,74,83
16,-1,1,302#3,2000,,74,83
17,-1,1,302#2,30,,166,144
18,-1,1,302#3,75,,166,144
