id,cost2,cost3,cost4,cost5,cost6,num2,num3,num4,num5,num6
0,1#100000|325#50,1#100000|325#50,1#100000|325#50,1#100000|325#50,1#100000|325#50,,,,,
1,1#150000|325#100,1#150000|325#100,1#150000|325#100,1#150000|325#100,1#150000|325#100,,,,,
2,1#200000|325#150,1#200000|325#150,1#200000|325#150,1#200000|325#150,1#200000|325#150,,,,,
3,1#250000|325#200,1#250000|325#200,1#250000|325#200,1#250000|325#200,1#250000|325#200,,,,,
4,1#300000|325#250,1#300000|325#250,1#300000|325#250,1#300000|325#250,1#300000|325#250,,,,,
5,1#350000|325#300,1#350000|325#300,1#350000|325#300,1#350000|325#300,1#350000|325#300,,,,,
6,1#400000|325#350,1#400000|325#350,1#400000|325#350,1#400000|325#350,1#400000|325#350,,,,,
7,1#450000|325#400,1#450000|325#400,1#450000|325#400,1#450000|325#400,1#450000|325#400,,,,,
8,1#500000|325#450,1#500000|325#450,1#500000|325#450,1#500000|325#450,1#500000|325#450,,,,,
9,1#550000|325#500,1#550000|325#500,1#550000|325#500,1#550000|325#500,1#550000|325#500,,,,,
10,1#600000|326#50,1#600000|326#50,1#600000|326#50,1#600000|326#50,1#600000|326#50,4,6,8,10,10
11,1#650000|325#600,1#650000|325#600,1#650000|325#600,1#650000|325#600,1#650000|325#600,,,,,
12,1#700000|325#650,1#700000|325#650,1#700000|325#650,1#700000|325#650,1#700000|325#650,,,,,
13,1#750000|325#700,1#750000|325#700,1#750000|325#700,1#750000|325#700,1#750000|325#700,,,,,
14,1#800000|325#750,1#800000|325#750,1#800000|325#750,1#800000|325#750,1#800000|325#750,,,,,
15,1#850000|325#800,1#850000|325#800,1#850000|325#800,1#850000|325#800,1#850000|325#800,,,,,
16,1#900000|325#850,1#900000|325#850,1#900000|325#850,1#900000|325#850,1#900000|325#850,,,,,
17,1#950000|325#900,1#950000|325#900,1#950000|325#900,1#950000|325#900,1#950000|325#900,,,,,
18,1#1000000|325#950,1#1000000|325#950,1#1000000|325#950,1#1000000|325#950,1#1000000|325#950,,,,,
19,1#1050000|325#1000,1#1050000|325#1000,1#1050000|325#1000,1#1050000|325#1000,1#1050000|325#1000,,,,,
20,1#1100000|326#100,1#1100000|326#100,1#1100000|326#100,1#1100000|326#100,1#1100000|326#100,4,6,8,10,10
21,1#1150000|325#1100,1#1150000|325#1100,1#1150000|325#1100,1#1150000|325#1100,1#1150000|325#1100,,,,,
22,1#1200000|325#1150,1#1200000|325#1150,1#1200000|325#1150,1#1200000|325#1150,1#1200000|325#1150,,,,,
23,1#1250000|325#1200,1#1250000|325#1200,1#1250000|325#1200,1#1250000|325#1200,1#1250000|325#1200,,,,,
24,1#1300000|325#1250,1#1300000|325#1250,1#1300000|325#1250,1#1300000|325#1250,1#1300000|325#1250,,,,,
