id,name,group_id,type,is_show,special_type,effect_type,furniture_effect_idle,furniture_effect_interact,interact,point_xy,interact_flip,area,comfort,img,collection_img,collection_img_scale,interact_img,furniture_floor,flip_img,pos_offset,layer,floor,place_floor,can_pile,can_be_pile,grid_type,can_flip,height,pile_limit_start,pile_area,pile_offset,img_set_type
1010001,-1,1,2,1,2,,,,,,,48|1,1,img_1010001,img_1010001_1,1,,,,,2,1,3|6,,,1|2,,,0|0,48|1,,
1010002,-1,1,1,1,2,,,,,,,24|24,1,img_1010002,img_1010002,1,,,,,2,1,1,,,0,,,0|0,24|24,,
1010003,-1,1,3,1,3,texiao01,,,,,,4|4,1,img_1010003,img_1010003,1,,,,,1,2,9,,,0,1,,,,,
1010004,-1,1,4,1,1,texiao01,,,,,,2|2,1,img_1010004,img_1010004,1,,,,,2,3,10,,1,0,1,2,0|0,2|2,0|-82,
1010005,-1,1,4,1,1,texiao01,,,,,,2|2,1,img_1010005,img_1010005,1,,,,,2,3,10,,1,0,1,1,0|0,2|2,0|-29,
1010006,-1,1,5,1,1,texiao01,,,1,15|-15,0,2|2,1,img_1010006,img_1010006,1,,,,,2,3,10,,,0,1,1,,,,
1010007,-1,1,6,1,1,texiao01,,,2,-20|-55,0,4|5,1,img_1010007,img_1010007,1,,,,25|0,2,3,10,,,0,1,0,,,,
1010008,-1,1,8,1,1,texiao02,,,,,,1|1,1,img_1010008,img_1010008,1,,,,,2,4,10,1,,0,1,2,,,,
1010009,-1,1,8,1,1,texiao02,,,,,,1|1,1,img_1010009,img_1010009,1,,,,,2,4,10,1,,0,1,1,,,,
1010010,-1,1,8,1,1,texiao02,,,,,,1|1,1,img_1010010,img_1010010,1,,,,,2,3,10,,,0,1,1,,,,
1010011,-1,1,8,1,1,texiao02,,,,,,1|1,1,img_1010011,img_1010011,1,,,,,2,3,10,,,0,1,2,,,,
1010012,-1,1,8,1,1,texiao02,,,,,,1|1,1,img_1010012,img_1010012,1,,,,,2,4,10,1,,0,1,0,,,,
1010013,-1,1,8,1,1,texiao01,,,,,,5|5,1,img_1010013,img_1010013,1,,,,,2,3,10,,,0,1,2,,,,
1010014,-1,1,9,1,1,,,,,,,3|1,1,img_1010014,img_1010014,1,,,,,2,2,5|8,,,1|2,,,,,,
1010015,-1,1,9,1,1,,,,,,,4|1,1,img_1010015_1,img_1010015_1,1,,,img_1010015_2,,2,2,5|8,,,1|2,,,,,,
1010016,-1,1,9,1,1,,,,,,,2|1,1,img_1010016,img_1010016,1,,,,,2,2,5|8,,,1|2,,,,,,
1010017,-1,1,9,1,1,,,,,,,3|1,1,img_1010017,img_1010017,1,,,,,2,2,5|8,,,1|2,,,,,,
1010018,-1,1,9,1,1,,,,,,,5|1,1,img_1010018,img_1010018,1,,,,,2,2,5|8,,,1|2,,,,,,
1020001,-1,2,2,1,2,,,,,,,48|1,5,img_1020001,img_1020001_1,1,,,,,2,1,3|6,,,1|2,,,0|0,48|1,,
1020002,-1,2,1,1,2,,,,,,,24|24,5,img_1020002,img_1020002,1,,,,,2,1,1,,,0,,,0|0,24|24,,
1020003,-1,2,4,1,1,texiao01,,,,,,2|3,5,img_1020003,img_1020003,1,,,,25|0,2,3,10,,1,0,1,2,0|0,2|3,10|-95,
1020004,-1,2,4,1,1,texiao01,,,,,,2|3,5,img_1020004,img_1020004,1,,,,25|0,2,3,10,,1,0,1,2,0|0,2|3,10|-95,
1020005,-1,2,4,1,1,texiao01,,,,,,2|3,5,img_1020005,img_1020005,1,,,,25|0,2,3,10,,1,0,1,3,0|0,2|3,0|-130,
1020006,-1,2,8,1,1,texiao01,,,,,,2|2,5,img_1020006,img_1020006,1,,,,,2,3,10,,,0,1,2,,,,
1020007,-1,2,5,1,1,texiao01,,,1,15|-15,0,2|2,5,img_1020007,img_1020007,1,,,,,2,3,10,,,0,1,2,,,,
1020008,-1,2,4,1,1,texiao01,,,,,,2|3,3,img_1020008,img_1020008,1,,,,25|0,2,3,10,,1,0,1,2,0|0,2|3,0|-95,
1020009,-1,2,8,1,1,texiao02,,,,,,2|1,3,img_1020009,img_1020009,1,,,,-12|0,2,4,10,1,,0,1,0,,,,
1020010,-1,2,8,1,1,texiao02,,,,,,1|1,3,img_1020010,img_1020010,1,,,,,2,4,10,1,,0,1,1,,,,
1020011,-1,2,8,1,1,texiao01,,,,,,1|3,5,img_1020011,img_1020011,1,,,,44|0,2,3,10,,,0,1,5,,,,
1020012,-1,2,8,1,1,texiao01,,,,,,1|2,5,img_1020012,img_1020012,1,,,,25|0,2,3,10,,,0,1,6,,,,
1020013,-1,2,8,1,1,texiao02,,,,,,1|1,4,img_1020013,img_1020013,1,,,,,2,4,10,1,,0,1,2,,,,
1020014,-1,2,8,1,1,texiao01,,,,,,2|2,5,img_1020014,img_1020014,1,,,,-22|0,2,3,10,,,0,1,5,,,,
1020015,-1,2,8,1,1,texiao02,,,,,,1|1,2,img_1020015,img_1020015,1,,,,,2,4,10,1,,0,1,1,,,,
1020016,-1,2,8,1,1,texiao01,,,,,,1|6,8,img_1020016,img_1020016,1,,,,120|0,2,3,10,,,0,1,5,,,,
1020017,-1,2,9,1,1,,,,,,,5|1,3,img_1020017,img_1020017,1,,,,,2,2,5|8,,,1|2,,,,,,
1020018,-1,2,9,1,1,,,,,,,5|1,3,img_1020018,img_1020018,1,,,,,2,2,5|8,,,1|2,,,,,,
1020019,-1,2,9,1,1,,,,,,,5|1,5,img_1020019,img_1020019,1,,,,,2,2,5|8,,,1|2,,,,,,
1020020,-1,2,9,1,1,,,,,,,1|1,3,img_1020020,img_1020020,1,,,,,2,2,5|8,,,1|2,,,,,,
1020021,-1,2,9,1,1,,,,,,,1|1,3,img_1020021,img_1020021,1,,,,,2,2,5|8,,,1|2,,,,,,
1020022,-1,2,9,1,1,,,,,,,4|1,8,img_1020022,img_1020022,1,,,,,2,2,5|8,,,1|2,,,,,,
1030001,-1,3,2,1,2,,,,,,,48|1,10,img_1030001,img_1030001_1,1,,,,,2,1,3|6,,,1|2,,,0|0,48|1,,
1030002,-1,3,1,1,2,,,,,,,24|24,10,img_1030002,img_1030002,1,,,,,2,1,1,,,0,,,0|0,24|24,,1
1030003,-1,3,4,1,1,texiao01,,,,,,6|4,10,img_1030003,img_1030003,1,,,,-50|0,2,3,10,,1,0,1,2,0|0,6|4,0|-65,
1030004,-1,3,8,1,1,texiao01,,,,,,2|2,5,img_1030004,img_1030004,1,,,,,2,3,10,,,0,1,2,,,,
1030005,-1,3,4,1,1,texiao01,,,,,,4|4,5,img_1030005,img_1030005,1,,,,,2,3,10,,1,0,1,2,0|0,4|4,0|-70,
1030006,-1,3,8,1,1,texiao01,,,,,,2|2,5,img_1030006,img_1030006,1,,,,,2,3,10,,,0,1,1,,,,
1030007,-1,3,8,1,1,texiao02,,,,,,1|2,3,img_1030007,img_1030007,1,,,,23|0,2,4,10,1,,0,1,2,,,,
1030008,-1,3,8,1,1,texiao02,,,,,,1|1,5,img_1030008,img_1030008,1,,,,,2,4,10,1,,0,1,1,,,,
1030009,-1,3,8,1,1,texiao02,,,,,,1|1,3,img_1030009,img_1030009,1,,,,,2,4,10,1,,0,1,3,,,,
1030010,-1,3,8,1,1,texiao02,,,,,,1|1,3,img_1030010,img_1030010,1,,,,,2,4,10,1,,0,1,2,,,,
1030011,-1,3,8,1,1,texiao02,,,,,,1|1,3,img_1030011,img_1030011,1,,,,,2,4,10,1,,0,1,2,,,,
1030012,-1,3,6,1,1,texiao01,,,2,-20|-55,0,4|5,8,img_1030012_1|img_1030012_2,img_1030012_1|img_1030012_2,1,img_1030012_1|img_1030012_3,0|1,,25|0,2,3,10,,,0,1,1,,,,
