id,rank,awards,rank_front
1,100,170#80|940004#100|4201016#40|36#40,1-100
2,400,170#60|940004#50|4201016#30|36#30,101-400
3,1000,170#40|940002#50|4201016#25|36#25,401-1000
4,2000,170#20|20#5|4201016#20|36#20,1001-2000
5,3200,170#10|20#4|4201016#15|36#15,2001-3200
6,4800,170#5|20#3|4201016#10|36#10,3201-4800
7,7500,20#2|4201016#8|36#8,4801-7500
8,12000,20#1|4201016#6|36#6,7501-12000
9,25000,35#10|4201016#4|36#5,12001-25000
10,50000,35#5|4201016#3|36#4,25001-50000
11,70000,35#4|4201016#2|36#3,50001-70000
12,999999,35#3|4201016#1|36#2,70001-999999
