id,point,crit,smash,block
1,1,0.01,0.1,0.1
2,100,0.015,0.105,0.105
3,200,0.02,0.11,0.11
4,300,0.025,0.115,0.115
5,400,0.03,0.12,0.12
6,500,0.035,0.125,0.125
7,600,0.04,0.13,0.13
8,700,0.045,0.135,0.135
9,800,0.05,0.14,0.14
10,900,0.06,0.145,0.145
11,1000,0.07,0.15,0.15
12,1200,0.08,0.155,0.155
13,1400,0.09,0.16,0.16
14,1600,0.1,0.165,0.165
15,1800,0.11,0.17,0.17
16,2000,0.12,0.175,0.175
17,2300,0.13,0.18,0.18
18,2600,0.14,0.185,0.185
19,2900,0.15,0.19,0.19
20,3200,0.16,0.2,0.2
21,3600,0.17,0.21,0.21
22,4000,0.18,0.22,0.22
23,4500,0.19,0.23,0.23
