id,partner_link,skin,name,lv,grade,hp,atk,hpP,atkP,armP,spdP,energy_ex,miss,hit,crit,critTime,sklP,decDmg,free,brk,trueAtk,is_boss,lv_show,scale,is_player_use,skill,equip_6,exskill
2769,651007,,-1,100,6,172556,9475,5.81,6.44,1,1,,500,200,0,0,0,0,300,0,0,,184,,,,,
2770,652001,,-1,100,6,136283,14564,7.06,5.81,1,1,,500,200,0,0,0,0,300,0,0,,184,,,,,
2771,652010,,-1,100,6,173428,10756,4.48,7.1,1,1,,500,200,0,0,0,0,300,0,0,,185,,,,,
2772,652009,,-1,100,6,97791,18714,5.18,7.3,1,1,,500,200,0,0,0,0,300,0,0,,185,,,,,
2773,542002,,-1,80,5,144222,11317,21.3,15.94,1,1.11,,500,200,0,0,0,0,300,0,0,,185,,,,,
2774,542003,,-1,80,5,146165,18609,29.38,12.57,1,1.11,,500,200,0,0,0,0,300,0,0,,185,,,,,
2775,652001,,-1,100,6,179909,17021,9.32,6.79,1,1,,500,200,0,0,0,0,300,0,0,,185,,,,,
2776,542006,,-1,80,5,177134,11168,30.48,11.31,1,1.11,,500,200,0,0,0,0,300,0,0,,186,,,,,
2777,542004,,-1,80,5,168840,21361,26.25,13.58,1,1.11,,500,200,0,0,0,0,300,0,0,,186,,,,,
2778,652002,,-1,100,6,228165,16794,8.45,8.24,1,1,,500,200,0,0,0,0,300,0,0,,186,,,,,
2779,652007,,-1,100,6,232518,11270,12.81,4.4,1,1,,500,200,0,0,0,0,300,0,0,,186,,,,,
2780,652006,,-1,100,6,214631,14100,11.05,5.05,1,1,,500,200,0,0,0,0,300,0,0,,186,,,,,
2781,543005,,-1,80,5,149081,14592,23.66,16.08,1,1.11,,500,200,0,0,0,0,300,0,0,,186,,,,,
2782,652005,,-1,100,6,234862,11389,8.05,7.06,1,1,,500,200,0,0,0,0,300,0,0,,187,,,,,
2783,543002,,-1,80,5,106330,16750,26.49,12.98,1,1.11,,500,200,0,0,0,0,300,0,0,,187,,,,,
2784,652004,,-1,100,6,179751,23457,8.19,7.5,1,1,,500,200,0,0,0,0,300,0,0,,187,,,,,
2785,545002,,-1,80,5,161863,15264,28.33,12.29,1,1.11,,500,200,0,0,0,0,300,0,0,,187,,,,,
2786,653005,,-1,100,6,205172,14881,10.2,5.81,1,1,,500,200,0,0,0,0,300,0,0,,187,,,,,
2787,651002,,-1,100,6,215746,13326,6.56,7.89,1,1,,500,200,0,0,0,0,300,0,0,,188,,,,,
2788,541003,,-1,80,5,153485,15012,26.21,13.18,1,1.11,,500,200,0,0,0,0,300,0,0,,188,,,,,
2789,651001,,-1,100,6,155382,24302,8.41,6.66,1,1,,600,300,0,0,0,0,300,0,0,,188,,,,,
