id,desc,is_monitor
1001#1|1,-1,1
1001#1|2,-1,1
1001#1|3,EXP,1
1001#1|8,-1,1
1001#1|9,-1,1
1001#1|10,-1,1
1001#1|14,-1,1
1001#1|20,-1,1
1001#1|26,-1,1
1001#1|27,-1,1
1001#1|29,-1,1
1001#1|35,-1,1
1001#1|36,-1,1
1001#1|47,-1,1
1001#1|73,-1,1
1001#1|74,-1,1
1001#1|75,-1,1
1001#1|111,-1,1
1001#1|114,-1,1
1002#3|1,-1,0
1002#3|2,-1,0
1002#3|3,-1,0
1002#3|4,-1,1
1002#3|5,-1,1
1002#3|6,-1,1
1002#4|5,-1,0
1002#4|6,-1,1
1002#15|4,-1,1
1002#15|5,-1,1
1003#6,-1,0
1003#7,-1,0
1003#8,-1,0
1003#9,-1,0
1003#11,-1,1
1003#12,-1,0
1003#13,-1,1
1003#22,-1,1
1003#23,-1,1
1004#24|icon_112,-1,1
1004#24|icon_113,-1,1
