id,name,type,cost,contribute
3000001,-1,1,110#31,40|20|20|0|0|0|0|0
3000002,-1,1,110#34,0|0|0|0|0|0|0|0
3000003,-1,1,110#33,0|0|0|40|20|20|0|0
3000004,-1,1,110#34,0|0|40|20|20|0|0|0
3000005,-1,1,110#32,20|0|0|0|0|0|40|20
3000006,-1,1,110#31,0|0|0|0|0|40|20|20
3000007,-1,1,110#33,0|0|0|0|40|20|20|0
3000008,-1,1,110#33,0|40|20|20|0|0|0|0
3000009,-1,1,110#32,20|20|0|0|0|0|0|40
3000010,-1,2,110#38,40|20|20|0|0|0|0|0
3000011,-1,2,110#36,0|0|0|40|20|20|0|0
3000012,-1,2,110#35,0|0|0|0|0|40|20|20
3000013,-1,2,110#36,20|20|0|0|0|0|0|40
3000014,-1,2,110#37,0|0|0|0|0|0|0|0
3000015,-1,2,110#38,20|0|0|0|0|0|40|20
3000016,-1,2,110#36,0|0|0|0|40|20|20|0
3000017,-1,2,110#35,0|0|40|20|20|0|0|0
3000018,-1,2,110#37,0|40|20|20|0|0|0|0
3000019,-1,3,110#52,60|10|10|0|0|0|0|0
3000020,-1,3,110#53,0|60|10|10|0|0|0|0
3000021,-1,3,110#51,0|0|60|10|10|0|0|0
3000022,-1,3,110#53,0|0|0|60|10|10|0|0
3000023,-1,3,110#52,0|0|0|0|60|10|10|0
3000024,-1,3,110#54,0|0|0|0|0|60|10|10
3000025,-1,3,110#52,10|0|0|0|0|0|60|10
3000026,-1,3,110#53,10|10|0|0|0|0|0|60
