id,stage_id,start,end,type,pos,tap,color,chara
1,1,751,0,1,3,,,
2,1,1465,0,1,4,,,
3,1,2536,0,1,2,,,
4,1,3251,0,1,1,,,
5,1,4858,5929,3,1|3,6,,
6,1,8251,0,1,2,,,
7,1,8965,0,1,2,,,
8,1,9679,0,1,3,,,
9,1,10393,0,1,4,,,
10,1,11108,0,1,2,,,
11,1,11822,0,1,2,,,
12,1,12536,0,1,3,,,
13,1,13251,0,1,4,,,
14,1,13965,0,1,3,,,
15,1,14679,0,1,4,,,
16,1,15393,16822,2,2,,,
17,1,16822,18251,2,3,,,
18,1,18608,0,1,2,,,
19,1,19322,0,1,2,,,
20,1,20036,0,1,3,,,
21,1,20750,0,1,4,,,
22,1,21465,0,1,2,,,
23,1,21822,0,1,2,,,
24,1,22179,0,1,2,,,
25,1,22893,0,1,3,,,
26,1,23608,0,1,3,,,
27,1,24143,0,1,1,,,
28,1,24858,0,1,2,,,
29,1,25750,0,1,3,,,
30,1,26465,0,1,3,,,
31,1,27000,0,1,1,,,
32,1,27358,0,1,2,,,
33,1,27893,0,1,2,,,
34,1,28429,0,1,3,,,
35,1,28786,0,1,4,,,
36,1,29500,31108,2,3,,,
37,1,31465,0,1,4,,,
38,1,32179,0,1,4,,,
39,1,32893,0,1,2,,,
40,1,33608,0,1,2,,,
41,1,34322,0,1,3,,,
42,1,35036,0,1,3,,,
43,1,35750,0,1,2,,,
44,1,36465,0,1,2,,,
45,1,37179,38965,2,3,,,
46,1,39322,0,1,2,,,
47,1,40036,0,1,2,,,
48,1,41108,0,1,3,,,
49,1,41822,0,1,3,,,
50,1,42536,43786,2,3,,,
51,1,44143,0,1,2,,,
52,1,44679,0,1,2,,,
53,1,45393,0,1,3,,,
54,1,46108,0,1,4,,,
55,1,46822,0,1,2,,,
56,1,47536,0,1,1,,,
57,1,48250,49322,2,3,,,
58,1,49322,50393,2,2,,,
59,1,50750,0,1,1,,,
60,1,51465,0,1,1,,,
61,1,52179,0,1,4,,,
62,1,52893,0,1,4,,,
63,1,53608,0,1,2,,,
64,1,54322,0,1,2,,,
65,1,55036,0,1,3,,,
66,1,55750,0,1,3,,,
67,1,56822,0,1,3,,,
68,1,57536,0,1,2,,,
69,1,58250,0,1,3,,,
70,1,58965,0,1,2,,,
71,1,59679,60572,2,4,,,
72,1,60572,61822,2,1,,,
73,1,62179,0,1,2,,,
74,1,62893,0,1,2,,,
75,1,63608,0,1,3,,,
76,1,64322,0,1,3,,,
77,1,65036,0,1,2,,,
78,1,65393,0,1,3,,,
79,1,65750,0,1,2,,,
80,1,66108,0,1,3,,,
81,1,66822,67536,2,2,,,
82,1,68250,0,1,2,,,
83,1,68965,70215,2,3,,,
84,1,70572,0,1,3,,,
85,1,71108,0,1,2,,,
86,1,71822,0,1,2,,,
87,1,72536,74500,2,3,,,
88,1,75393,0,1,2,,,
89,1,76108,0,1,3,,,
90,1,76822,0,1,1,,,
91,1,77536,0,1,4,,,
92,1,78429,80215,2,2,,,
93,1,81108,0,1,2,,,
94,1,81822,0,1,2,,,
95,1,82536,82893,3,2|3,5,,
96,2,748,0,1,3,,,
97,2,926,0,1,4,,,
98,2,1105,0,1,4,,,
99,2,2447,0,1,2,,,
100,2,2626,0,1,1,,,
101,2,2804,0,1,1,,,
102,2,4858,0,1,2,,,
103,2,5036,0,1,1,,,
104,2,5215,0,1,2,,,
105,2,5393,0,1,3,,,
106,2,5572,0,1,4,,,
107,2,5751,0,1,3,,,
108,2,8251,0,1,2,,,
109,2,8429,0,1,2,,,
110,2,8786,0,1,2,,,
111,2,8965,0,1,2,,,
112,2,9679,0,1,2,,,
113,2,10036,0,1,2,,,
114,2,10393,0,1,3,,,
115,2,10751,0,1,3,,,
116,2,11108,0,1,3,,,
117,2,11286,0,1,2,,,
118,2,11643,12536,2,2,,,
119,2,12536,0,1,3,,,
120,2,12715,0,1,3,,,
121,2,13072,0,1,3,,,
122,2,13251,0,1,3,,,
123,2,13965,0,1,4,,,
124,2,14143,0,1,4,,,
125,2,14501,0,1,4,,,
126,2,14679,0,1,4,,,
127,2,15393,0,1,4,,,
128,2,15751,0,1,3,,,
129,2,16108,0,1,1,,,
130,2,16286,0,1,1,,,
131,2,16465,0,1,3,,,
132,2,16643,0,1,3,,,
133,2,17001,0,1,3,,,
134,2,17358,18251,2,3,,,
135,2,18251,0,1,2,,,
136,2,18608,19679,2,2,,,
137,2,20036,0,1,2,,,
138,2,20215,0,1,2,,,
139,2,20393,0,1,3,,,
140,2,20572,0,1,3,,,
141,2,20929,0,1,2,,,
142,2,21375,0,1,2,,,
143,2,21822,22536,2,3,,,
144,2,22893,0,1,4,,,
145,2,23072,0,1,4,,,
146,2,23250,0,1,2,,,
147,2,23429,0,1,2,,,
148,2,23786,0,1,1,,,
149,2,24143,0,1,1,,,
150,2,24322,25393,2,1,,,
151,2,25750,0,1,4,,,
152,2,26108,26643,2,4,,,
153,2,26643,0,1,1,,,
154,2,27090,0,1,1,,,
155,2,27447,0,1,2,,,
156,2,27715,0,1,2,,,
157,2,28429,0,1,1,,,
