id,damage_to_boss,rewards_1,rewards_2,rewards_3,rewards_4,rewards_on_account_1,rewards_on_account_2,rewards_on_account_3,rewards_on_account_4,rewards_icon_effect
1,20000,1#52000|15#235,1#57000|15#235,1#62000|15#237,1#67000|15#237,1#52000|15#235,1#57000|15#235,1#62000|15#237,1#67000|15#237,texiao01|texiao02
2,70000,1#104000|15#470,1#114000|15#470,1#124000|15#474,1#134000|15#474,1#52000|15#235$1#52000|15#235,1#57000|15#235$1#57000|15#235,1#62000|15#237$1#62000|15#237,1#67000|15#237$1#67000|15#237,texiao01|texiao02
3,180000,1#156000|15#705,1#171000|15#705,1#186000|15#711,1#201000|15#711,1#52000|15#235$1#52000|15#235$1#52000|15#235,1#57000|15#235$1#57000|15#235$1#57000|15#235,1#62000|15#237$1#62000|15#237$1#62000|15#237,1#67000|15#237$1#67000|15#237$1#67000|15#237,texiao01|texiao02
4,430000,1#233000|15#940,1#253000|15#940,1#273000|15#948,1#293000|15#948,1#52000|15#235$1#52000|15#235$1#52000|15#235$1#77000|15#235,1#57000|15#235$1#57000|15#235$1#57000|15#235$1#82000|15#235,1#62000|15#237$1#62000|15#237$1#62000|15#237$1#87000|15#237,1#67000|15#237$1#67000|15#237$1#67000|15#237$1#92000|15#237,texiao03|texiao04
5,780000,1#310000|15#1175,1#335000|15#1175,1#360000|15#1185,1#385000|15#1185,1#52000|15#235$1#52000|15#235$1#52000|15#235$1#77000|15#235$1#77000|15#235,1#57000|15#235$1#57000|15#235$1#57000|15#235$1#82000|15#235$1#82000|15#235,1#62000|15#237$1#62000|15#237$1#62000|15#237$1#87000|15#237$1#87000|15#237,1#67000|15#237$1#67000|15#237$1#67000|15#237$1#92000|15#237$1#92000|15#237,texiao03|texiao04
6,1280000,1#387000|15#1410,1#417000|15#1410,1#447000|15#1422,1#477000|15#1422,1#52000|15#235$1#52000|15#235$1#52000|15#235$1#77000|15#235$1#77000|15#235$1#77000|15#235,1#57000|15#235$1#57000|15#235$1#57000|15#235$1#82000|15#235$1#82000|15#235$1#82000|15#235,1#62000|15#237$1#62000|15#237$1#62000|15#237$1#87000|15#237$1#87000|15#237$1#87000|15#237,1#67000|15#237$1#67000|15#237$1#67000|15#237$1#92000|15#237$1#92000|15#237$1#92000|15#237,texiao03|texiao04
7,1980000,1#479000|15#1645,1#514000|15#1645,1#549000|15#1659,1#584000|15#1659,1#52000|15#235$1#52000|15#235$1#52000|15#235$1#77000|15#235$1#77000|15#235$1#77000|15#235$1#92000|15#235,1#57000|15#235$1#57000|15#235$1#57000|15#235$1#82000|15#235$1#82000|15#235$1#82000|15#235$1#97000|15#235,1#62000|15#237$1#62000|15#237$1#62000|15#237$1#87000|15#237$1#87000|15#237$1#87000|15#237$1#102000|15#237,1#67000|15#237$1#67000|15#237$1#67000|15#237$1#92000|15#237$1#92000|15#237$1#92000|15#237$1#107000|15#237,texiao03|texiao04
8,2780000,1#571000|15#1880,1#611000|15#1880,1#651000|15#1896,1#691000|15#1896,1#52000|15#235$1#52000|15#235$1#52000|15#235$1#77000|15#235$1#77000|15#235$1#77000|15#235$1#92000|15#235$1#92000|15#235,1#57000|15#235$1#57000|15#235$1#57000|15#235$1#82000|15#235$1#82000|15#235$1#82000|15#235$1#97000|15#235$1#97000|15#235,1#62000|15#237$1#62000|15#237$1#62000|15#237$1#87000|15#237$1#87000|15#237$1#87000|15#237$1#102000|15#237$1#102000|15#237,1#67000|15#237$1#67000|15#237$1#67000|15#237$1#92000|15#237$1#92000|15#237$1#92000|15#237$1#107000|15#237$1#107000|15#237,texiao05|texiao06
9,4430000,1#663000|15#2120,1#708000|15#2120,1#753000|15#2138,1#798000|15#2138,1#52000|15#235$1#52000|15#235$1#52000|15#235$1#77000|15#235$1#77000|15#235$1#77000|15#235$1#92000|15#235$1#92000|15#235$1#92000|15#240,1#57000|15#235$1#57000|15#235$1#57000|15#235$1#82000|15#235$1#82000|15#235$1#82000|15#235$1#97000|15#235$1#97000|15#235$1#97000|15#240,1#62000|15#237$1#62000|15#237$1#62000|15#237$1#87000|15#237$1#87000|15#237$1#87000|15#237$1#102000|15#237$1#102000|15#237$1#102000|15#242,1#67000|15#237$1#67000|15#237$1#67000|15#237$1#92000|15#237$1#92000|15#237$1#92000|15#237$1#107000|15#237$1#107000|15#237$1#107000|15#242,texiao05|texiao06
10,8430000,1#770000|15#2360,1#820000|15#2360,1#870000|15#2380,1#920000|15#2380,1#52000|15#235$1#52000|15#235$1#52000|15#235$1#77000|15#235$1#77000|15#235$1#77000|15#235$1#92000|15#235$1#92000|15#235$1#92000|15#240$1#107000|15#240,1#57000|15#235$1#57000|15#235$1#57000|15#235$1#82000|15#235$1#82000|15#235$1#82000|15#235$1#97000|15#235$1#97000|15#235$1#97000|15#240$1#112000|15#240,1#62000|15#237$1#62000|15#237$1#62000|15#237$1#87000|15#237$1#87000|15#237$1#87000|15#237$1#102000|15#237$1#102000|15#237$1#102000|15#242$1#117000|15#242,1#67000|15#237$1#67000|15#237$1#67000|15#237$1#92000|15#237$1#92000|15#237$1#92000|15#237$1#107000|15#237$1#107000|15#237$1#107000|15#242$1#122000|15#242,texiao05|texiao06
11,17630000,1#877000|15#2600,1#932000|15#2600,1#987000|15#2622,1#1042000|15#2622,1#52000|15#235$1#52000|15#235$1#52000|15#235$1#77000|15#235$1#77000|15#235$1#77000|15#235$1#92000|15#235$1#92000|15#235$1#92000|15#240$1#107000|15#240$1#107000|15#240,1#57000|15#235$1#57000|15#235$1#57000|15#235$1#82000|15#235$1#82000|15#235$1#82000|15#235$1#97000|15#235$1#97000|15#235$1#97000|15#240$1#112000|15#240$1#112000|15#240,1#62000|15#237$1#62000|15#237$1#62000|15#237$1#87000|15#237$1#87000|15#237$1#87000|15#237$1#102000|15#237$1#102000|15#237$1#102000|15#242$1#117000|15#242$1#117000|15#242,1#67000|15#237$1#67000|15#237$1#67000|15#237$1#92000|15#237$1#92000|15#237$1#92000|15#237$1#107000|15#237$1#107000|15#237$1#107000|15#242$1#122000|15#242$1#122000|15#242,texiao05|texiao06
12,36130000,1#984000|15#2900,1#1044000|15#2900,1#1104000|15#2924,1#1164000|15#2924,1#52000|15#235$1#52000|15#235$1#52000|15#235$1#77000|15#235$1#77000|15#235$1#77000|15#235$1#92000|15#235$1#92000|15#235$1#92000|15#240$1#107000|15#240$1#107000|15#240$1#107000|15#300,1#57000|15#235$1#57000|15#235$1#57000|15#235$1#82000|15#235$1#82000|15#235$1#82000|15#235$1#97000|15#235$1#97000|15#235$1#97000|15#240$1#112000|15#240$1#112000|15#240$1#112000|15#300,1#62000|15#237$1#62000|15#237$1#62000|15#237$1#87000|15#237$1#87000|15#237$1#87000|15#237$1#102000|15#237$1#102000|15#237$1#102000|15#242$1#117000|15#242$1#117000|15#242$1#117000|15#302,1#67000|15#237$1#67000|15#237$1#67000|15#237$1#92000|15#237$1#92000|15#237$1#92000|15#237$1#107000|15#237$1#107000|15#237$1#107000|15#242$1#122000|15#242$1#122000|15#242$1#122000|15#302,texiao07|texiao08
13,70030000,1#1106000|15#3200,1#1171000|15#3200,1#1236000|15#3226,1#1301000|15#3226,1#52000|15#235$1#52000|15#235$1#52000|15#235$1#77000|15#235$1#77000|15#235$1#77000|15#235$1#92000|15#235$1#92000|15#235$1#92000|15#240$1#107000|15#240$1#107000|15#240$1#107000|15#300$1#122000|15#300,1#57000|15#235$1#57000|15#235$1#57000|15#235$1#82000|15#235$1#82000|15#235$1#82000|15#235$1#97000|15#235$1#97000|15#235$1#97000|15#240$1#112000|15#240$1#112000|15#240$1#112000|15#300$1#127000|15#300,1#62000|15#237$1#62000|15#237$1#62000|15#237$1#87000|15#237$1#87000|15#237$1#87000|15#237$1#102000|15#237$1#102000|15#237$1#102000|15#242$1#117000|15#242$1#117000|15#242$1#117000|15#302$1#132000|15#302,1#67000|15#237$1#67000|15#237$1#67000|15#237$1#92000|15#237$1#92000|15#237$1#92000|15#237$1#107000|15#237$1#107000|15#237$1#107000|15#242$1#122000|15#242$1#122000|15#242$1#122000|15#302$1#137000|15#302,texiao07|texiao08
