id,name,水鏡深戀淨靈皮膚,type,pos,qlt,star,item_lv,price,base1,base2,base3,skill_id,ex_skill,group,job,act,form,suit_name,suit1,suit2,suit3,suit_skills,icon,formula,need_formula,treasure_upgrade,treasure_all_upgrade,treasure_refresh,treasure_lock_up,treasure_max,treasure_weight,artifact_exp,artifact_upg,artifact_next,initial_artifact,power,partner_model,avatar,fx_index,get_ways
1011,-1,-1,6,1,1,1,1,50,atk#15,,,,,,,,,,,,,,equip_1_1,,,,,,,,,,,,,,,,,
2011,-1,-1,7,2,1,1,1,50,hp#68,,,,,,,,,,,,,,equip_1_2,,,,,,,,,,,,,,,,,
3011,-1,-1,8,3,1,1,1,50,atk#10,,,,,,,,,,,,,,equip_1_3,,,,,,,,,,,,,,,,,
4011,-1,-1,9,4,1,1,1,50,hp#45,,,,,,,,,,,,,,equip_1_4,,,,,,,,,,,,,,,,,
1012,-1,-1,6,1,1,2,2,80,atk#18,,,,,,,,,,,,,,equip_1_1,,,,,,,,,,,,,,,,,
2012,-1,-1,7,2,1,2,2,80,hp#82,,,,,,,,,,,,,,equip_1_2,,,,,,,,,,,,,,,,,
3012,-1,-1,8,3,1,2,2,80,atk#12,,,,,,,,,,,,,,equip_1_3,,,,,,,,,,,,,,,,,
4012,-1,-1,9,4,1,2,2,80,hp#54,,,,,,,,,,,,,,equip_1_4,,,,,,,,,,,,,,,,,
1021,-1,-1,6,1,2,1,3,100,atk#32,,,,,,,,,,,,,,equip_2_1,1022#3|1#1000,,,,,,,,,,,,,,,,
2021,-1,-1,7,2,2,1,3,100,hp#141,,,,,,,,,,,,,,equip_2_2,2022#3|1#1000,,,,,,,,,,,,,,,,
3021,-1,-1,8,3,2,1,3,100,atk#21,,,,,,,,,,,,,,equip_2_3,3022#3|1#1000,,,,,,,,,,,,,,,,
4021,-1,-1,9,4,2,1,3,100,hp#94,,,,,,,,,,,,,,equip_2_4,4022#3|1#1000,,,,,,,,,,,,,,,,
1022,-1,-1,6,1,2,2,4,150,atk#38,,,,,,,,,,,,,,equip_2_1,1031#3|1#2000,1021#3|1#1000,,,,,,,,,,,,,,,
2022,-1,-1,7,2,2,2,4,150,hp#169,,,,,,,,,,,,,,equip_2_2,2031#3|1#2000,2021#3|1#1000,,,,,,,,,,,,,,,
3022,-1,-1,8,3,2,2,4,150,atk#25,,,,,,,,,,,,,,equip_2_3,3031#3|1#2000,3021#3|1#1000,,,,,,,,,,,,,,,
4022,-1,-1,9,4,2,2,4,150,hp#113,,,,,,,,,,,,,,equip_2_4,4031#3|1#2000,4021#3|1#1000,,,,,,,,,,,,,,,
1031,-1,-1,6,1,3,1,5,200,atk#66,,,,,,,,,,,,,,equip_3_1,1032#3|1#5000,1022#3|1#2000,,,,,,,,,,,,,,,
2031,-1,-1,7,2,3,1,5,200,hp#337,,,,,,,,,,,,,,equip_3_2,2032#3|1#5000,2022#3|1#2000,,,,,,,,,,,,,,,
3031,-1,-1,8,3,3,1,5,200,atk#44,,,,,,,,,,,,,,equip_3_3,3032#3|1#5000,3022#3|1#2000,,,,,,,,,,,,,,,
4031,-1,-1,9,4,3,1,5,200,hp#225,,,,,,,,,,,,,,equip_3_4,4032#3|1#5000,4022#3|1#2000,,,,,,,,,,,,,,,
1032,-1,-1,6,1,3,2,6,400,atk#85,,,,,,,,,,,,,,equip_3_1,1041#3|1#10000,1031#3|1#5000,,,,,,,,,,,,,,,
2032,-1,-1,7,2,3,2,6,400,hp#434,,,,,,,,,,,,,,equip_3_2,2041#3|1#10000,2031#3|1#5000,,,,,,,,,,,,,,,
