id,stage_id,start,end,type,pos,tap,color,chara
6668,25,32673,0,1,3,,,
6669,25,33053,0,1,1,,,
6670,25,33433,0,1,1,,,
6671,25,33812,0,1,1,,,
6672,25,34192,0,1,4,,,
6673,25,34572,0,1,4,,,
6674,25,34952,0,1,4,,,
6675,25,35711,0,1,2,,,
6676,25,36471,0,1,2,,,
6677,25,37230,0,1,3,,,
6678,25,37990,0,1,3,,,
6679,25,38749,0,1,2,,,
6680,25,39699,0,1,1,,,
6681,25,40078,0,1,2,,,
6682,25,40838,0,1,3,,,
6683,25,41787,0,1,3,,,
6684,25,42357,0,1,2,,,
6685,25,43116,0,1,2,,,
6686,25,43876,0,1,3,,,
6687,25,44825,0,1,2,,,
6688,25,45205,0,1,2,,,
6689,25,45585,0,1,3,,,
6690,25,45964,0,1,3,,,
6691,25,46724,0,1,2,,,
6692,25,47673,49572,2,2,,,
6693,25,49572,0,1,4,,,
6694,25,50331,0,1,3,,,
6695,25,51091,0,1,2,,,
6696,25,52230,0,1,2,,,
6697,25,52230,0,1,3,,,
6698,25,52990,0,1,3,,,
6699,25,53559,0,1,2,,,
6700,25,54319,0,1,3,,,
6701,25,55078,0,1,2,,,
6702,25,55838,0,1,3,,,
6703,25,56787,0,1,2,,,
6704,25,57167,0,1,1,,,
6705,25,57547,0,1,3,,,
6706,25,57926,0,1,4,,,
6707,25,58306,0,1,1,,,
6708,25,59256,0,1,2,,,
6709,25,59256,0,1,3,,,
6710,25,60015,0,1,4,,,
6711,25,60775,0,1,1,,,
6712,25,61534,62863,2,3,,,
6713,25,62863,66091,2,2,,,
6714,25,66471,68749,2,3,,,
6715,25,69319,71407,2,2,,,
6716,25,71407,0,1,3,,,
6717,25,72167,74825,2,2,,,
6718,25,75205,0,1,2,,,
6719,25,75775,0,1,3,,,
6720,25,76534,0,1,2,,,
6721,25,77483,78623,2,3,,,
6722,25,78623,86597,2,2,,,
6723,26,775,0,1,1,,,
6724,26,1154,0,1,1,,,
6725,26,1534,0,1,1,,,
6726,26,1914,0,1,1,,,
6727,26,2104,0,1,2,,,
6728,26,2483,0,1,4,,,
6729,26,2673,0,1,3,,,
6730,26,3053,0,1,1,,,
6731,26,3433,0,1,2,,,
6732,26,3812,0,1,4,,,
6733,26,4192,0,1,4,,,
6734,26,4572,0,1,4,,,
6735,26,4952,0,1,4,,,
6736,26,5142,0,1,3,,,
6737,26,5521,0,1,2,,,
