id,next,fort_final,name,fort_id,type,point,initial_partner,is_battle,battle_id,max_level,activity_plot_list_id,plot_id,award,unlock_time
1,2,0,1,1,1,,,1,1400001,9999,121,#2454,1#10000,0
2,3,0,2,1,1,,,0,,9999,122,#2490,9#10000,0
3,4,0,3,1,1,,,0,,9999,123,#2515,35#1,0
4,5,0,4,1,1,,,1,1200041,9999,124,#2545,10#50,0
5,6,0,5,1,1,,,1,1200042|1200043,9999,125,#2596,940002#10,0
6,7,0,6,1,1,,,1,1200044|1200045,9999,126,#2614#2629#2633#2638,1#10000,0
7,8,0,7,1,1,,,0,,9999,127,#2657,9#10000,0
8,9,0,8,1,1,,,0,,9999,128,#2682,35#1,0
9,10,0,9,1,1,,,1,1200046|1200047,9999,129,#2714,10#50,0
10,11,1,10,1,1,,,0,,9999,130,#2739,940002#10,0
11,12,0,1,2,1,,,0,,9999,131,#2785,1#10000,172800
12,13,0,2,2,1,,,0,,9999,132,#2824,9#10000,172800
13,14,0,3,2,1,,,1,1200048|1200049,9999,133,#2840#-1#-1#2854,35#1,172800
14,15,0,4,2,1,,,0,,9999,134,#2859,10#50,172800
15,16,0,5,2,1,,,0,,9999,135,#2893,940002#10,172800
16,17,0,6,2,1,,,1,1200050,9999,136,#2924#2966#2971,1#10000,172800
17,18,0,7,2,1,,,0,,9999,137,#2973,9#10000,172800
18,19,0,8,2,1,,,1,1200051,9999,138,#3005#3057#3059,35#1,172800
19,20,0,9,2,1,,,1,1200052,9999,139,#3063,10#50,172800
20,21,1,10,2,1,,,0,,9999,140,#3109,940002#10,172800
21,22,0,1,3,1,,,0,,9999,141,#3154,1#10000,345600
22,23,0,2,3,1,,,0,,9999,142,#3186,9#10000,345600
23,24,0,3,3,1,,,1,1200053|1200054,9999,143,#3222,35#1,345600
24,25,0,4,3,1,,,0,,9999,144,#3252,10#50,345600
25,26,0,5,3,1,,,1,1200055|1200056|1200057,9999,145,#3277#-1#-1#3312,20#1,345600
26,27,0,6,3,1,,,0,,9999,146,#3331,29#1,345600
27,28,0,7,3,1,,,0,,9999,147,#3361,20#1,345600
28,29,0,8,3,1,,,1,1200058|1200059|1200060,9999,148,#3404#3417#-1#3419,29#1,345600
29,30,0,9,3,1,,,0,,9999,149,#3468,20#1,345600
30,-1,1,10,3,1,,,0,,9999,150,#3537,940002#10,345600
