id,name,summon_type,dropbox_id,active_dropbox_id,new_sever_dropbox_id,summon_num,special,award,cost,vip_need,freetime_interval,is_partner,awaken_lv,is_use_fragment,activity_id
1,-1,1,10001,,,1,,0#0,33#1,,,1,,0,
2,-1,1,10001,,,10,,0#0,33#10,,,1,,0,
3,-1,1,10001,,,1,20009|20006,0#0,0#0,,28800,1,,0,
4,-1,2,10002,10004,10007,1,,12#10,2#250,,,1,,0,
5,-1,2,10002,10004,10007,10,,12#100,2#2200,,,1,,0,
6,-1,2,10002,10004,10007,1,10003|10003,12#10,36#1,,,1,,0,
7,-1,2,10002,10004,10007,10,,12#100,36#10,,,1,,0,
8,-1,2,10002,10004,10007,1,20010|20007,12#10,0#0,,172800,1,,0,
9,-1,3,10003,,,1,,0#0,12#1000,3,,1,,0,
10,-1,4,20001,,,1,,19#10#30,20#1,,,0,,0,
11,-1,4,20002,,,1,,19#10#30,20#1,,,0,,0,
12,-1,4,20003,,,1,,19#10#30,20#1,,,0,,0,
13,-1,4,20004,,,1,,19#10#30,20#1,,,0,,0,
14,-1,4,20005,,,1,,19#10#30,20#1,,,0,,0,
15,-1,5,10005,,,1,,0#0,11#10,,,1,,0,
16,-1,5,10005,,,10,,0#0,11#100,,,1,,0,
17,-1,4,20001,,,10,,19#100#300,20#10,,,0,,0,
18,-1,4,20002,,,10,,19#100#300,20#10,,,0,,0,
19,-1,4,20003,,,10,,19#100#300,20#10,,,0,,0,
20,-1,4,20004,,,10,,19#100#300,20#10,,,0,,0,
21,-1,4,20005,,,10,,19#100#300,20#10,,,0,,0,
22,-1,8,10008,,,1,,12#10,2#250,,,1,,0,140
23,-1,8,10008,,,10,,12#100,2#2200,,,1,,0,140
24,-1,8,10008,,,1,,12#10,36#1,,,1,,0,140
25,-1,8,10008,,,10,,12#100,36#10,,,1,,0,140
26,-1,8,10008,,,1,,12#10,0#0,,86400,1,,0,140
27,-1,9,40001,,,1,,188#15#25,187#1,,,1,,0,161
28,-1,9,40002,,,10,,188#150#250,187#10,,,1,,0,161
10001,-1,6,930000,,,1,,0#0,930000#5,,,1,,1,
10002,-1,6,930001,,,1,,0#0,930001#5,,,1,,1,
10003,-1,6,930002,,,1,,0#0,930002#5,,,1,,1,
10004,-1,6,930003,,,1,,0#0,930003#5,,,1,,1,
10005,-1,6,930004,,,1,,0#0,930004#5,,,1,,1,
10006,-1,6,930005,,,1,,0#0,930005#5,,,1,,1,
10007,-1,6,930006,,,1,,0#0,930006#5,,,1,,1,
10008,-1,6,930007,,,1,,0#0,930007#5,,,1,,1,
10009,-1,6,930008,,,1,,0#0,930008#5,,,1,,1,
10010,-1,6,930009,,,1,,0#0,930009#5,,,1,,1,
10011,-1,6,930010,,,1,,0#0,930010#5,,,1,,1,
10012,-1,6,930011,,,1,,0#0,930011#5,,,1,,1,
10013,-1,6,930012,,,1,,0#0,930012#10,,,1,,1,
10014,-1,6,930013,,,1,,0#0,930013#10,,,1,,1,
10015,-1,6,930014,,,1,,0#0,930014#10,,,1,,1,
10016,-1,6,930015,,,1,,0#0,930015#10,,,1,,1,
10017,-1,6,930016,,,1,,0#0,930016#10,,,1,,1,
10018,-1,6,930017,,,1,,0#0,930017#10,,,1,,1,
10019,-1,6,930018,,,1,,0#0,930018#10,,,1,,1,
10020,-1,6,930019,,,1,,0#0,930019#10,,,1,,1,
10021,-1,6,930020,,,1,,0#0,930020#10,,,1,,1,
10022,-1,6,930021,,,1,,0#0,930021#10,,,1,,1,
10023,-1,6,930022,,,1,,0#0,930022#10,,,1,,1,
10024,-1,6,930023,,,1,,0#0,930023#10,,,1,,1,
10025,-1,6,930024,,,1,,0#0,930024#10,,,1,,1,
10026,-1,6,930025,,,1,,0#0,930025#10,,,1,,1,
10027,-1,6,930026,,,1,,0#0,930026#10,,,1,,1,
10028,-1,6,930027,,,1,,0#0,930027#10,,,1,,1,
10029,-1,6,930028,,,1,,0#0,930028#20,,,1,,1,
10030,-1,6,930029,,,1,,0#0,930029#20,,,1,,1,
10031,-1,6,930030,,,1,,0#0,930030#20,,,1,,1,
10032,-1,6,930031,,,1,,0#0,930031#20,,,1,,1,
10033,-1,6,930032,,,1,,0#0,930032#20,,,1,,1,
10034,-1,6,930033,,,1,,0#0,930033#20,,,1,,1,
10035,-1,6,930034,,,1,,0#0,930034#20,,,1,,1,
10036,-1,6,930035,,,1,,0#0,930035#20,,,1,,1,
10037,-1,6,930036,,,1,,0#0,930036#20,,,1,,1,
10038,-1,6,930037,,,1,,0#0,930037#20,,,1,,1,
10039,-1,6,930038,,,1,,0#0,930038#20,,,1,,1,
10040,-1,6,930039,,,1,,0#0,930039#20,,,1,,1,
10041,-1,6,930040,,,1,,0#0,930040#20,,,1,,1,
10042,-1,6,930041,,,1,,0#0,930041#20,,,1,,1,
10043,-1,6,930042,,,1,,0#0,930042#20,,,1,,1,
10044,-1,6,930043,,,1,,0#0,930043#20,,,1,,1,
10045,-1,6,930044,,,1,,0#0,930044#20,,,1,,1,
10046,-1,6,930045,,,1,,0#0,930045#20,,,1,,1,
10047,-1,6,930046,,,1,,0#0,930046#20,,,1,,1,
10048,-1,6,930047,,,1,,0#0,930047#20,,,1,,1,
10049,-1,6,930048,,,1,,0#0,930048#20,,,1,,1,
10050,-1,6,930049,,,1,,0#0,930049#20,,,1,,1,
10051,-1,6,930050,,,1,,0#0,930050#30,,,1,,1,
10052,-1,6,930051,,,1,,0#0,930051#30,,,1,,1,
10053,-1,6,930052,,,1,,0#0,930052#30,,,1,,1,
10054,-1,6,930053,,,1,,0#0,930053#30,,,1,,1,
10055,-1,6,930054,,,1,,0#0,930054#30,,,1,,1,
10056,-1,6,930055,,,1,,0#0,930055#30,,,1,,1,
10057,-1,6,930056,,,1,,0#0,930056#30,,,1,,1,
10058,-1,6,930057,,,1,,0#0,930057#30,,,1,,1,
10059,-1,6,930058,,,1,,0#0,930058#30,,,1,,1,
10060,-1,6,930059,,,1,,0#0,930059#30,,,1,,1,
10061,-1,6,930060,,,1,,0#0,930060#30,,,1,,1,
10062,-1,6,930061,,,1,,0#0,930061#30,,,1,,1,
10063,-1,6,930062,,,1,,0#0,930062#30,,,1,,1,
10064,-1,6,930063,,,1,,0#0,930063#30,,,1,,1,
10065,-1,6,930064,,,1,,0#0,930064#30,,,1,,1,
10066,-1,6,930065,,,1,,0#0,930065#30,,,1,,1,
10067,-1,6,930066,,,1,,0#0,930066#30,,,1,,1,
10068,-1,6,930067,,,1,,0#0,930067#30,,,1,,1,
10069,-1,6,930068,,,1,,0#0,930068#30,,,1,,1,
10070,-1,6,930069,,,1,,0#0,930069#30,,,1,,1,
10071,-1,6,930070,,,1,,0#0,930070#30,,,1,,1,
10072,-1,6,930071,,,1,,0#0,930071#30,,,1,,1,
10073,-1,6,930072,,,1,,0#0,930072#30,,,1,,1,
10074,-1,6,930073,,,1,,0#0,930073#30,,,1,,1,
10075,-1,6,930074,,,1,,0#0,930074#30,,,1,,1,
10076,-1,6,930075,,,1,,0#0,930075#30,,,1,,1,
10077,-1,6,930076,,,1,,0#0,930076#30,,,1,,1,
10078,-1,6,930077,,,1,,0#0,930077#30,,,1,,1,
10079,-1,6,930078,,,1,,0#0,930078#50,,,1,,1,
10080,-1,6,930079,,,1,,0#0,930079#50,,,1,,1,
10081,-1,6,930080,,,1,,0#0,930080#50,,,1,,1,
10082,-1,6,930081,,,1,,0#0,930081#50,,,1,,1,
10083,-1,6,930082,,,1,,0#0,930082#50,,,1,,1,
10084,-1,6,930083,,,1,,0#0,930083#50,,,1,,1,
10085,-1,6,930084,,,1,,0#0,930084#50,,,1,,1,
10086,-1,6,930085,,,1,,0#0,930085#50,,,1,,1,
10087,-1,6,930086,,,1,,0#0,930086#50,,,1,,1,
10088,-1,6,930087,,,1,,0#0,930087#50,,,1,,1,
10089,-1,6,930088,,,1,,0#0,930088#50,,,1,,1,
10090,-1,6,930089,,,1,,0#0,930089#50,,,1,,1,
10091,-1,6,930090,,,1,,0#0,930090#50,,,1,,1,
10092,-1,6,930091,,,1,,0#0,930091#50,,,1,,1,
10093,-1,6,930092,,,1,,0#0,930092#50,,,1,,1,
10094,-1,6,930093,,,1,,0#0,930093#50,,,1,,1,
10095,-1,6,930094,,,1,,0#0,930094#50,,,1,,1,
10096,-1,6,930095,,,1,,0#0,930095#50,,,1,,1,
10097,-1,6,930096,,,1,,0#0,930096#50,,,1,,1,
10098,-1,6,930097,,,1,,0#0,930097#50,,,1,,1,
10099,-1,6,930098,,,1,,0#0,930098#50,,,1,,1,
10100,-1,6,930099,,,1,,0#0,930099#50,,,1,,1,
10101,-1,6,930100,,,1,,0#0,930100#50,,,1,,1,
10102,-1,6,930101,,,1,,0#0,930101#50,,,1,,1,
10103,-1,6,930102,,,1,,0#0,930102#50,,,1,,1,
10104,-1,6,930103,,,1,,0#0,930103#50,,,1,,1,
10105,-1,6,930104,,,1,,0#0,930104#50,,,1,,1,
10106,-1,6,930105,,,1,,0#0,930105#50,,,1,,1,
10107,-1,6,930106,,,1,,0#0,930106#50,,,1,,1,
10108,-1,6,930107,,,1,,0#0,930107#50,,,1,,1,
10109,-1,6,930108,,,1,,0#0,930108#50,,,1,,1,
10110,-1,6,930109,,,1,,0#0,930109#50,,,1,,1,
10111,-1,6,930110,,,1,,0#0,930110#50,,,1,,1,
10112,-1,6,930111,,,1,,0#0,930111#50,,,1,,1,
10113,-1,6,930112,,,1,,0#0,930112#50,,,1,,1,
10114,-1,6,930113,,,1,,0#0,930113#50,,,1,,1,
10115,-1,6,930114,,,1,,0#0,930114#50,,,1,,1,
10116,-1,6,930115,,,1,,0#0,930115#50,,,1,,1,
10117,-1,6,930116,,,1,,0#0,930116#50,,,1,,1,
10118,-1,6,930117,,,1,,0#0,930117#50,,,1,,1,
10119,-1,6,930118,,,1,,0#0,930118#50,,,1,,1,
