id,award,weight,type,is_big_award,level,unlock
1,1#2000000,200,1,0,,
2,4204009#1,200,1,0,,
3,14#1500,200,1,0,,
4,36#3,200,1,0,,
5,4201019#30,90,1,1,,
6,29#2,200,1,0,,
7,10#1500,200,1,0,,
8,4205004#1,200,1,0,,
9,9#2000000,200,1,0,,
10,36#15,200,2,0,1,
11,20#5,200,2,0,1,
12,93#1,600,2,0,1,
13,940002#50,200,2,0,1,
14,940004#50,200,2,0,1,
15,36#20,200,2,0,2,2
16,4201019#2,200,2,0,2,2
17,4101036#1,600,2,0,2,2
18,73#20,200,2,0,2,2
19,170#15,200,2,0,2,2
20,36#30,200,2,0,3,4
21,4201019#3,200,2,0,3,4
22,4102018#1,200,2,0,3,4
23,73#25,200,2,0,3,4
24,170#20,200,2,0,3,4
25,36#60,200,2,0,4,7
26,4201019#9,200,2,0,4,7
27,4501002#1,200,2,0,4,7
28,4403001#1,200,2,0,4,7
29,4102007#1,200,2,0,4,7
30,36#100,200,2,0,5,9
31,4201019#15,200,2,0,5,9
32,6737#1,66,2,0,5,9
33,976001#50,200,2,0,5,9
34,4102008#1,200,2,0,5,9
35,36#150,200,2,0,6,11
36,4201019#25,200,2,0,6,11
37,4101010#1,66,2,0,6,11
38,4101008#1,200,2,0,6,11
39,4601017#1,200,2,0,6,11
