id,cost,all_exp,all_money
1,0,9#0,1#0
2,1#80|9#20,9#20,1#80
3,1#100|9#25,9#45,1#180
4,1#120|9#30,9#75,1#300
5,1#140|9#35,9#110,1#440
6,1#160|9#40,9#150,1#600
7,1#180|9#45,9#195,1#780
8,1#200|9#50,9#245,1#980
9,1#220|9#55,9#300,1#1200
10,1#240|9#60,9#360,1#1440
11,1#576|9#72,9#432,1#2016
12,1#685|9#122,9#554,1#2701
13,1#766|9#137,9#691,1#3467
14,1#847|9#151,9#842,1#4314
15,1#927|9#166,9#1008,1#5241
16,1#1008|9#180,9#1188,1#6249
17,1#1089|9#259,9#1447,1#7338
18,1#1169|9#278,9#1725,1#8507
19,1#1250|9#298,9#2023,1#9757
20,1#1331|9#317,9#2340,1#11088
21,1#1411|9#336,9#2676,1#12499
22,1#1690|9#576,9#3252,1#14189
23,1#1901|9#648,9#3900,1#16090
24,1#2112|9#720,9#4620,1#18202
25,1#2323|9#792,9#5412,1#20525
26,1#2534|9#864,9#6276,1#23059
27,1#2746|9#1248,9#7524,1#25805
28,1#2957|9#1344,9#8868,1#28762
29,1#3168|9#1440,9#10308,1#31930
30,1#3379|9#1536,9#11844,1#35309
31,1#4308|9#1632,9#13476,1#39617
32,1#4769|9#2160,9#15636,1#44386
33,1#5034|9#2280,9#17916,1#49420
34,1#5299|9#2400,9#20316,1#54719
35,1#5564|9#2520,9#22836,1#60283
36,1#5829|9#2640,9#25476,1#66112
37,1#6094|9#3312,9#28788,1#72206
38,1#6359|9#3456,9#32244,1#78565
39,1#6624|9#3600,9#35844,1#85189
40,1#6889|9#3744,9#39588,1#92078
41,1#8346|9#3888,9#43476,1#100424
42,1#9032|9#4704,9#48180,1#109456
43,1#9354|9#4872,9#53052,1#118810
44,1#9677|9#5040,9#58092,1#128487
45,1#9999|9#5208,9#63300,1#138486
46,1#10322|9#5376,9#68676,1#148808
47,1#10644|9#6336,9#75012,1#159452
48,1#10967|9#6528,9#81540,1#170419
49,1#11290|9#6720,9#88260,1#181709
50,1#11612|9#6912,9#95172,1#193321
51,1#14008|9#7296,9#102468,1#207329
52,1#15360|9#8640,9#111108,1#222689
53,1#16128|9#9072,9#120180,1#238817
54,1#16896|9#10560,9#130740,1#255713
55,1#17664|9#11040,9#141780,1#273377
56,1#18432|9#11520,9#153300,1#291809
57,1#19200|9#12000,9#165300,1#311009
58,1#19968|9#12480,9#177780,1#330977
59,1#21565|9#14256,9#192036,1#352542
60,1#22364|9#14784,9#206820,1#374906
61,1#26058|9#15312,9#222132,1#400964
62,1#27406|9#16104,9#238236,1#428370
63,1#28754|9#16896,9#255132,1#457124
64,1#30102|9#19296,9#274428,1#487226
65,1#31450|9#20160,9#294588,1#518676
66,1#32797|9#21024,9#315612,1#551473
67,1#35459|9#23712,9#339324,1#586932
68,1#36858|9#24648,9#363972,1#623790
69,1#38258|9#27552,9#391524,1#662048
70,1#39658|9#28560,9#420084,1#701706
71,1#45619|9#29568,9#449652,1#747325
72,1#47693|9#30912,9#480564,1#795018
73,1#49766|9#32256,9#512820,1#844784
74,1#53760|9#36000,9#548820,1#898544
75,1#55910|9#37440,9#586260,1#954454
76,1#58061|9#38880,9#625140,1#1012515
77,1#60211|9#40320,9#665460,1#1072726
78,1#62362|9#41760,9#707220,1#1135088
79,1#64512|9#46080,9#753300,1#1199600
80,1#66662|9#47616,9#800916,1#1266262
81,1#79135|9#49152,9#850068,1#1345397
82,1#85163|9#54264,9#904332,1#1430560
83,1#88364|9#56304,9#960636,1#1518924
84,1#91566|9#61776,9#1022412,1#1610490
85,1#94767|9#63936,9#1086348,1#1705257
86,1#97969|9#66096,9#1152444,1#1803226
87,1#104659|9#72048,9#1224492,1#1907885
88,1#107971|9#74328,9#1298820,1#2015856
89,1#111283|9#80640,9#1379460,1#2127139
90,1#114595|9#83040,9#1462500,1#2241734
91,1#133286|9#85440,9#1547940,1#2375020
92,1#142372|9#92736,9#1640676,1#2517392
93,1#147014|9#95760,9#1736436,1#2664406
94,1#151657|9#103488,9#1839924,1#2816063
95,1#156300|9#106656,9#1946580,1#2972363
96,1#160942|9#109824,9#2056404,1#3133305
97,1#170926|9#118128,9#2174532,1#3304231
98,1#175718|9#121440,9#2295972,1#3479949
99,1#180511|9#130176,9#2426148,1#3660460
100,1#185303|9#133632,9#2559780,1#3845763
101,1#194988|9#137088,9#2696868,1#4040751
102,1#202725|9#148896,9#2845764,1#4243476
103,1#210463|9#154176,9#2999940,1#4453939
104,1#218200|9#166704,9#3166644,1#4672139
105,1#225938|9#172224,9#3338868,1#4898077
106,1#241213|9#177744,9#3516612,1#5139290
107,1#249201|9#191232,9#3707844,1#5388491
108,1#257188|9#196992,9#3904836,1#5645679
109,1#265175|9#211200,9#4116036,1#5910854
110,1#273162|9#217200,9#4333236,1#6184016
111,1#289935|9#223200,9#4556436,1#6473951
112,1#298172|9#238368,9#4794804,1#6772123
113,1#306409|9#244608,9#5039412,1#7078532
114,1#314646|9#260496,9#5299908,1#7393178
115,1#322883|9#266976,9#5566884,1#7716061
116,1#341153|9#273456,9#5840340,1#8057214
117,1#349640|9#290304,9#6130644,1#8406854
118,1#358126|9#297024,9#6427668,1#8764980
119,1#366612|9#309024,9#6736692,1#9131592
120,1#375099|9#310416,9#7047108,1#9506691
121,1#387878|9#311808,9#7358916,1#9894569
122,1#389626|9#324000,9#7682916,1#10284195
123,1#391373|9#325440,9#8008356,1#10675568
124,1#393120|9#337776,9#8346132,1#11068688
125,1#394867|9#339264,9#8685396,1#11463555
126,1#407946|9#340752,9#9026148,1#11871501
127,1#409743|9#353280,9#9379428,1#12281244
128,1#411540|9#354816,9#9734244,1#12692784
129,1#413338|9#367488,9#10101732,1#13106122
130,1#415135|9#369072,9#10470804,1#13521257
131,1#428513|9#370656,9#10841460,1#13949770
132,1#430360|9#383520,9#11224980,1#14380130
133,1#432207|9#385152,9#11610132,1#14812337
134,1#434054|9#398160,9#12008292,1#15246391
135,1#435901|9#399840,9#12408132,1#15682292
136,1#449580|9#401520,9#12809652,1#16131872
137,1#451476|9#414720,9#13224372,1#16583348
138,1#453373|9#415320,9#13639692,1#17036721
139,1#455270|9#415920,9#14055612,1#17491991
140,1#457270|9#416520,9#14472132,1#17949261
141,1#469198|9#428016,9#14900148,1#18418459
142,1#470172|9#428904,9#15329052,1#18888631
143,1#471145|9#429792,9#15758844,1#19359776
144,1#472118|9#430680,9#16189524,1#19831894
145,1#473092|9#431568,9#16621092,1#20304986
146,1#474065|9#444144,9#17065236,1#20779051
147,1#475039|9#445056,9#17510292,1#21254090
148,1#476012|9#445968,9#17956260,1#21730102
149,1#476986|9#446880,9#18403140,1#22207088
150,1#477959|9#447792,9#18850932,1#22685047
151,1#491213|9#460512,9#19311444,1#23176260
152,1#492211|9#461448,9#19772892,1#23668471
153,1#493210|9#462384,9#20235276,1#24161681
154,1#494208|9#463320,9#20698596,1#24655889
155,1#495206|9#464256,9#21162852,1#25151095
156,1#496205|9#477120,9#21639972,1#25647300
157,1#497203|9#478080,9#22118052,1#26144503
158,1#498202|9#479040,9#22597092,1#26642705
159,1#499200|9#480000,9#23077092,1#27141905
160,1#500198|9#480960,9#23558052,1#27642103
161,1#513727|9#493968,9#24052020,1#28155830
162,1#514750|9#494952,9#24546972,1#28670580
163,1#515773|9#495936,9#25042908,1#29186353
164,1#516797|9#496920,9#25539828,1#29703150
165,1#517820|9#497904,9#26037732,1#30220970
166,1#518844|9#511056,9#26548788,1#30739814
167,1#519867|9#512064,9#27060852,1#31259681
168,1#520890|9#513072,9#27573924,1#31780571
169,1#521914|9#514080,9#28088004,1#32302485
170,1#522937|9#515088,9#28603092,1#32825422
171,1#536740|9#528384,9#29131476,1#33362162
172,1#537788|9#529416,9#29660892,1#33899950
173,1#538836|9#530448,9#30191340,1#34438786
174,1#539885|9#531480,9#30722820,1#34978671
175,1#540933|9#532512,9#31255332,1#35519604
176,1#541981|9#545952,9#31801284,1#36061585
177,1#543030|9#547008,9#32348292,1#36604615
178,1#544078|9#548064,9#32896356,1#37148693
179,1#545126|9#549120,9#33445476,1#37693819
180,1#546175|9#550176,9#33995652,1#38239994
181,1#560252|9#563760,9#34559412,1#38800246
182,1#561325|9#564840,9#35124252,1#39361571
183,1#562399|9#565920,9#35690172,1#39923970
184,1#563472|9#579600,9#36269772,1#40487442
185,1#564545|9#580704,9#36850476,1#41051987
186,1#578772|9#594456,9#37444932,1#41630759
187,1#579871|9#595584,9#38040516,1#42210630
188,1#580969|9#596712,9#38637228,1#42791599
189,1#582067|9#610560,9#39247788,1#43373666
190,1#583165|9#611712,9#39859500,1#43956831
191,1#597542|9#625632,9#40485132,1#44554373
192,1#598666|9#626808,9#41111940,1#45153039
193,1#599789|9#627984,9#41739924,1#45752828
194,1#600912|9#642000,9#42381924,1#46353740
195,1#602035|9#643200,9#43025124,1#46955775
196,1#616562|9#657288,9#43682412,1#47572337
197,1#617710|9#658512,9#44340924,1#48190047
198,1#618858|9#659736,9#45000660,1#48808905
199,1#620006|9#673920,9#45674580,1#49428911
200,1#621155|9#675168,9#46349748,1#50050066
201,1#648059|9#827309,9#47177057,1#50698125
202,1#649254|9#828835,9#48005892,1#51347379
203,1#650450|9#830362,9#48836254,1#51997829
204,1#651646|9#847584,9#49683838,1#52649475
205,1#652841|9#849139,9#50532977,1#53302316
206,1#667953|9#866448,9#51399425,1#53970269
207,1#669174|9#868032,9#52267457,1#54639443
208,1#670395|9#869616,9#53137073,1#55309838
209,1#671616|9#887040,9#54024113,1#55981454
210,1#672837|9#888653,9#54912766,1#56654291
211,1#701084|9#1057190,9#55969956,1#57355375
212,1#702354|9#1059106,9#57029062,1#58057729
213,1#703624|9#1061021,9#58090083,1#58761353
214,1#704894|9#1081584,9#59171667,1#59466247
215,1#706164|9#1083533,9#60255200,1#60172411
216,1#721872|9#1104197,9#61359397,1#60894283
217,1#723168|9#1106179,9#62465576,1#61617451
218,1#724464|9#1108162,9#63573738,1#62341915
219,1#725760|9#1128960,9#64702698,1#63067675
220,1#727056|9#1130976,9#65833674,1#63794731
221,1#756677|9#1398706,9#67232380,1#64551408
222,1#758023|9#1401194,9#68633574,1#65309431
223,1#759370|9#1403683,9#70037257,1#66068801
224,1#760716|9#1429224,9#71466481,1#66829517
225,1#762062|9#1431754,9#72898235,1#67591579
226,1#778378|9#1457417,9#74355652,1#68369957
227,1#779750|9#1459987,9#75815639,1#69149707
228,1#781123|9#1462558,9#77278197,1#69930830
229,1#782496|9#1488384,9#78766581,1#70713326
230,1#783869|9#1490995,9#80257576,1#71497195
231,1#814894|9#1784640,9#82042216,1#72312089
232,1#816319|9#1787760,9#83829976,1#73128408
233,1#817743|9#1790880,9#85620856,1#73946151
234,1#819168|9#1821600,9#87442456,1#74765319
235,1#820593|9#1824768,9#89267224,1#75585912
236,1#837527|9#1855632,9#91122856,1#76423439
237,1#838979|9#1858848,9#92981704,1#77262418
238,1#840430|9#1862064,9#94843768,1#78102848
239,1#841882|9#1893120,9#96736888,1#78944730
240,1#843333|9#1896384,9#98633272,1#79788063
241,1#860429|9#2409480,9#101042752,1#80648492
242,1#861907|9#2413620,9#103456372,1#81510399
243,1#863386|9#2417760,9#105874132,1#82373785
244,1#864864|9#2457000,9#108331132,1#83238649
245,1#866342|9#2461200,9#110792332,1#84104991
246,1#883599|9#2500620,9#113292952,1#84988590
247,1#885105|9#2504880,9#115797832,1#85873695
248,1#886610|9#2509140,9#118306972,1#86760305
249,1#888115|9#2548800,9#120855772,1#87648420
250,1#889620|9#2553120,9#123408892,1#88538040
251,1#1059760|9#3024042,9#126432934,1#89597800
252,1#1068981|9#3053143,9#129486077,1#90666781
253,1#1078202|9#3080522,9#132566599,1#91744983
254,1#1087423|9#3148627,9#135715226,1#92832406
255,1#1096644|9#3175037,9#138890263,1#93929050
256,1#1125082|9#3245166,9#142135429,1#95054132
257,1#1134509|9#3272936,9#145408365,1#96188641
258,1#1143936|9#3299862,9#148708227,1#97332577
259,1#1153363|9#3370451,9#152078678,1#98485940
260,1#1162790|9#3398936,9#155477614,1#99648730
261,1#1341587|9#3904153,9#159381767,1#100990317
262,1#1352467|9#3937117,9#163318884,1#102342784
263,1#1363347|9#3969136,9#167288020,1#103706131
264,1#1374227|9#4053358,9#171341378,1#105080358
265,1#1385107|9#4086441,9#175427819,1#106465465
266,1#1420052|9#4172702,9#179600521,1#107885517
267,1#1431398|9#4205410,9#183805931,1#109316915
268,1#1442744|9#4238153,9#188044084,1#110759659
269,1#1454090|9#4325374,9#192369458,1#112213749
270,1#1465436|9#4359680,9#196729138,1#113679185
271,1#1626899|9#4839838,9#201568976,1#115306084
272,1#1639787|9#4877842,9#206446818,1#116945871
273,1#1652675|9#4916486,9#211363304,1#118598546
274,1#1665563|9#4954402,9#216317706,1#120264109
275,1#1678451|9#4992390,9#221310096,1#121942560
276,1#1691339|9#5031145,9#226341241,1#123633899
277,1#1704227|9#5069355,9#231410596,1#125338126
278,1#1717115|9#5108235,9#236518831,1#127055241
279,1#1730003|9#5146446,9#241665277,1#128785244
280,1#1742891|9#5184383,9#246849660,1#130528135
281,1#1755779|9#5223985,9#252073645,1#132283914
282,1#1768667|9#5261134,9#257334779,1#134052581
283,1#1781555|9#5300742,9#262635521,1#135834136
284,1#1794443|9#5338532,9#267974053,1#137628579
285,1#1807331|9#5376982,9#273351035,1#139435910
286,1#1820219|9#5415319,9#278766354,1#141256129
287,1#1833107|9#5453816,9#284220170,1#143089236
288,1#1845995|9#5492387,9#289712557,1#144935231
289,1#1858883|9#5530617,9#295243174,1#146794114
290,1#1871771|9#5568668,9#300811842,1#148665885
291,1#1904019|9#5664669,9#306476511,1#150569904
292,1#1936267|9#5760670,9#312237181,1#152506171
293,1#1968515|9#5856671,9#318093852,1#154474686
