id,map_id,cell_xy,cell_type,def_unlock,cell_content,is_main,is_point,cell_img,cell_name
1,1,1|1,0,,,,,,
2,1,1|2,1,1,,,,,
3,1,1|3,0,,,,,,
4,1,2|1,2,,1,1,1,,
5,1,2|2,3,,1,1,,,
6,1,2|3,4,,1,,,,
7,1,3|1,0,,,,,,
8,1,3|2,5,,1001,,1,,
9,1,3|3,0,,,,,,
10,2,1|1,1,1,,,,,
11,2,1|2,2,,2,1,,,
12,2,1|3,0,,,,,,
13,2,2|1,0,,,,,,
14,2,2|2,3,,2,1,,,
15,2,2|3,0,,,,,,
16,2,3|1,0,,,,,,
17,2,3|2,4,,2,,1,,
18,2,3|3,5,,2001,,,,
19,3,1|1,1,1,,,,,
20,3,1|2,0,,,,,,
21,3,1|3,2,,3,1,,,
22,3,2|1,3,,3,,1,,
23,3,2|2,4,,3,1,1,,
24,3,2|3,4,,4,,,,
25,3,3|1,1,1,,,,,
26,3,3|2,3,,4,,,,
27,3,3|3,5,,3001,,,,
28,4,1|1,0,,,,,,
29,4,1|2,1,1,,,,,
30,4,1|3,0,,,,,,
31,4,2|1,2,,4,1,1,,
32,4,2|2,3,,5,1,,,
33,4,2|3,4,,5,,,,
34,4,3|1,0,,,,,,
35,4,3|2,5,,4001,,1,,
36,4,3|3,0,,,,,,
37,5,1|1,1,1,,,,,
38,5,1|2,2,,5,1,,,
39,5,1|3,0,,,,,,
40,5,2|1,0,,,,,,
41,5,2|2,3,,6,1,,,
42,5,2|3,0,,,,,,
43,5,3|1,0,,,,,,
44,5,3|2,4,,6,,1,,
45,5,3|3,5,,5001,,,,
46,6,1|1,1,1,,,,,
47,6,1|2,0,,,,,,
48,6,1|3,2,,6,1,,,
49,6,2|1,3,,7,,1,,
50,6,2|2,4,,7,1,1,,
51,6,2|3,4,,8,,,,
52,6,3|1,1,1,,,,,
53,6,3|2,3,,8,,,,
54,6,3|3,5,,6001,,,,
